Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.451,0.435,2.22,0.657,0.837,0.89,1.438,0.401,4.21,0.0
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.112,0.093,8.959,0.229,0.522,0.657,2.691,0.692,14.751,0.229
Machinery and equipment n.e.c. (29),Tertiary,31,0.175,0.147,5.727,0.305,0.662,0.812,2.123,0.618,8.354,0.0
Aluminium and aluminium products,Secondary,49,0.505,0.495,1.979,0.707,0.774,0.825,1.477,0.379,4.378,0.707
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.094,0.075,10.601,0.242,0.398,0.536,2.864,0.736,17.535,0.075
Copper products,Secondary,49,0.48,0.469,2.084,0.686,0.783,0.837,1.469,0.377,4.345,0.686
"Lead, zinc and tin and products thereof",Secondary,49,0.28,0.265,3.574,0.4,0.769,0.825,1.854,0.476,6.387,0.339
Other non-ferrous metal products,Secondary,49,0.134,0.116,7.443,0.283,0.553,0.679,2.558,0.657,12.909,0.072
Precious metals,Secondary,49,0.446,0.435,2.24,0.657,0.805,0.878,1.482,0.381,4.4,0.001
Aluminium ores and concentrates,Primary,19,0.248,0.206,4.04,0.431,0.736,0.868,1.82,0.618,6.171,0.0
Copper ores and concentrates,Primary,27,0.724,0.714,1.381,0.84,0.996,0.998,0.528,0.16,1.696,0.84
"Lead, zinc and tin ores and concentrates",Primary,31,0.432,0.413,2.316,0.621,0.881,0.929,1.306,0.38,3.693,0.621
Nickel ores and concentrates,Primary,23,0.47,0.446,2.127,0.67,0.847,0.934,1.258,0.401,3.518,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.124,0.098,8.074,0.255,0.514,0.679,2.428,0.683,11.333,0.049
Precious metal ores and concentrates,Primary,29,0.953,0.951,1.05,0.976,0.99,0.995,0.159,0.047,1.172,0.976
