Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.369,0.351,2.71,0.577,0.827,0.896,1.509,0.421,4.522,0.577
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.201,0.184,4.979,0.394,0.637,0.764,2.13,0.547,8.416,0.052
Machinery and equipment n.e.c. (29),Tertiary,31,0.788,0.781,1.269,0.886,0.952,0.965,0.598,0.174,1.818,0.0
Aluminium and aluminium products,Secondary,49,0.307,0.293,3.254,0.41,0.847,0.934,1.534,0.394,4.638,0.359
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.261,0.245,3.836,0.46,0.722,0.856,1.88,0.483,6.556,0.46
Copper products,Secondary,49,0.274,0.259,3.646,0.424,0.784,0.87,1.776,0.456,5.908,0.424
"Lead, zinc and tin and products thereof",Secondary,49,0.441,0.43,2.266,0.643,0.831,0.873,1.433,0.368,4.193,0.643
Other non-ferrous metal products,Secondary,49,0.183,0.166,5.473,0.277,0.685,0.855,2.049,0.527,7.762,0.277
Precious metals,Secondary,49,0.276,0.261,3.626,0.487,0.714,0.812,1.872,0.481,6.501,0.487
Aluminium ores and concentrates,Primary,19,0.355,0.319,2.819,0.562,0.795,0.919,1.503,0.51,4.496,0.562
Copper ores and concentrates,Primary,27,0.502,0.483,1.992,0.688,0.915,0.957,1.128,0.342,3.089,0.688
"Lead, zinc and tin ores and concentrates",Primary,31,0.221,0.195,4.516,0.369,0.725,0.892,1.828,0.532,6.224,0.369
Nickel ores and concentrates,Primary,23,0.243,0.208,4.119,0.414,0.735,0.858,1.787,0.57,5.969,0.414
Other non-ferrous metal ores and concentrates,Primary,35,0.3,0.28,3.332,0.39,0.871,0.943,1.524,0.429,4.592,0.39
Precious metal ores and concentrates,Primary,29,0.801,0.794,1.248,0.892,0.983,0.992,0.478,0.142,1.613,0.892
