Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.524,0.51,1.909,0.702,0.929,0.963,1.064,0.297,2.898,0.162
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.631,0.623,1.585,0.783,0.937,0.969,0.867,0.223,2.381,0.13
Machinery and equipment n.e.c. (29),Tertiary,31,0.906,0.903,1.104,0.952,0.985,0.992,0.28,0.082,1.324,0.0
Aluminium and aluminium products,Secondary,49,0.268,0.253,3.732,0.349,0.866,0.912,1.696,0.436,5.452,0.349
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.297,0.283,3.361,0.415,0.831,0.879,1.685,0.433,5.39,0.343
Copper products,Secondary,49,0.199,0.182,5.025,0.385,0.63,0.754,2.205,0.566,9.067,0.062
"Lead, zinc and tin and products thereof",Secondary,49,0.314,0.299,3.189,0.425,0.821,0.88,1.621,0.417,5.059,0.357
Other non-ferrous metal products,Secondary,49,0.169,0.152,5.919,0.256,0.687,0.786,2.215,0.569,9.165,0.245
Precious metals,Secondary,49,0.203,0.186,4.933,0.407,0.586,0.733,2.167,0.557,8.728,0.051
Aluminium ores and concentrates,Primary,19,0.204,0.16,4.894,0.398,0.601,0.779,2.001,0.68,7.398,0.0
Copper ores and concentrates,Primary,27,0.202,0.172,4.943,0.299,0.723,0.816,1.968,0.597,7.153,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.753,0.745,1.327,0.866,0.926,0.958,0.699,0.203,2.011,0.004
Nickel ores and concentrates,Primary,23,0.424,0.397,2.361,0.507,0.936,0.964,1.103,0.352,3.014,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.19,0.166,5.265,0.396,0.6,0.679,2.305,0.648,10.024,0.02
Precious metal ores and concentrates,Primary,29,0.198,0.169,5.05,0.336,0.727,0.821,2.006,0.596,7.436,0.2
