Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.201,0.178,4.981,0.333,0.68,0.783,2.114,0.59,8.282,0.0
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.167,0.149,6.004,0.36,0.584,0.675,2.459,0.632,11.69,0.04
Machinery and equipment n.e.c. (29),Tertiary,31,0.316,0.293,3.17,0.499,0.827,0.916,1.589,0.463,4.897,0.0
Aluminium and aluminium products,Secondary,49,0.184,0.167,5.444,0.341,0.623,0.847,2.135,0.549,8.455,0.001
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.183,0.166,5.463,0.326,0.684,0.824,2.169,0.557,8.749,0.001
Copper products,Secondary,49,0.095,0.076,10.518,0.218,0.434,0.597,2.773,0.713,16.008,0.0
"Lead, zinc and tin and products thereof",Secondary,49,0.304,0.29,3.288,0.519,0.725,0.803,1.911,0.491,6.758,0.001
Other non-ferrous metal products,Secondary,49,0.173,0.156,5.78,0.35,0.626,0.745,2.319,0.596,10.169,0.001
Precious metals,Secondary,49,0.164,0.146,6.103,0.331,0.604,0.743,2.31,0.594,10.079,0.159
Aluminium ores and concentrates,Primary,19,0.354,0.318,2.822,0.566,0.773,0.872,1.574,0.535,4.826,0.0
Copper ores and concentrates,Primary,27,0.548,0.531,1.824,0.69,0.972,0.985,0.83,0.252,2.294,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.131,0.102,7.646,0.225,0.553,0.73,2.317,0.675,10.144,0.0
Nickel ores and concentrates,Primary,23,0.2,0.164,4.989,0.332,0.719,0.841,1.932,0.616,6.9,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.245,0.223,4.077,0.42,0.755,0.837,1.901,0.535,6.69,0.0
Precious metal ores and concentrates,Primary,29,0.148,0.118,6.739,0.298,0.572,0.726,2.291,0.68,9.889,0.0
