Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.15,0.125,6.687,0.241,0.619,0.782,2.28,0.636,9.774,0.241
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.097,0.078,10.35,0.197,0.417,0.597,2.708,0.696,15.005,0.116
Machinery and equipment n.e.c. (29),Tertiary,31,0.259,0.235,3.855,0.446,0.736,0.893,1.809,0.527,6.105,0.446
Aluminium and aluminium products,Secondary,49,0.427,0.415,2.344,0.643,0.758,0.846,1.586,0.408,4.886,0.643
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.181,0.164,5.532,0.385,0.604,0.677,2.479,0.637,11.934,0.033
Copper products,Secondary,49,0.138,0.12,7.264,0.278,0.556,0.647,2.59,0.666,13.335,0.041
"Lead, zinc and tin and products thereof",Secondary,49,0.311,0.297,3.214,0.545,0.654,0.732,2.051,0.527,7.775,0.02
Other non-ferrous metal products,Secondary,49,0.084,0.065,11.906,0.176,0.394,0.563,2.818,0.724,16.746,0.007
Precious metals,Secondary,49,0.069,0.05,14.411,0.143,0.341,0.482,2.916,0.749,18.464,0.004
Aluminium ores and concentrates,Primary,19,0.439,0.408,2.279,0.638,0.865,0.951,1.281,0.435,3.602,0.0
Copper ores and concentrates,Primary,27,0.363,0.338,2.758,0.554,0.875,0.927,1.443,0.438,4.232,0.132
"Lead, zinc and tin ores and concentrates",Primary,31,0.255,0.23,3.928,0.47,0.67,0.799,1.969,0.574,7.166,0.0
Nickel ores and concentrates,Primary,23,0.444,0.419,2.253,0.643,0.858,0.941,1.268,0.405,3.555,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.113,0.087,8.815,0.211,0.494,0.671,2.499,0.703,12.171,0.0
Precious metal ores and concentrates,Primary,29,0.345,0.322,2.895,0.552,0.807,0.911,1.578,0.469,4.846,0.0
