Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.211,0.188,4.741,0.341,0.71,0.774,2.098,0.586,8.152,0.0
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.164,0.147,6.09,0.281,0.621,0.74,2.353,0.605,10.514,0.016
Machinery and equipment n.e.c. (29),Tertiary,31,0.311,0.288,3.211,0.506,0.792,0.926,1.604,0.467,4.972,0.014
Aluminium and aluminium products,Secondary,49,0.188,0.171,5.308,0.369,0.628,0.774,2.235,0.574,9.347,0.007
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.218,0.201,4.593,0.431,0.617,0.747,2.238,0.575,9.375,0.006
Copper products,Secondary,49,0.088,0.069,11.411,0.218,0.397,0.509,2.858,0.734,17.43,0.006
"Lead, zinc and tin and products thereof",Secondary,49,0.211,0.194,4.746,0.362,0.724,0.822,2.085,0.536,8.047,0.028
Other non-ferrous metal products,Secondary,49,0.169,0.152,5.914,0.313,0.627,0.796,2.269,0.583,9.671,0.001
Precious metals,Secondary,49,0.114,0.096,8.771,0.23,0.488,0.666,2.548,0.655,12.777,0.006
Aluminium ores and concentrates,Primary,19,0.234,0.192,4.266,0.443,0.656,0.781,1.96,0.666,7.101,0.008
Copper ores and concentrates,Primary,27,0.699,0.687,1.431,0.83,0.96,0.991,0.688,0.209,1.989,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.408,0.388,2.452,0.627,0.745,0.838,1.587,0.462,4.891,0.0
Nickel ores and concentrates,Primary,23,0.333,0.303,3.0,0.528,0.833,0.909,1.543,0.492,4.681,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.238,0.216,4.193,0.406,0.771,0.866,1.849,0.52,6.354,0.001
Precious metal ores and concentrates,Primary,29,0.963,0.961,1.039,0.981,0.992,0.996,0.132,0.039,1.141,0.0
