Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.264,0.243,3.781,0.46,0.749,0.865,1.848,0.516,6.35,0.0
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.092,0.074,10.821,0.149,0.437,0.62,2.737,0.703,15.447,0.149
Machinery and equipment n.e.c. (29),Tertiary,31,0.398,0.378,2.512,0.605,0.827,0.931,1.439,0.419,4.218,0.605
Aluminium and aluminium products,Secondary,49,0.251,0.236,3.981,0.352,0.76,0.828,1.972,0.507,7.188,0.345
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.429,0.417,2.333,0.643,0.776,0.842,1.602,0.412,4.962,0.643
Copper products,Secondary,49,0.137,0.119,7.284,0.274,0.555,0.708,2.469,0.635,11.815,0.274
"Lead, zinc and tin and products thereof",Secondary,49,0.458,0.447,2.182,0.665,0.827,0.884,1.429,0.367,4.173,0.037
Other non-ferrous metal products,Secondary,49,0.587,0.578,1.705,0.755,0.906,0.94,1.03,0.265,2.8,0.755
Precious metals,Secondary,49,0.406,0.394,2.461,0.621,0.793,0.879,1.573,0.404,4.819,0.05
Aluminium ores and concentrates,Primary,19,0.151,0.104,6.624,0.225,0.574,0.817,2.105,0.715,8.21,0.0
Copper ores and concentrates,Primary,27,0.403,0.38,2.482,0.561,0.898,0.944,1.275,0.387,3.579,0.561
"Lead, zinc and tin ores and concentrates",Primary,31,0.781,0.774,1.281,0.883,0.926,0.952,0.642,0.187,1.9,0.883
Nickel ores and concentrates,Primary,23,0.993,0.993,1.007,0.997,0.998,0.999,0.03,0.009,1.03,0.997
Other non-ferrous metal ores and concentrates,Primary,35,0.488,0.473,2.048,0.69,0.824,0.878,1.389,0.391,4.01,0.69
Precious metal ores and concentrates,Primary,29,0.972,0.971,1.029,0.986,0.992,0.996,0.106,0.032,1.112,0.986
