Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.189,0.166,5.287,0.34,0.666,0.788,2.156,0.602,8.637,0.101
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.1,0.081,10.042,0.187,0.455,0.648,2.687,0.69,14.681,0.187
Machinery and equipment n.e.c. (29),Tertiary,31,0.224,0.199,4.457,0.319,0.779,0.886,1.84,0.536,6.299,0.319
Aluminium and aluminium products,Secondary,49,0.416,0.404,2.402,0.635,0.757,0.83,1.631,0.419,5.11,0.635
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.383,0.37,2.609,0.607,0.74,0.812,1.748,0.449,5.744,0.607
Copper products,Secondary,49,0.135,0.117,7.417,0.323,0.471,0.587,2.62,0.673,13.738,0.323
"Lead, zinc and tin and products thereof",Secondary,49,0.342,0.329,2.92,0.564,0.753,0.829,1.797,0.462,6.035,0.119
Other non-ferrous metal products,Secondary,49,0.154,0.136,6.492,0.29,0.618,0.757,2.339,0.601,10.372,0.29
Precious metals,Secondary,49,0.213,0.197,4.685,0.425,0.597,0.731,2.185,0.562,8.893,0.065
Aluminium ores and concentrates,Primary,19,0.161,0.114,6.221,0.244,0.598,0.846,2.027,0.689,7.594,0.244
Copper ores and concentrates,Primary,27,0.845,0.839,1.184,0.918,0.962,0.982,0.446,0.135,1.562,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.209,0.183,4.775,0.343,0.719,0.837,1.971,0.574,7.181,0.0
Nickel ores and concentrates,Primary,23,0.183,0.146,5.46,0.321,0.662,0.823,1.979,0.631,7.235,0.085
Other non-ferrous metal ores and concentrates,Primary,35,0.171,0.146,5.863,0.365,0.545,0.687,2.288,0.644,9.859,0.027
Precious metal ores and concentrates,Primary,29,0.212,0.184,4.706,0.386,0.699,0.82,2.005,0.595,7.428,0.0
