Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.191,0.168,5.239,0.297,0.678,0.793,2.126,0.593,8.38,0.039
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.203,0.186,4.927,0.398,0.64,0.749,2.274,0.584,9.723,0.398
Machinery and equipment n.e.c. (29),Tertiary,31,0.243,0.217,4.122,0.415,0.724,0.823,1.945,0.566,6.994,0.02
Aluminium and aluminium products,Secondary,49,0.588,0.579,1.701,0.763,0.856,0.893,1.182,0.304,3.262,0.763
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.25,0.234,4.001,0.469,0.633,0.78,2.076,0.534,7.975,0.469
Copper products,Secondary,49,0.19,0.174,5.253,0.404,0.56,0.683,2.394,0.615,10.958,0.404
"Lead, zinc and tin and products thereof",Secondary,49,0.298,0.283,3.361,0.444,0.8,0.869,1.751,0.45,5.759,0.308
Other non-ferrous metal products,Secondary,49,0.477,0.466,2.095,0.682,0.817,0.865,1.442,0.37,4.227,0.682
Precious metals,Secondary,49,0.338,0.324,2.956,0.561,0.751,0.827,1.806,0.464,6.084,0.561
Aluminium ores and concentrates,Primary,19,0.315,0.277,3.176,0.534,0.715,0.845,1.698,0.577,5.464,0.0
Copper ores and concentrates,Primary,27,0.696,0.684,1.437,0.832,0.911,0.946,0.825,0.25,2.281,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.51,0.493,1.963,0.705,0.839,0.914,1.25,0.364,3.491,0.072
Nickel ores and concentrates,Primary,23,0.202,0.166,4.95,0.281,0.751,0.872,1.841,0.587,6.3,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.679,0.669,1.474,0.821,0.905,0.932,0.902,0.254,2.465,0.821
Precious metal ores and concentrates,Primary,29,0.115,0.083,8.714,0.189,0.485,0.673,2.406,0.715,11.091,0.002
