Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.272,0.251,3.675,0.491,0.709,0.794,1.984,0.554,7.269,0.115
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.224,0.208,4.459,0.449,0.619,0.706,2.358,0.606,10.565,0.03
Machinery and equipment n.e.c. (29),Tertiary,31,0.171,0.144,5.837,0.316,0.662,0.774,2.199,0.64,9.012,0.0
Aluminium and aluminium products,Secondary,49,0.352,0.339,2.838,0.581,0.713,0.784,1.904,0.489,6.71,0.051
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.102,0.083,9.809,0.216,0.471,0.608,2.765,0.71,15.88,0.031
Copper products,Secondary,49,0.164,0.147,6.099,0.349,0.566,0.666,2.468,0.634,11.796,0.029
"Lead, zinc and tin and products thereof",Secondary,49,0.312,0.298,3.205,0.466,0.807,0.864,1.716,0.441,5.56,0.466
Other non-ferrous metal products,Secondary,49,0.134,0.116,7.47,0.233,0.588,0.683,2.507,0.644,12.274,0.032
Precious metals,Secondary,49,0.081,0.062,12.397,0.145,0.385,0.558,2.793,0.718,16.327,0.042
Aluminium ores and concentrates,Primary,19,0.391,0.358,2.555,0.587,0.865,0.921,1.384,0.47,3.991,0.587
Copper ores and concentrates,Primary,27,0.559,0.542,1.789,0.723,0.99,0.995,0.835,0.253,2.305,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.183,0.156,5.465,0.338,0.64,0.779,2.066,0.602,7.891,0.338
Nickel ores and concentrates,Primary,23,0.962,0.96,1.04,0.981,0.995,0.998,0.127,0.041,1.136,0.981
Other non-ferrous metal ores and concentrates,Primary,35,0.17,0.145,5.887,0.32,0.629,0.771,2.189,0.616,8.924,0.002
Precious metal ores and concentrates,Primary,29,0.204,0.175,4.909,0.37,0.656,0.842,1.933,0.574,6.91,0.152
