Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.236,0.214,4.238,0.436,0.69,0.816,2.026,0.565,7.581,0.0
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.134,0.116,7.47,0.259,0.555,0.714,2.552,0.656,12.83,0.003
Machinery and equipment n.e.c. (29),Tertiary,31,0.16,0.132,6.252,0.254,0.657,0.771,2.217,0.646,9.184,0.016
Aluminium and aluminium products,Secondary,49,0.404,0.391,2.477,0.626,0.744,0.816,1.738,0.447,5.688,0.006
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.187,0.17,5.351,0.364,0.647,0.742,2.339,0.601,10.374,0.001
Copper products,Secondary,49,0.185,0.168,5.399,0.367,0.633,0.763,2.275,0.585,9.729,0.0
"Lead, zinc and tin and products thereof",Secondary,49,0.389,0.376,2.57,0.614,0.736,0.797,1.805,0.464,6.08,0.0
Other non-ferrous metal products,Secondary,49,0.107,0.088,9.355,0.202,0.498,0.642,2.639,0.678,14.006,0.001
Precious metals,Secondary,49,0.097,0.078,10.338,0.219,0.429,0.587,2.721,0.699,15.201,0.0
Aluminium ores and concentrates,Primary,19,0.161,0.115,6.196,0.328,0.577,0.72,2.194,0.745,8.968,0.002
Copper ores and concentrates,Primary,27,0.958,0.956,1.044,0.978,0.998,0.999,0.129,0.039,1.138,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.267,0.242,3.748,0.479,0.69,0.806,1.906,0.555,6.729,0.0
Nickel ores and concentrates,Primary,23,0.202,0.165,4.96,0.322,0.707,0.857,1.908,0.609,6.741,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.342,0.323,2.921,0.566,0.733,0.814,1.76,0.495,5.811,0.0
Precious metal ores and concentrates,Primary,29,0.28,0.255,3.568,0.491,0.712,0.851,1.811,0.538,6.115,0.0
