Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.179,0.155,5.599,0.25,0.711,0.815,2.095,0.585,8.126,0.0
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.275,0.26,3.64,0.487,0.717,0.803,2.016,0.518,7.511,0.006
Machinery and equipment n.e.c. (29),Tertiary,31,0.307,0.283,3.262,0.502,0.769,0.827,1.783,0.519,5.947,0.02
Aluminium and aluminium products,Secondary,49,0.575,0.566,1.74,0.753,0.866,0.909,1.189,0.306,3.285,0.001
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.257,0.242,3.887,0.476,0.654,0.81,2.058,0.529,7.832,0.0
Copper products,Secondary,49,0.143,0.125,6.996,0.295,0.566,0.698,2.493,0.641,12.099,0.0
"Lead, zinc and tin and products thereof",Secondary,49,0.325,0.311,3.077,0.497,0.839,0.889,1.648,0.423,5.194,0.002
Other non-ferrous metal products,Secondary,49,0.542,0.533,1.844,0.729,0.859,0.898,1.242,0.319,3.461,0.001
Precious metals,Secondary,49,0.278,0.263,3.592,0.501,0.699,0.789,1.994,0.512,7.346,0.001
Aluminium ores and concentrates,Primary,19,0.25,0.208,4.003,0.452,0.674,0.859,1.836,0.623,6.27,0.0
Copper ores and concentrates,Primary,27,0.578,0.562,1.73,0.753,0.884,0.927,1.084,0.329,2.957,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.241,0.216,4.151,0.444,0.678,0.816,1.937,0.564,6.94,0.047
Nickel ores and concentrates,Primary,23,0.212,0.176,4.725,0.274,0.775,0.899,1.78,0.568,5.932,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.865,0.861,1.156,0.93,0.964,0.975,0.42,0.118,1.522,0.0
Precious metal ores and concentrates,Primary,29,0.122,0.091,8.181,0.181,0.492,0.698,2.321,0.689,10.187,0.003
