Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.701,0.693,1.426,0.833,0.95,0.977,0.74,0.206,2.095,0.833
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.506,0.496,1.975,0.7,0.858,0.927,1.264,0.325,3.541,0.7
Machinery and equipment n.e.c. (29),Tertiary,31,0.673,0.662,1.485,0.817,0.91,0.936,0.889,0.259,2.432,0.0
Aluminium and aluminium products,Secondary,49,0.455,0.443,2.2,0.653,0.863,0.916,1.349,0.347,3.853,0.653
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.525,0.515,1.906,0.713,0.884,0.928,1.227,0.315,3.41,0.713
Copper products,Secondary,49,0.457,0.445,2.189,0.666,0.792,0.873,1.478,0.38,4.384,0.666
"Lead, zinc and tin and products thereof",Secondary,49,0.273,0.257,3.669,0.461,0.765,0.89,1.759,0.452,5.808,0.185
Other non-ferrous metal products,Secondary,49,0.132,0.114,7.568,0.244,0.561,0.718,2.385,0.613,10.864,0.149
Precious metals,Secondary,49,0.19,0.173,5.261,0.395,0.594,0.716,2.297,0.59,9.946,0.395
Aluminium ores and concentrates,Primary,19,0.473,0.444,2.115,0.669,0.883,0.942,1.229,0.417,3.418,0.669
Copper ores and concentrates,Primary,27,0.166,0.134,6.009,0.329,0.561,0.765,2.14,0.649,8.5,0.023
"Lead, zinc and tin ores and concentrates",Primary,31,0.242,0.217,4.126,0.373,0.801,0.932,1.696,0.494,5.45,0.222
Nickel ores and concentrates,Primary,23,0.218,0.183,4.586,0.338,0.734,0.892,1.792,0.572,6.004,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.176,0.151,5.692,0.308,0.635,0.84,2.088,0.587,8.066,0.308
Precious metal ores and concentrates,Primary,29,0.167,0.137,5.981,0.284,0.624,0.823,2.092,0.621,8.104,0.284
