Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.359,0.341,2.782,0.553,0.877,0.911,1.507,0.421,4.514,0.553
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.155,0.137,6.449,0.284,0.641,0.749,2.392,0.615,10.937,0.284
Machinery and equipment n.e.c. (29),Tertiary,31,0.567,0.552,1.765,0.738,0.942,0.962,0.994,0.289,2.701,0.738
Aluminium and aluminium products,Secondary,49,0.235,0.22,4.247,0.382,0.715,0.79,2.072,0.532,7.941,0.382
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.18,0.163,5.55,0.359,0.617,0.735,2.34,0.601,10.381,0.359
Copper products,Secondary,49,0.141,0.123,7.102,0.325,0.528,0.626,2.595,0.667,13.395,0.325
"Lead, zinc and tin and products thereof",Secondary,49,0.435,0.423,2.3,0.649,0.781,0.835,1.586,0.408,4.885,0.095
Other non-ferrous metal products,Secondary,49,0.177,0.16,5.644,0.342,0.637,0.765,2.252,0.579,9.502,0.342
Precious metals,Secondary,49,0.314,0.3,3.185,0.516,0.778,0.869,1.735,0.446,5.669,0.516
Aluminium ores and concentrates,Primary,19,0.96,0.958,1.041,0.98,0.988,0.993,0.143,0.049,1.154,0.98
Copper ores and concentrates,Primary,27,0.418,0.395,2.394,0.596,0.917,0.959,1.242,0.377,3.464,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.171,0.144,5.84,0.305,0.64,0.794,2.153,0.627,8.614,0.0
Nickel ores and concentrates,Primary,23,0.191,0.154,5.235,0.297,0.66,0.825,1.936,0.617,6.931,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.339,0.32,2.949,0.563,0.721,0.826,1.746,0.491,5.733,0.563
Precious metal ores and concentrates,Primary,29,0.172,0.143,5.799,0.309,0.632,0.81,2.131,0.633,8.425,0.008
