Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.336,0.317,2.975,0.478,0.877,0.947,1.425,0.398,4.158,0.478
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.26,0.244,3.853,0.455,0.711,0.889,1.789,0.46,5.986,0.455
Machinery and equipment n.e.c. (29),Tertiary,31,0.765,0.758,1.307,0.873,0.932,0.951,0.677,0.197,1.969,0.0
Aluminium and aluminium products,Secondary,49,0.674,0.667,1.484,0.815,0.947,0.968,0.802,0.206,2.229,0.815
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.489,0.478,2.046,0.682,0.889,0.938,1.232,0.317,3.428,0.682
Copper products,Secondary,49,0.473,0.462,2.113,0.674,0.84,0.931,1.33,0.342,3.781,0.674
"Lead, zinc and tin and products thereof",Secondary,49,0.363,0.35,2.756,0.468,0.904,0.941,1.359,0.349,3.892,0.373
Other non-ferrous metal products,Secondary,49,0.266,0.25,3.764,0.43,0.815,0.905,1.729,0.444,5.633,0.43
Precious metals,Secondary,49,0.287,0.272,3.486,0.5,0.732,0.84,1.854,0.476,6.384,0.5
Aluminium ores and concentrates,Primary,19,0.387,0.353,2.583,0.597,0.796,0.928,1.428,0.485,4.172,0.0
Copper ores and concentrates,Primary,27,0.33,0.305,3.026,0.545,0.777,0.868,1.663,0.505,5.274,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.204,0.177,4.912,0.356,0.676,0.82,1.966,0.573,7.145,0.049
Nickel ores and concentrates,Primary,23,0.974,0.973,1.026,0.987,0.995,0.998,0.09,0.029,1.094,0.987
Other non-ferrous metal ores and concentrates,Primary,35,0.359,0.34,2.786,0.54,0.871,0.957,1.397,0.393,4.043,0.225
Precious metal ores and concentrates,Primary,29,0.475,0.456,2.106,0.673,0.859,0.932,1.272,0.378,3.568,0.673
