Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.189,0.165,5.304,0.308,0.665,0.771,2.156,0.602,8.632,0.0
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.177,0.16,5.651,0.355,0.627,0.754,2.327,0.598,10.249,0.001
Machinery and equipment n.e.c. (29),Tertiary,31,0.495,0.478,2.022,0.686,0.889,0.92,1.235,0.36,3.439,0.001
Aluminium and aluminium products,Secondary,49,0.215,0.199,4.65,0.31,0.739,0.855,1.991,0.512,7.326,0.0
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.225,0.208,4.454,0.404,0.7,0.819,2.063,0.53,7.867,0.0
Copper products,Secondary,49,0.099,0.08,10.081,0.233,0.434,0.592,2.743,0.705,15.54,0.002
"Lead, zinc and tin and products thereof",Secondary,49,0.29,0.276,3.445,0.495,0.778,0.864,1.842,0.473,6.312,0.001
Other non-ferrous metal products,Secondary,49,0.287,0.272,3.481,0.483,0.783,0.852,1.837,0.472,6.275,0.0
Precious metals,Secondary,49,0.106,0.087,9.446,0.198,0.467,0.636,2.601,0.668,13.475,0.003
Aluminium ores and concentrates,Primary,19,0.165,0.119,6.061,0.293,0.602,0.762,2.09,0.71,8.081,0.0
Copper ores and concentrates,Primary,27,0.42,0.398,2.379,0.499,0.941,0.969,1.113,0.338,3.043,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.124,0.095,8.075,0.194,0.507,0.721,2.331,0.679,10.289,0.0
Nickel ores and concentrates,Primary,23,0.205,0.169,4.87,0.313,0.754,0.866,1.866,0.595,6.463,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.49,0.475,2.04,0.68,0.872,0.911,1.264,0.356,3.541,0.0
Precious metal ores and concentrates,Primary,29,0.13,0.099,7.7,0.241,0.527,0.71,2.34,0.695,10.381,0.0
