Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.256,0.235,3.9,0.443,0.712,0.779,1.987,0.554,7.292,0.0
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.567,0.558,1.763,0.749,0.843,0.897,1.263,0.325,3.536,0.749
Machinery and equipment n.e.c. (29),Tertiary,31,0.617,0.604,1.621,0.777,0.922,0.951,0.946,0.275,2.575,0.777
Aluminium and aluminium products,Secondary,49,0.129,0.111,7.762,0.278,0.563,0.645,2.65,0.681,14.16,0.157
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.207,0.191,4.82,0.412,0.641,0.72,2.326,0.598,10.238,0.412
Copper products,Secondary,49,0.179,0.162,5.587,0.35,0.656,0.741,2.315,0.595,10.123,0.012
"Lead, zinc and tin and products thereof",Secondary,49,0.418,0.406,2.392,0.64,0.718,0.778,1.761,0.452,5.816,0.009
Other non-ferrous metal products,Secondary,49,0.11,0.091,9.115,0.27,0.445,0.579,2.746,0.706,15.582,0.036
Precious metals,Secondary,49,0.118,0.099,8.49,0.277,0.474,0.613,2.633,0.677,13.916,0.001
Aluminium ores and concentrates,Primary,19,0.121,0.072,8.258,0.212,0.521,0.703,2.354,0.799,10.523,0.0
Copper ores and concentrates,Primary,27,0.62,0.606,1.612,0.768,0.992,0.995,0.723,0.219,2.06,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.126,0.097,7.942,0.216,0.507,0.72,2.322,0.676,10.192,0.0
Nickel ores and concentrates,Primary,23,0.243,0.209,4.112,0.361,0.772,0.879,1.767,0.564,5.855,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.134,0.108,7.47,0.282,0.532,0.679,2.405,0.677,11.082,0.0
Precious metal ores and concentrates,Primary,29,0.625,0.612,1.6,0.784,0.901,0.939,0.955,0.284,2.599,0.001
