Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.729,0.721,1.372,0.851,0.922,0.963,0.744,0.208,2.105,0.002
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.329,0.315,3.04,0.557,0.712,0.789,1.92,0.493,6.824,0.0
Machinery and equipment n.e.c. (29),Tertiary,31,0.286,0.262,3.495,0.435,0.83,0.925,1.63,0.475,5.106,0.0
Aluminium and aluminium products,Secondary,49,0.754,0.749,1.326,0.867,0.926,0.953,0.735,0.189,2.086,0.001
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.294,0.279,3.4,0.44,0.803,0.855,1.778,0.457,5.916,0.002
Copper products,Secondary,49,0.185,0.168,5.404,0.375,0.613,0.76,2.278,0.585,9.758,0.008
"Lead, zinc and tin and products thereof",Secondary,49,0.844,0.841,1.185,0.918,0.957,0.969,0.486,0.125,1.626,0.0
Other non-ferrous metal products,Secondary,49,0.408,0.396,2.449,0.508,0.915,0.936,1.224,0.315,3.402,0.001
Precious metals,Secondary,49,0.268,0.253,3.73,0.454,0.772,0.835,1.887,0.485,6.6,0.002
Aluminium ores and concentrates,Primary,19,0.242,0.2,4.132,0.332,0.783,0.874,1.761,0.598,5.818,0.001
Copper ores and concentrates,Primary,27,0.382,0.359,2.616,0.575,0.867,0.958,1.347,0.409,3.845,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.462,0.444,2.166,0.665,0.835,0.924,1.325,0.386,3.763,0.0
Nickel ores and concentrates,Primary,23,0.962,0.96,1.039,0.981,0.993,0.997,0.128,0.041,1.136,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.46,0.444,2.175,0.651,0.88,0.93,1.287,0.362,3.622,0.0
Precious metal ores and concentrates,Primary,29,0.8,0.793,1.25,0.891,0.978,0.991,0.483,0.144,1.621,0.0
