Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.173,0.149,5.788,0.309,0.646,0.775,2.216,0.618,9.168,0.0
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.085,0.066,11.749,0.155,0.402,0.586,2.812,0.723,16.645,0.004
Machinery and equipment n.e.c. (29),Tertiary,31,0.293,0.27,3.407,0.478,0.793,0.927,1.612,0.469,5.014,0.002
Aluminium and aluminium products,Secondary,49,0.224,0.208,4.463,0.394,0.744,0.846,2.006,0.516,7.437,0.006
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.185,0.168,5.392,0.326,0.649,0.774,2.226,0.572,9.265,0.003
Copper products,Secondary,49,0.086,0.067,11.64,0.175,0.415,0.541,2.834,0.728,17.012,0.0
"Lead, zinc and tin and products thereof",Secondary,49,0.357,0.344,2.8,0.586,0.701,0.773,1.876,0.482,6.527,0.0
Other non-ferrous metal products,Secondary,49,0.207,0.19,4.831,0.397,0.681,0.765,2.176,0.559,8.808,0.001
Precious metals,Secondary,49,0.234,0.218,4.267,0.424,0.699,0.804,2.054,0.528,7.802,0.0
Aluminium ores and concentrates,Primary,19,0.494,0.465,2.026,0.694,0.801,0.879,1.305,0.443,3.688,0.0
Copper ores and concentrates,Primary,27,0.861,0.855,1.162,0.926,0.993,0.996,0.339,0.103,1.404,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.128,0.099,7.826,0.208,0.548,0.733,2.348,0.684,10.46,0.0
Nickel ores and concentrates,Primary,23,0.765,0.754,1.307,0.873,0.945,0.968,0.625,0.199,1.868,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.59,0.578,1.696,0.761,0.892,0.932,1.056,0.297,2.875,0.0
Precious metal ores and concentrates,Primary,29,0.162,0.132,6.165,0.289,0.629,0.759,2.208,0.656,9.101,0.0
