Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.203,0.18,4.933,0.383,0.654,0.771,2.172,0.606,8.774,0.0
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.098,0.079,10.194,0.22,0.469,0.598,2.815,0.723,16.7,0.018
Machinery and equipment n.e.c. (29),Tertiary,31,0.139,0.111,7.182,0.216,0.602,0.743,2.308,0.672,10.05,0.029
Aluminium and aluminium products,Secondary,49,0.12,0.101,8.359,0.305,0.456,0.56,2.857,0.734,17.409,0.004
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.083,0.064,11.988,0.191,0.412,0.537,2.949,0.758,19.084,0.005
Copper products,Secondary,49,0.142,0.124,7.062,0.307,0.553,0.69,2.515,0.646,12.362,0.001
"Lead, zinc and tin and products thereof",Secondary,49,0.35,0.337,2.853,0.581,0.695,0.776,1.924,0.494,6.846,0.004
Other non-ferrous metal products,Secondary,49,0.091,0.072,11.034,0.199,0.424,0.575,2.791,0.717,16.302,0.001
Precious metals,Secondary,49,0.073,0.053,13.783,0.167,0.334,0.482,2.906,0.747,18.276,0.001
Aluminium ores and concentrates,Primary,19,0.119,0.07,8.422,0.206,0.491,0.684,2.358,0.801,10.57,0.0
Copper ores and concentrates,Primary,27,0.947,0.945,1.056,0.973,0.996,0.998,0.16,0.049,1.174,0.0
"Lead, zinc and tin ores and concentrates",Primary,31,0.174,0.147,5.734,0.324,0.635,0.759,2.186,0.637,8.897,0.0
Nickel ores and concentrates,Primary,23,0.225,0.189,4.451,0.333,0.797,0.877,1.792,0.571,6.0,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.204,0.18,4.907,0.367,0.676,0.783,2.102,0.591,8.18,0.0
Precious metal ores and concentrates,Primary,29,0.126,0.095,7.938,0.232,0.506,0.698,2.326,0.691,10.232,0.088
