Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.156,0.132,6.417,0.27,0.627,0.78,2.259,0.63,9.574,0.27
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.384,0.371,2.605,0.602,0.773,0.838,1.754,0.451,5.777,0.602
Machinery and equipment n.e.c. (29),Tertiary,31,0.243,0.218,4.108,0.454,0.673,0.746,2.086,0.607,8.051,0.0
Aluminium and aluminium products,Secondary,49,0.467,0.456,2.143,0.674,0.808,0.844,1.579,0.406,4.85,0.674
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.297,0.283,3.362,0.528,0.684,0.761,2.085,0.536,8.043,0.528
Copper products,Secondary,49,0.129,0.111,7.734,0.299,0.505,0.634,2.679,0.688,14.568,0.071
"Lead, zinc and tin and products thereof",Secondary,49,0.35,0.336,2.859,0.526,0.832,0.874,1.628,0.418,5.096,0.526
Other non-ferrous metal products,Secondary,49,0.078,0.059,12.846,0.15,0.403,0.526,2.886,0.742,17.92,0.039
Precious metals,Secondary,49,0.074,0.055,13.462,0.112,0.313,0.485,2.82,0.725,16.784,0.007
Aluminium ores and concentrates,Primary,19,0.994,0.994,1.006,0.997,0.999,0.999,0.026,0.009,1.027,0.997
Copper ores and concentrates,Primary,27,0.915,0.912,1.093,0.956,0.992,0.995,0.242,0.073,1.273,0.956
"Lead, zinc and tin ores and concentrates",Primary,31,0.985,0.984,1.016,0.992,0.997,0.998,0.061,0.018,1.063,0.992
Nickel ores and concentrates,Primary,23,0.319,0.288,3.136,0.467,0.91,0.972,1.386,0.442,3.999,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.449,0.433,2.225,0.659,0.799,0.869,1.476,0.415,4.377,0.659
Precious metal ores and concentrates,Primary,29,0.97,0.969,1.031,0.985,0.994,0.997,0.108,0.032,1.114,0.985
