Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.828,0.823,1.207,0.909,0.96,0.982,0.476,0.133,1.61,0.909
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.829,0.825,1.206,0.909,0.974,0.99,0.456,0.117,1.578,0.909
Machinery and equipment n.e.c. (29),Tertiary,31,0.99,0.99,1.01,0.995,0.998,0.998,0.041,0.012,1.041,0.995
Aluminium and aluminium products,Secondary,49,0.478,0.467,2.091,0.648,0.937,0.971,1.1,0.283,3.004,0.648
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.81,0.806,1.235,0.898,0.962,0.983,0.518,0.133,1.679,0.898
Copper products,Secondary,49,0.237,0.221,4.215,0.45,0.637,0.755,2.032,0.522,7.632,0.45
"Lead, zinc and tin and products thereof",Secondary,49,0.31,0.296,3.227,0.512,0.798,0.897,1.673,0.43,5.329,0.136
Other non-ferrous metal products,Secondary,49,0.718,0.713,1.392,0.845,0.928,0.955,0.773,0.199,2.166,0.845
Precious metals,Secondary,49,0.546,0.536,1.833,0.73,0.855,0.95,1.143,0.294,3.137,0.73
Aluminium ores and concentrates,Primary,19,0.228,0.186,4.378,0.352,0.725,0.866,1.808,0.614,6.099,0.352
Copper ores and concentrates,Primary,27,0.282,0.254,3.546,0.404,0.814,0.909,1.643,0.498,5.169,0.404
"Lead, zinc and tin ores and concentrates",Primary,31,0.856,0.851,1.168,0.925,0.96,0.979,0.431,0.126,1.539,0.925
Nickel ores and concentrates,Primary,23,0.339,0.309,2.95,0.551,0.759,0.905,1.558,0.497,4.748,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.235,0.212,4.256,0.4,0.717,0.794,1.996,0.561,7.359,0.017
Precious metal ores and concentrates,Primary,29,0.141,0.11,7.085,0.242,0.584,0.759,2.24,0.665,9.395,0.157
