Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.306,0.287,3.263,0.501,0.791,0.884,1.688,0.471,5.41,0.013
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.199,0.182,5.033,0.3,0.693,0.817,2.071,0.532,7.935,0.043
Machinery and equipment n.e.c. (29),Tertiary,31,0.771,0.763,1.297,0.877,0.942,0.961,0.654,0.191,1.924,0.0
Aluminium and aluminium products,Secondary,49,0.385,0.372,2.599,0.605,0.747,0.861,1.657,0.426,5.242,0.058
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.136,0.118,7.368,0.243,0.561,0.711,2.342,0.602,10.404,0.078
Copper products,Secondary,49,0.17,0.153,5.886,0.367,0.549,0.673,2.371,0.609,10.708,0.029
"Lead, zinc and tin and products thereof",Secondary,49,0.535,0.525,1.869,0.726,0.823,0.881,1.277,0.328,3.588,0.025
Other non-ferrous metal products,Secondary,49,0.188,0.171,5.317,0.337,0.673,0.821,2.096,0.538,8.131,0.096
Precious metals,Secondary,49,0.123,0.105,8.113,0.227,0.507,0.725,2.415,0.621,11.193,0.042
Aluminium ores and concentrates,Primary,19,0.507,0.48,1.972,0.701,0.85,0.939,1.203,0.409,3.332,0.0
Copper ores and concentrates,Primary,27,0.292,0.265,3.422,0.476,0.797,0.883,1.653,0.501,5.221,0.024
"Lead, zinc and tin ores and concentrates",Primary,31,0.432,0.413,2.317,0.634,0.847,0.941,1.33,0.387,3.78,0.0
Nickel ores and concentrates,Primary,23,0.285,0.252,3.513,0.473,0.781,0.923,1.612,0.514,5.014,0.0
Other non-ferrous metal ores and concentrates,Primary,35,0.251,0.229,3.981,0.452,0.696,0.861,1.912,0.538,6.764,0.0
Precious metal ores and concentrates,Primary,29,0.534,0.517,1.873,0.712,0.926,0.956,1.073,0.319,2.924,0.0
