Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.234,0.212,4.276,0.351,0.755,0.879,1.838,0.513,6.285,0.3
"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.17,0.153,5.882,0.278,0.671,0.822,2.195,0.564,8.98,0.278
Machinery and equipment n.e.c. (29),Tertiary,31,0.508,0.492,1.969,0.693,0.881,0.914,1.216,0.354,3.375,0.0
Aluminium and aluminium products,Secondary,49,0.257,0.241,3.892,0.387,0.772,0.884,1.805,0.464,6.078,0.387
Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.165,0.147,6.071,0.254,0.62,0.811,2.197,0.565,9.0,0.252
Copper products,Secondary,49,0.142,0.124,7.065,0.258,0.574,0.725,2.361,0.607,10.597,0.258
"Lead, zinc and tin and products thereof",Secondary,49,0.436,0.425,2.291,0.632,0.883,0.937,1.332,0.342,3.79,0.08
Other non-ferrous metal products,Secondary,49,0.353,0.339,2.837,0.442,0.949,0.97,1.277,0.328,3.587,0.373
Precious metals,Secondary,49,0.655,0.648,1.526,0.799,0.973,0.991,0.743,0.191,2.102,0.799
Aluminium ores and concentrates,Primary,19,0.778,0.766,1.285,0.88,0.946,0.976,0.594,0.202,1.811,0.0
Copper ores and concentrates,Primary,27,0.488,0.468,2.051,0.674,0.898,0.962,1.145,0.347,3.142,0.022
"Lead, zinc and tin ores and concentrates",Primary,31,0.984,0.983,1.016,0.992,0.997,0.998,0.062,0.018,1.064,0.0
Nickel ores and concentrates,Primary,23,0.793,0.784,1.261,0.889,0.959,0.982,0.542,0.173,1.719,0.027
Other non-ferrous metal ores and concentrates,Primary,35,0.355,0.336,2.817,0.522,0.901,0.971,1.338,0.376,3.811,0.133
Precious metal ores and concentrates,Primary,29,0.254,0.228,3.933,0.432,0.743,0.849,1.858,0.552,6.412,0.432
