,Destination,Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
0,AT,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.246,0.224,4.071,0.351,0.729,0.807,1.927,0.538,6.872,0.0
1,AT,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.179,0.162,5.589,0.343,0.641,0.805,2.24,0.576,9.395,0.343
2,AT,Machinery and equipment n.e.c. (29),Tertiary,31,0.318,0.295,3.149,0.447,0.884,0.927,1.504,0.438,4.502,0.447
3,AT,Aluminium and aluminium products,Secondary,49,0.543,0.534,1.84,0.731,0.844,0.901,1.258,0.323,3.519,0.731
4,AT,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.205,0.188,4.878,0.376,0.688,0.783,2.185,0.562,8.893,0.376
5,AT,Copper products,Secondary,49,0.087,0.068,11.53,0.185,0.417,0.548,2.842,0.73,17.153,0.152
6,AT,"Lead, zinc and tin and products thereof",Secondary,49,0.349,0.336,2.863,0.573,0.733,0.837,1.788,0.459,5.976,0.068
7,AT,Other non-ferrous metal products,Secondary,49,0.369,0.355,2.713,0.555,0.86,0.899,1.526,0.392,4.601,0.555
8,AT,Precious metals,Secondary,49,0.33,0.316,3.028,0.555,0.723,0.811,1.835,0.472,6.267,0.024
9,AT,Aluminium ores and concentrates,Primary,19,0.14,0.092,7.155,0.222,0.577,0.754,2.217,0.753,9.176,0.0
10,AT,Copper ores and concentrates,Primary,27,0.547,0.53,1.828,0.73,0.892,0.936,1.121,0.34,3.069,0.0
11,AT,"Lead, zinc and tin ores and concentrates",Primary,31,0.132,0.103,7.586,0.248,0.533,0.721,2.336,0.68,10.34,0.0
12,AT,Nickel ores and concentrates,Primary,23,0.223,0.188,4.476,0.354,0.774,0.886,1.785,0.569,5.961,0.0
13,AT,Other non-ferrous metal ores and concentrates,Primary,35,0.905,0.902,1.106,0.951,0.974,0.984,0.307,0.086,1.359,0.951
14,AT,Precious metal ores and concentrates,Primary,29,0.129,0.097,7.777,0.251,0.505,0.704,2.353,0.699,10.514,0.0
15,BE,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.193,0.17,5.185,0.337,0.655,0.748,2.175,0.607,8.803,0.042
16,BE,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.107,0.088,9.373,0.212,0.483,0.646,2.637,0.678,13.972,0.212
17,BE,Machinery and equipment n.e.c. (29),Tertiary,31,0.202,0.175,4.956,0.29,0.734,0.893,1.913,0.557,6.771,0.29
18,BE,Aluminium and aluminium products,Secondary,49,0.376,0.363,2.659,0.6,0.717,0.815,1.698,0.436,5.46,0.6
19,BE,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.253,0.237,3.956,0.471,0.668,0.774,2.08,0.535,8.006,0.471
20,BE,Copper products,Secondary,49,0.138,0.12,7.239,0.327,0.481,0.585,2.597,0.667,13.425,0.327
21,BE,"Lead, zinc and tin and products thereof",Secondary,49,0.24,0.225,4.16,0.455,0.651,0.768,2.11,0.542,8.25,0.127
22,BE,Other non-ferrous metal products,Secondary,49,0.154,0.136,6.509,0.284,0.597,0.754,2.311,0.594,10.082,0.284
23,BE,Precious metals,Secondary,49,0.349,0.335,2.867,0.576,0.706,0.792,1.817,0.467,6.15,0.576
24,BE,Aluminium ores and concentrates,Primary,19,0.148,0.101,6.757,0.251,0.585,0.783,2.139,0.727,8.492,0.0
25,BE,Copper ores and concentrates,Primary,27,0.446,0.425,2.24,0.624,0.917,0.955,1.198,0.364,3.315,0.0
26,BE,"Lead, zinc and tin ores and concentrates",Primary,31,0.142,0.113,7.044,0.283,0.543,0.707,2.32,0.676,10.178,0.0
27,BE,Nickel ores and concentrates,Primary,23,0.215,0.18,4.644,0.346,0.758,0.873,1.823,0.581,6.19,0.0
28,BE,Other non-ferrous metal ores and concentrates,Primary,35,0.367,0.349,2.723,0.559,0.828,0.892,1.52,0.427,4.571,0.559
29,BE,Precious metal ores and concentrates,Primary,29,0.237,0.21,4.212,0.442,0.683,0.796,1.981,0.588,7.247,0.0
30,BG,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.451,0.435,2.22,0.657,0.837,0.89,1.438,0.401,4.21,0.0
31,BG,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.112,0.093,8.959,0.229,0.522,0.657,2.691,0.692,14.751,0.229
32,BG,Machinery and equipment n.e.c. (29),Tertiary,31,0.175,0.147,5.727,0.305,0.662,0.812,2.123,0.618,8.354,0.0
33,BG,Aluminium and aluminium products,Secondary,49,0.505,0.495,1.979,0.707,0.774,0.825,1.477,0.379,4.378,0.707
34,BG,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.094,0.075,10.601,0.242,0.398,0.536,2.864,0.736,17.535,0.075
35,BG,Copper products,Secondary,49,0.48,0.469,2.084,0.686,0.783,0.837,1.469,0.377,4.345,0.686
36,BG,"Lead, zinc and tin and products thereof",Secondary,49,0.28,0.265,3.574,0.4,0.769,0.825,1.854,0.476,6.387,0.339
37,BG,Other non-ferrous metal products,Secondary,49,0.134,0.116,7.443,0.283,0.553,0.679,2.558,0.657,12.909,0.072
38,BG,Precious metals,Secondary,49,0.446,0.435,2.24,0.657,0.805,0.878,1.482,0.381,4.4,0.001
39,BG,Aluminium ores and concentrates,Primary,19,0.248,0.206,4.04,0.431,0.736,0.868,1.82,0.618,6.171,0.0
40,BG,Copper ores and concentrates,Primary,27,0.724,0.714,1.381,0.84,0.996,0.998,0.528,0.16,1.696,0.84
41,BG,"Lead, zinc and tin ores and concentrates",Primary,31,0.432,0.413,2.316,0.621,0.881,0.929,1.306,0.38,3.693,0.621
42,BG,Nickel ores and concentrates,Primary,23,0.47,0.446,2.127,0.67,0.847,0.934,1.258,0.401,3.518,0.0
43,BG,Other non-ferrous metal ores and concentrates,Primary,35,0.124,0.098,8.074,0.255,0.514,0.679,2.428,0.683,11.333,0.049
44,BG,Precious metal ores and concentrates,Primary,29,0.953,0.951,1.05,0.976,0.99,0.995,0.159,0.047,1.172,0.976
45,CY,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.15,0.125,6.687,0.241,0.619,0.782,2.28,0.636,9.774,0.241
46,CY,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.097,0.078,10.35,0.197,0.417,0.597,2.708,0.696,15.005,0.116
47,CY,Machinery and equipment n.e.c. (29),Tertiary,31,0.259,0.235,3.855,0.446,0.736,0.893,1.809,0.527,6.105,0.446
48,CY,Aluminium and aluminium products,Secondary,49,0.427,0.415,2.344,0.643,0.758,0.846,1.586,0.408,4.886,0.643
49,CY,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.181,0.164,5.532,0.385,0.604,0.677,2.479,0.637,11.934,0.033
50,CY,Copper products,Secondary,49,0.138,0.12,7.264,0.278,0.556,0.647,2.59,0.666,13.335,0.041
51,CY,"Lead, zinc and tin and products thereof",Secondary,49,0.311,0.297,3.214,0.545,0.654,0.732,2.051,0.527,7.775,0.02
52,CY,Other non-ferrous metal products,Secondary,49,0.084,0.065,11.906,0.176,0.394,0.563,2.818,0.724,16.746,0.007
53,CY,Precious metals,Secondary,49,0.069,0.05,14.411,0.143,0.341,0.482,2.916,0.749,18.464,0.004
54,CY,Aluminium ores and concentrates,Primary,19,0.439,0.408,2.279,0.638,0.865,0.951,1.281,0.435,3.602,0.0
55,CY,Copper ores and concentrates,Primary,27,0.363,0.338,2.758,0.554,0.875,0.927,1.443,0.438,4.232,0.132
56,CY,"Lead, zinc and tin ores and concentrates",Primary,31,0.255,0.23,3.928,0.47,0.67,0.799,1.969,0.574,7.166,0.0
57,CY,Nickel ores and concentrates,Primary,23,0.444,0.419,2.253,0.643,0.858,0.941,1.268,0.405,3.555,0.0
