Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,302689.359677,-193.15463811060948,-4.905329377813949,-7.243009598843287,-10.111165131652157,-2.380354490081089
US,48679.1996737,-0.2638226360956004,-2.8305311451708093,-1.581440742704217,-0.5272017503834263,-22.814447930173955
DE,19165.2510876,-0.1142220132478311,-3.4960479452956505,-30.79903542089835,-0.1336079318987089,-0.08356464668877095
RU,18879.1824496,-0.002566821463899416,-0.004965648436318304,-0.006633660276634146,-0.0018162377948343078,-0.000641165189477988
JP,17109.5947277,-0.1100692373651615,-0.4027408504134513,-0.259441558313938,-41.723454675454164,-0.11769146439405631
WA,15732.4429953,-0.1556504957376319,-0.251615804288285,-0.1617336086604837,-0.5618530127185153,-0.07554454576830949
AU,12531.9933192,-0.028596085796859683,-0.046765832676307184,-0.04417494451570292,-0.2590689109192681,-0.009020805214944971
IN,11978.7770986,-0.12853724927584942,-0.03614771563324126,-0.030663533143183486,-0.034193971316341276,-0.01945867163642845
CA,11960.2679472,-0.08101883304758672,-0.42398539165410654,-0.3641944332234175,-0.11760996947676006,-1.1534815136695755
WM,11805.3345042,-0.04686891424630346,-0.1671538647549582,-0.119568116037442,-0.05710419058373617,-0.025346231396142116
IT,8923.67302338,-0.021125900176501844,-0.8030016486727973,-0.45802822508488816,-0.02057378117860509,-0.01511282395466651
KR,8673.57009522,-0.1108910551373441,-0.3033065240955466,-0.17928284296414176,-0.455781501192547,-0.09283353944442752
GB,8010.48600955,-0.023189171799634423,-0.8251659860043006,-0.9051800072829224,-0.11206456878742443,-0.06718108843534765
WL,7475.69132895,-0.020179401893757998,-0.060181289051257636,-0.06738071227130149,-0.009397998992270118,-0.026075294888372014
ES,7461.13251474,-0.039074596294359054,-0.36999372311155554,-0.08350517494613996,-0.008347694576308129,-0.011585422917590904
BR,6454.85163457,-0.01729947030550605,-0.01776899979116564,-0.01856693681560273,-0.004183861623111795,-0.00814944450553412
WF,6427.26361047,-0.009923850553258617,-0.12024942175846576,-0.015746855476777455,-0.002857195008225233,-0.002025321357422172
TW,6095.69118313,-0.0025185685117410372,-0.008977335879400528,-0.009866344314787057,-0.015527735290405076,-0.003286320497480233
FR,5375.02085894,-0.0341258859981739,-39.44669907340214,-0.2725286426901903,-0.01939476473595647,-0.02749300534816257
AT,5089.57196832,-0.007352630340156097,-0.2219137671529765,-0.3620550278045016,-0.008115796666459119,-0.00657617879512884
NO,4583.64797675,-0.003517834813774101,-0.03759693362398764,-0.04308884451637596,-0.0031205118405139842,-0.005161927659301568
BE,3993.548713,-0.017821568400430365,-0.432758897613958,-0.35525276290587726,-0.009240966173649667,-0.013322490524501518
PL,3840.61096127,-0.00810268615622789,-0.13616877517065262,-0.15795714851816456,-0.002758702553386172,-0.0021761003049505234
WE,3559.27925605,-0.005375364792246984,-0.023874888457292798,-0.04623887448389041,-0.0023679943237624457,-0.0022172713223369556
CZ,2954.31147437,-0.002457852092854651,-0.03499946972253554,-0.058942814631109286,-0.0013974256320636869,-0.0009654760630155579
