Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
AU,3048.47541169,-0.025099178151549495,-0.017672505054292742,-0.015772894848510077,-0.014748556450328465,-0.010105625074174895
CN,2603.31150983,-1.132492779096557,-0.05957079995826575,-0.07411753704610646,-0.11562330398268017,-0.026424852665726917
IN,2242.58684091,-0.0002444222702049359,-0.00018653997492634744,-0.00016784331432972976,-0.00015279000902523876,-7.314637788624623e-05
WA,1599.52781152,-0.029456657356568883,-0.024116903542811485,-0.016318531318859186,-0.04998420683484994,-0.01288485157697039
WM,1022.5175986,-0.0010098000633451676,-0.0020965580023926123,-0.0013946230088777156,-0.0009690194470763913,-0.0005314387562691536
WF,986.894287433,-0.01163232553607152,-0.06737404146748105,-0.01071223829109158,-0.0026603004176735112,-0.004688266194364132
WL,416.43589486,-0.0068179203676805855,-0.006212341634324048,-0.005628530837896051,-0.002979860659571898,-0.00995441982632883
ID,390.485203219,-0.010544236623584169,-0.002881192433619617,-0.0021822563689966046,-0.0054668200075624895,-0.0012704401741814308
BR,280.581818121,-0.002013407349959806,-0.0020372253622866765,-0.0016516442434522105,-0.0008379641174869334,-0.0014366310381035419
CA,207.504378799,-2.7246691406190848e-05,-0.00020730212256836467,-0.00019718601157592275,-9.33600411414659e-05,-0.00036041880996151576
US,184.282016273,-6.026155057625715e-05,-8.368886317100532e-05,-6.790336033191124e-05,-5.1184630706302414e-05,-0.009441292404076762
WE,117.07475279,-0.00679371823585484,-0.005425722382611298,-0.009815259060417247,-0.0013279882636680895,-0.0011209435393197964
RU,78.5125085936,-8.659301945712627e-06,-3.0083438971928445e-05,-3.425140511126301e-05,-8.964583052772923e-06,-4.280333783412971e-06
IT,73.5791874402,-3.4878202779253797e-06,-4.7776245317265875e-05,-5.2297975173587474e-05,-2.43240648956089e-06,-4.258507757981533e-06
GR,58.4331609286,-8.020541292097505e-05,-0.0006323345239138689,-0.00045416984534085714,-4.6002499367148175e-05,-6.908712390440996e-05
FR,34.5354208783,-3.991770004319051e-06,-0.001141777215543982,-6.276818464812095e-05,-3.28259606874326e-06,-4.806549341651589e-06
TW,26.0103873936,-9.76549426212614e-06,-4.3783177666512074e-05,-4.952245427602975e-05,-6.902858068968953e-05,-1.3188978314815358e-05
HR,19.4130743772,-2.9476649032744717e-07,-2.509562769148488e-06,-3.638536270500481e-06,-1.8781247490551323e-07,-1.9180808408236771e-07
TR,16.7608883352,-9.624888106252172e-05,-0.0005154672182783315,-0.00033218547491742356,-6.774785740759626e-05,-5.635886914490129e-05
CZ,12.1417238024,-1.3298860519483924e-06,-9.423838335465007e-06,-2.7647321303447825e-05,-1.1391164633778317e-06,-6.20949464291698e-07
ES,7.56486150521,-4.4921873332270934e-07,-5.204709843553701e-06,-2.3632706529497227e-06,-2.1232609270782632e-07,-2.648830701446059e-07
PL,6.84794213703,-1.2306894507929655e-06,-4.3128884364307396e-05,-6.195247124196612e-05,-4.5608120302631505e-07,-6.328056088023004e-07
SK,4.95961127103,-2.0130095812476156e-07,-6.452953549285212e-06,-6.827250672358787e-06,-3.8540640900919243e-07,-2.7399727287047426e-07
HU,4.80949295081,-1.9463696254717888e-07,-3.4823416257268036e-06,-4.469682949093112e-06,-4.512931468525494e-07,-1.5829111532639217e-07
DK,4.3419884646,-1.1473094509995008e-06,-2.2921078723925348e-06,-3.771855972445337e-06,-2.2553970069338902e-07,-3.575786422516103e-07
