Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,1483520.9035,-62.83286819715762,-5.457501175622411,-6.9786892104359595,-11.623466329727393,-1.8607082541483777
JP,212405.12581,-0.12601916048614648,-0.164159282800469,-0.12271427845934113,-24.574914451420636,-0.10465074074926406
KR,179575.348985,-0.29085087627891326,-0.5359735976230198,-0.20473794696022196,-1.0625946144132996,-0.11462911880656179
US,130138.432411,-0.39240342735809364,-3.018454463259012,-2.1273798344774946,-1.3052091213400274,-35.84843235423625
IN,109916.482339,-0.6230526973452317,-0.6560599696299505,-0.6219576933750091,-0.9385074874926431,-0.40085637636542515
WA,94034.7640963,-0.8626139510477788,-1.3553644919145285,-0.8195641884385623,-3.398685491062892,-0.40851077644640554
RU,81804.9236408,-0.027405836777983694,-0.1085961260052386,-0.10034004702680477,-0.04321849948739498,-0.009382691643480712
TW,71744.7571404,-0.004081981283274416,-0.011568880527590863,-0.014510622506350046,-0.031496633835438104,-0.005527734265399431
DE,66859.9415061,-0.21455084046718298,-10.64818347301324,-64.8701596222661,-0.18829688475047135,-0.13746105107060202
WM,46754.4837228,-0.17031156557254867,-1.230757029096118,-0.4873783478384439,-0.301394416135345,-0.1439377046646939
BR,44378.3270276,-0.06987994355121963,-0.10153092325295887,-0.07310705627946845,-0.02481734813372327,-0.05495333911771638
IT,38630.0756138,-0.06365208435506808,-3.638146779783085,-1.8126235033918192,-0.06285739655519507,-0.05122636218399634
FR,28044.8026459,-0.054047638663817565,-112.8371562961687,-0.7751574495709406,-0.037809061712728464,-0.04559299809882589
ES,27226.0297078,-0.035808758913184136,-1.3677443301373131,-0.425688605099765,-0.017489459875363877,-0.018684202640073977
CA,24113.7611741,-0.0949860076618414,-0.6377303421463907,-0.5004254238342583,-0.17804164907506248,-1.3728868862967545
WL,21000.6177451,-0.07874149275557762,-0.22520039618757437,-0.12682513065755074,-0.08606865251014284,-0.10214725954436688
TR,20999.2646868,-0.054404564083885276,-1.5464049506885118,-0.5442542924052987,-0.08487146136180712,-0.11339714341468721
MX,20667.9002643,-0.08838930516457211,-0.1457467323759758,-0.13916560854573845,-0.07134380447804034,-0.3130014162155561
WF,20416.4956618,-0.052537483765192405,-0.6424288885580438,-0.10245233912712592,-0.045917275857149775,-0.021236660334380986
PL,16473.2654391,-0.010049598961508366,-0.386587511051836,-0.43372357903416514,-0.0090477920305716,-0.005642259098110003
AU,13515.7327983,-0.0267433673152091,-0.03798746290468813,-0.031572668310900553,-0.032590119194594536,-0.011506849018132925
ZA,11191.4456125,-0.00642337435169793,-0.023236978776239425,-0.016642728594888467,-0.0030949897427703377,-0.0018594665042002134
WE,11113.7732743,-0.020403365169610055,-0.14738263672122542,-0.1493592524120686,-0.013195646918845227,-0.012766783629572842
GB,10459.9634056,-0.034242118563270196,-1.221676532386354,-0.5599555634730109,-0.052964145814563324,-0.044264887006406184
ID,10010.8315714,-0.11871137382551922,-0.13441928476835585,-0.08593911982791269,-0.23389471498716574,-0.03888131500728775
