Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,43919.9627638,-1.4463792926110557,-0.0961007940158467,-0.12624186051669994,-0.19114240406233307,-0.0444033395497172
WL,14977.7942053,-0.011320412115333411,-0.022408309643367375,-0.017139056039184197,-0.008854257424040668,-0.020735874323733583
AU,14433.4037025,-0.003824524826324449,-0.0034987325991622242,-0.003063756530991668,-0.0031460299075902753,-0.002088703024966776
WM,11098.0766539,-0.006704168035513547,-0.02185410605599003,-0.01232328053299625,-0.007537550146949457,-0.004459594664595556
WA,10611.4575763,-0.027367397110063862,-0.023180319926360937,-0.0165079657230649,-0.08586772244346008,-0.01102702592596927
CA,7257.07261786,-0.001080118188660606,-0.0021233979322161645,-0.0018099897076808702,-0.000931105183887837,-0.005403329840760307
MX,6855.74572401,-0.0037730806777638293,-0.004927313059461369,-0.00514145707637681,-0.00213185526573767,-0.01208648030106474
US,5658.31967461,-0.00873384320204984,-0.014226816618943872,-0.01266289477985083,-0.008637910967713935,-2.188204807795614
WF,5535.67577041,-0.002618601498294737,-0.01094815878257549,-0.0023030117913549475,-0.0007961265892362235,-0.000926530120722191
PL,3651.30003326,-0.00025706819448423346,-0.0019693653624202057,-0.0029113878029534135,-0.0001434372187389954,-7.90699302797293e-05
ID,3606.95862624,-0.0018875045058042161,-0.0008083099382076853,-0.0006357307995017436,-0.001584229431358608,-0.00032576217778057526
RU,2531.72288086,-0.00010239645150633692,-0.0003523123354440827,-0.00042300605792888746,-0.00010036586432704553,-4.547117056574734e-05
SE,1916.75123864,-4.721448164701769e-05,-0.0003310796273012784,-0.0003690216394147683,-2.9572778807107625e-05,-3.34149934673178e-05
BR,1742.77781138,-0.004021154572329877,-0.004303494525558449,-0.0035140832503657293,-0.001574461751722822,-0.002878629706344782
WE,1190.02995336,-6.228683260012247e-05,-0.00025329820210373555,-0.00030692431647594276,-3.754407637046597e-05,-3.1462969857898315e-05
BG,837.6323159,-4.084324789666027e-05,-0.00022487071540666648,-0.0002626426792744496,-1.8870605764220727e-05,-2.6204959411302298e-05
RO,761.432452709,-0.00030962405710610597,-0.00416513200748625,-0.003642237260919501,-0.00024018348379684085,-0.00021125705519864368
ZA,652.485136932,-0.00020486079542259006,-0.0002614726119958277,-0.0002537314421715564,-5.918841327456903e-05,-4.854456898328863e-05
FI,538.94670155,-5.4998875423706295e-05,-0.00017539461073567963,-0.00020214253817130157,-3.083221072586184e-05,-3.007886525097092e-05
ES,496.353395253,-0.0012810946312971083,-0.021253086674136057,-0.006091693755820415,-0.0005541403907400877,-0.0006043645622639815
IN,424.233300452,-0.00018945357232880156,-0.00029753319422809454,-0.000300280701480915,-0.00020244109672518107,-8.328884470643061e-05
TR,364.210643924,-0.0001884273295225114,-0.0008841066493232574,-0.0005523788615278136,-0.00010826388987084101,-9.870598914574202e-05
TW,323.219203569,-9.122202598632612e-06,-5.2292584982183143e-05,-6.094983916682395e-05,-8.329111575022807e-05,-1.5307137374520607e-05
PT,50.9235379938,-7.564941402193881e-07,-2.2549722139331152e-05,-9.894200786675356e-06,-5.048199298585132e-07,-4.147325967096549e-07
BE,12.2515032394,-1.7654519858467665e-05,-8.204782875509409e-05,-4.076569535982344e-05,-5.5878086868688115e-06,-9.870163580671942e-06
