Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,185942.772847,-44.78388444087626,-16.318713729016746,-19.17151979806829,-77.4968669895531,-6.495360653287918
WL,26594.6169905,-0.23486196174070173,-0.5322571409749344,-0.5721151291095907,-0.24677616903351662,-0.5470258647698358
US,23498.401874,-0.08786699328648062,-0.7637153795769578,-1.1752773057795594,-0.5752642537432635,-3.9340881995494783
KR,20640.3301708,-0.06006790438478582,-0.18156265785594883,-0.218371191650931,-1.2376841790519109,-0.11828360571419694
DE,15626.8650221,-0.03681616281080302,-1.624379443310886,-10.651250691267876,-0.10481176512941204,-0.08546439098593339
IN,14297.811393,-0.07691681565484743,-0.06561505288330238,-0.06401053502600007,-0.14524707339047183,-0.02771675844252286
JP,13472.2633897,-0.03636360541392136,-0.11321357113016717,-0.13448893719964872,-52.717283714153425,-0.08918683160770513
BE,11391.2724989,-0.01736720853784668,-0.9964373908839761,-0.4158050309912369,-0.026145993845716475,-0.026916228754203075
WA,11254.8538271,-0.13286484082277994,-0.3320755033844449,-0.37421810811832756,-3.7440025847022724,-0.12132632999008308
RU,10959.7511128,-0.003307156870723915,-0.009845891820717156,-0.012195649099169259,-0.004260246009479829,-0.0015351152490552522
WM,8058.25087619,-0.012432305777801744,-0.13549763296541784,-0.08416333931739928,-0.034042128799328,-0.01331373715170514
MX,7762.6162524,-0.032322179021466724,-0.07418048365337171,-0.10644159525492114,-0.04881634146915559,-0.20592934211842362
IT,7000.74813796,-0.011966219273327638,-1.041656488383424,-0.6437606108643195,-0.032586466487273924,-0.03687299668631283
FR,6717.29554397,-0.011847099001945693,-15.505095734642474,-0.3951270779514289,-0.019141747234932893,-0.01212197070236698
SE,6033.99082444,-0.0019719718373387707,-0.0634335695811501,-0.07178020630374249,-0.004460556772251323,-0.00571889470684539
AU,4855.65557667,-0.007921554372119388,-0.007449170978993891,-0.0066088687839851445,-0.007377396441810902,-0.004346531759480854
BG,4727.07895745,-0.01064150491734317,-0.09841744203631464,-0.11329442373562415,-0.008907014838229088,-0.006903091080999957
ID,4720.20625618,-0.015081919910123531,-0.012548035161863424,-0.010704600394717545,-0.11730831128527797,-0.004391279128952874
WF,4649.49551747,-0.013549236178278079,-0.5763357726814817,-0.1519740350970551,-0.014162189883300869,-0.01070896220115003
CA,4530.97171535,-0.007953905909973358,-0.07038295916143511,-0.06456467930621557,-0.03063825509662621,-0.12035732812950073
ES,4045.71450775,-0.011084572508755386,-0.42003973534291816,-0.14607050580451642,-0.008981439151405368,-0.015963905220814922
GB,3265.40889665,-0.01268919924660672,-0.7049416166843372,-0.5370251351949378,-0.16296344299622945,-0.09087515271252755
AT,3228.43145195,-0.002108363562275173,-0.07707536806927351,-0.16778234353324706,-0.004125759071108348,-0.002904697376109766
TW,2524.44384113,-0.004265270600452453,-0.02574585613034941,-0.032227929547502754,-0.147850508467954,-0.011272778960233154
WE,2512.71822062,-0.0038996304617402444,-0.030357003220181866,-0.059087563019943445,-0.002579142588594152,-0.0017593370941852982
