Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,1208524.15293,-306.0008601715625,-45.176549625885976,-59.7678802552997,-109.19743787359236,-16.068705070732847
JP,182703.899794,-0.4151491694625751,-0.285052256325379,-0.30230552595537574,-21.44160661962913,-0.1843125832962187
US,162341.435816,-0.967177205303269,-2.3424508929381744,-2.01189593839905,-1.5732463096762217,-27.092488460927044
DE,157062.589973,-0.2695418082013994,-3.6427810220716097,-30.09171868808545,-0.2653897162379124,-0.16247412360787905
IN,137719.752987,-0.2657181018373116,-0.18273844778231307,-0.16719786974698536,-0.20029289101944414,-0.06265869368320409
KR,94444.1062361,-0.875163363111211,-0.7900578904610356,-0.6533969407398104,-1.7417348431470288,-0.3241691743151307
WA,88661.0989477,-1.5673883895711533,-1.5125972443067823,-1.3311282551233035,-5.2175780257894,-0.554436604123481
IT,60295.5608205,-0.041898528510898814,-0.6910572044524628,-0.5342586070533457,-0.025830370687145887,-0.023426387373035595
FR,44286.6894916,-0.10986250527212071,-29.895962797576267,-1.268052468844303,-0.07463053791897778,-0.0710742147182657
WM,44172.9264263,-0.3186990422750231,-0.9191308406997365,-0.5964181176061061,-0.306986152131131,-0.15419274840454023
MX,38345.4098837,-1.0004690841298007,-1.839931133234387,-2.061139747191703,-1.133592285370419,-4.304529178570405
ES,36051.2279715,-0.04221110686231988,-1.3863285116126178,-0.36971118473888964,-0.02341181716231233,-0.019578385679466237
TW,35577.5782904,-0.0913841498374186,-0.6791832068864423,-0.9565608542993118,-1.3160154713619079,-0.21030644099080575
GB,34291.2255271,-0.12714747668624504,-1.7177947720017812,-1.3812059381033919,-0.15193566554113858,-0.13804954674887426
WF,30083.3312836,-0.07278395360127377,-0.4980093596734321,-0.10346952704384194,-0.032696940727213075,-0.017071319465827628
WL,29976.2920814,-0.224653299225821,-0.2813556956237022,-0.2404479172914762,-0.12355380079227274,-0.22642461452571183
PL,21950.1641463,-0.06671653843930869,-0.7322540225677372,-1.0196455685840533,-0.043239811106488446,-0.022902242815732166
AU,21762.3315085,-0.0323326013984051,-0.03476167798719132,-0.03633964786178012,-0.0315122407647479,-0.011998341498994591
CH,21506.2408562,-0.04914738205651048,-0.8732471807779731,-0.9530444508969254,-0.03637746639495276,-0.03350961250474427
BR,21208.6842128,-0.045168638897798985,-0.07787576997492351,-0.08301456192452861,-0.02190156571003854,-0.026729368926339703
ID,19725.1955108,-0.10410677833876392,-0.048888641730044924,-0.03689738041191504,-0.06749153156121679,-0.012064765145311185
CZ,18028.7322397,-0.054763896566669246,-0.7798781548151155,-1.2310567247143922,-0.04337908571346105,-0.025528974364036117
DK,17320.6951189,-0.02524733456946926,-0.1469268695551662,-0.26190779946443854,-0.01302764271551382,-0.015590433140403093
TR,16698.7203835,-0.05421158212108779,-0.10617575912984734,-0.08667991648292173,-0.01894497583705146,-0.012160928792383174
AT,16604.4848932,-0.02311257703263081,-0.39801734833545055,-0.8343473066750562,-0.022080511416774584,-0.017921552394000173
