Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,772204.23135,-109.40835354906442,-9.119450838834119,-12.439048600656918,-17.853395635544075,-3.2605689435359864
US,399236.949469,-3.655755271062352,-12.164465612527351,-9.597765983148292,-6.327600814950742,-223.12753651751785
DE,176534.312299,-0.1651522648082384,-3.4627819830884654,-30.125437008266772,-0.12949013160215372,-0.10297135264798385
JP,130401.892516,-0.46733906655812874,-0.5136242013489465,-0.401613540571077,-60.19760907421396,-0.2864405629867832
IN,113809.997446,-0.49353664804644737,-0.5887732998915709,-0.5048191449308206,-0.5789967862570009,-0.21815114601521657
IT,111043.887423,-0.013360853781435367,-0.4339141783989575,-0.2379223500758485,-0.01068309421044944,-0.009240621959961004
WA,92032.094942,-1.2121225888050855,-1.627519551883573,-1.0850167012109182,-4.387184603713749,-0.5231040287488469
KR,90942.1276905,-0.5224386236232927,-0.5527006772263476,-0.30965608852778814,-1.0507781012636954,-0.17820302359407947
RU,83721.5455433,-0.006616879187028246,-0.016610679480166368,-0.022701886177969754,-0.005971490743057473,-0.0018106711433603095
WM,71510.9070141,-0.32286472750647555,-1.480749553959015,-0.7828807947801124,-0.4087744302712011,-0.2008011978056743
FR,70771.8676571,-0.04711642678472394,-20.613251937065577,-0.7278545845843496,-0.029696612499058972,-0.0374887498248313
WL,57014.8434905,-0.13534247730217608,-0.3075549103171582,-0.22272836384809125,-0.1002395953089561,-0.1531791970068781
ES,52527.5689253,-0.0042466036351171965,-0.23260207847425818,-0.050493520372526746,-0.0022987604249209426,-0.0021743639503171153
GB,49938.0981286,-0.12966994624259165,-1.6074752223089277,-1.2983018054627564,-0.1336018145093547,-0.12519908530669
TW,38481.4115169,-0.037454226195636764,-0.2676591048793924,-0.2810918378051497,-0.4159657471528462,-0.07347148171845674
PL,35039.4764258,-0.034930851969068755,-0.8592578485118523,-1.0577951672245263,-0.027214508781611357,-0.0171035181784589
BR,34896.2764404,-0.02248230567946763,-0.03896492779396965,-0.03467228961460478,-0.008261780128933083,-0.012784209163498872
WF,34741.3844016,-0.08979032518516838,-0.9256672919839772,-0.15095917455482777,-0.051972634659811945,-0.024872755004295755
NL,33678.4828617,-0.05689808289218057,-1.106982147940812,-1.2741495663100295,-0.04492224213029772,-0.043882713071454305
ID,29376.28334,-0.050368580732047974,-0.04907453447432886,-0.030199407022962532,-0.07053583821824105,-0.01750369733220225
MX,25116.9436887,-0.3704240397625451,-0.8798084989409318,-0.9000698308694837,-0.45374569068818715,-1.8907354198693866
CH,24192.0835177,-0.04537942758895852,-1.0726359184143703,-1.1006717125800947,-0.032717570279857,-0.03660978420928984
CA,22383.6999166,-0.22299021329277124,-1.0449821399178632,-0.828159429897255,-0.30893387134977957,-2.3158699071352373
CZ,20258.2518568,-0.02344694815836945,-0.40088297804486217,-0.5887861247396131,-0.016553264112872057,-0.010448341643069625
TR,19958.4358763,-0.061391682782785395,-0.7971668672559673,-0.33249227113941515,-0.04431007501906237,-0.06100213555805567
