Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,76660.1064363,-19.558552213229397,-1.9218676246352402,-2.2819710691109663,-7.795011057425199,-0.9890006722250604
KR,5016.36379003,-0.037038191355350136,-0.07913962128893814,-0.10119372775545799,-1.2398265407656268,-0.07607116366872901
WA,3918.87857006,-0.0683267012788864,-0.21160357638471794,-0.10558624121136972,-2.471950185912476,-0.043662722461519365
MX,2966.67507146,-0.02510153408393201,-0.020219806126220874,-0.038796502954994594,-0.05917079149813986,-0.08742286424747192
IN,2876.36183251,-0.03238180132992419,-0.022990360759941098,-0.02082997923292851,-0.06354825690679178,-0.011876193956013026
DE,2383.06556946,-0.010298365286590894,-0.10392252019580184,-2.5184849817058534,-0.17224491456615,-0.011079121334972797
WM,2372.84530064,-0.004170808163916462,-0.010993506072260573,-0.012075788178719904,-0.013103296279140864,-0.003129162058826296
AU,2372.50872795,-0.010328051406773398,-0.013211293945630587,-0.01701944950758616,-0.03139193875161794,-0.007893791264578454
JP,2359.9885465,-0.006983257695718947,-0.0277601797807705,-0.019822818644001927,-39.73311644475516,-0.011901753618474231
CA,2258.20761654,-0.005426577465028615,-0.02061515775399414,-0.020085754803403688,-0.015280850580943195,-0.04606427080609876
GB,1809.01053253,-0.003180015363318134,-0.02530417786825012,-0.10163303376339172,-0.15190359032089873,-0.007545007261995806
ID,1584.89485281,-0.004053358694942943,-0.002252837890800663,-0.0016967612044709313,-0.008855330442933962,-0.0007632515603290813
WL,1538.01740743,-0.011121517085380006,-0.01387905060981609,-0.012427681613019104,-0.006476555471905954,-0.015909505373087995
IT,1449.73772137,-0.0030756574636594536,-0.04883369323970754,-0.07395346326518393,-0.04038512249955062,-0.004714110274420591
WF,1422.97494679,-0.002884991439097817,-0.01828765281454281,-0.005792540698507764,-0.001990563917530608,-0.0012496108901842717
PL,1391.22992863,-0.0014612358058272434,-0.015740292590820104,-0.05185213021866275,-0.007715221761117164,-0.002599046306599462
US,1249.65983986,-0.0058114106452133996,-0.029612876020898682,-0.0799540877904974,-0.25596826657393734,-0.4120190842556468
RO,1116.70833809,-0.00029710598975718483,-0.001522591393985806,-0.0023374455059865795,-0.00032152121225692554,-0.00016524214539970217
TW,943.648756495,-0.0006197935268410504,-0.0033854920630034258,-0.0032301776021199657,-0.03655330185279837,-0.001069279654274169
RU,776.319441382,-0.00016912684326086946,-0.000515526733856575,-0.0005940054285815677,-0.00028839757649734565,-8.190350185088846e-05
SE,756.398795007,-0.00033457843113993135,-0.0019339328794814037,-0.0037546944887481004,-0.0009178002448351208,-0.000280710044847865
BG,714.443435685,-0.00021760192698927483,-0.0015168094398063658,-0.0014441047293871634,-0.0004623260332294876,-0.00012976525417229823
WE,708.247418644,-0.001445575629343665,-0.0015224789620802426,-0.003284946453277371,-0.002472634332818302,-0.00029827899149381665
FI,705.559429349,-0.0005201479831544731,-0.0028225812805899864,-0.002987016931740527,-0.0021138407714644813,-0.0003006193924619538
ES,674.147197201,-0.008716415235328512,-0.07484907929523388,-0.04815398332175391,-0.04056482903067149,-0.008245918068183755
