Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,6640.55900258,-0.09058603794497344,-0.008336029688223334,-0.010298966240611662,-0.015099040523324447,-0.003256266435258226
WA,5648.08521346,-0.005246745525251839,-0.0045827503826743055,-0.003158477766305623,-0.008493523653910984,-0.0018772718364630236
AU,4566.47024141,-0.0015541872035989002,-0.0017707735168244199,-0.0015016966864322967,-0.0014466674895317055,-0.0007852163739414664
WM,3941.54010863,-0.0016328811784820374,-0.00449764584526946,-0.002701762282413256,-0.0016341807213748893,-0.0009232313067002451
ID,3342.94294073,-7.421715557320852e-05,-3.747430137934771e-05,-2.8819116437261982e-05,-6.631352133723567e-05,-1.3161116456217314e-05
WF,3318.44286068,-0.0030107345388916684,-0.018044804523732694,-0.0030967281063567498,-0.0008881688782196306,-0.0011930566042366308
WL,2317.29974654,-0.0012164243058983004,-0.0015486447615415955,-0.001435046584902011,-0.0006961291906364409,-0.0018161641023368702
CA,2123.89348293,-7.440740212949493e-05,-0.0001908241956343204,-0.0001619397710328485,-8.022984992095417e-05,-0.0004469056688378714
RU,1215.22544909,-0.00024455411346480105,-0.0008154045737782667,-0.0010152465567898616,-0.0002668479026226578,-9.775329112926556e-05
US,751.364374474,-0.0003037477897684937,-0.0004776563465753725,-0.0004407694491419534,-0.0002923082705734714,-0.09370645540388978
SE,505.998904792,-8.86657177368022e-06,-7.385227501544023e-05,-7.991029752929535e-05,-6.141912088253321e-06,-6.207516051404127e-06
WE,432.293357081,-0.00019443679785169365,-0.000915946493094566,-0.000743888587408037,-0.00017167932545447684,-0.00011298864936293285
IN,358.72940197,-1.982209397866086e-05,-1.789238323368636e-05,-1.845946428602474e-05,-1.3708658272548746e-05,-6.4678200573098366e-06
BR,308.789623168,-0.0009095230711810842,-0.0010425074227455866,-0.000888533360978272,-0.0004190303528162076,-0.000566118859850917
MX,300.036945336,-0.0002313157587909842,-0.0002325869725297025,-0.00024483713997369705,-0.00011774850862877884,-0.0005981840276092498
DE,242.347315177,-9.580489257743352e-05,-0.0009709393844801184,-0.05054018309340336,-8.432147718906435e-05,-4.99442424057861e-05
TW,196.538913415,-7.878237365588348e-06,-5.0322278696057765e-05,-5.7091337680503784e-05,-7.189687760700281e-05,-1.414350028028366e-05
RO,173.801254868,-5.20469371956267e-06,-7.826678104549956e-05,-6.980171406212321e-05,-3.7177234233354284e-06,-3.3882100609616828e-06
IE,133.991487109,-2.165950975907549e-06,-2.6216737481377095e-05,-2.1357194384563627e-05,-3.0947559110927614e-06,-5.435578827928111e-06
PL,96.3450902586,-4.739969579503622e-05,-0.0002755278310857534,-0.0004078873479897993,-2.1524405077855135e-05,-1.2743361153866317e-05
ZA,80.5488124835,-3.0731008390461056e-05,-6.284704567605104e-05,-5.882533992007666e-05,-1.3307399420625643e-05,-9.619024623930272e-06
TR,74.0736751766,-4.5067294797362933e-05,-0.00026229686785939066,-0.00015767607470706935,-3.214035372423041e-05,-2.762664009026139e-05
PT,43.8293552991,-6.290368876449293e-06,-0.00019541287722546485,-9.116329380276511e-05,-4.37808351705371e-06,-3.3455588521746904e-06
BG,35.7090334528,-9.96999072455651e-06,-6.319703901880303e-05,-7.290869149301216e-05,-4.580799689790638e-06,-7.435477456851913e-06
FI,16.5921877474,-5.530183992519255e-06,-1.545669564961827e-05,-2.3033364016100677e-05,-2.9336250051414936e-06,-2.8623245498238248e-06
