Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,1805442.04689,-589.2285797631006,-47.30016050566764,-61.452096336218176,-96.94201684956016,-17.360742254494326
US,483442.74612,-4.050113025327296,-9.474490208282443,-8.265230546129658,-5.382162046983645,-122.26397563884258
JP,345456.511066,-1.542152803741212,-1.4627347528728762,-1.2962876722683632,-108.040028063067,-0.7639767734563065
DE,301666.359652,-0.9942961848452541,-16.74902488174877,-58.232725292154726,-0.9075533372174931,-0.7143604752675117
WA,169947.00926,-0.6341709301472491,-0.709289768761522,-0.5193217038691955,-1.4791452195459627,-0.22474423346568528
IN,157631.393479,-0.5696790306137984,-0.824007565156883,-0.7239222582646221,-0.7007499789309364,-0.2397057546285737
KR,149462.93787,-0.16321111908142072,-0.1905825586351355,-0.14569197303131887,-0.38273265507942256,-0.06825570661621327
IT,149379.536851,-0.16021108207521628,-3.567177608707521,-2.355241893910204,-0.123824357649859,-0.10678747164460844
WM,127229.352918,-0.18101924285439885,-0.6566829548052056,-0.39619192413880455,-0.2001229222361829,-0.10981162273337475
WL,80744.2057646,-0.06380024357525116,-0.13143639531288187,-0.10271011290797105,-0.04553356334940162,-0.06847753629979536
FR,75882.1600042,-0.04746762143792438,-12.566032012081592,-0.5270591701126932,-0.028461952852723016,-0.02911815909361337
GB,61045.7394035,-0.05303895151142868,-0.6491047480282788,-0.5254142863808511,-0.05532523375099885,-0.04975544587594527
WF,56195.2631533,-0.03199978746038035,-0.26423595656800103,-0.05068285526959926,-0.01611321796108456,-0.00928240193222507
TW,53333.8056238,-0.01365312520917783,-0.08687024859366232,-0.09153208738956664,-0.13714377755495377,-0.025810960899462998
BR,52005.6917423,-0.031721382701070056,-0.07613881166126646,-0.06471260287241876,-0.017479846633008833,-0.021441423356449718
RU,46325.2127747,-0.0016691948120453048,-0.0032845933101555147,-0.004648704817782345,-0.001206677543130752,-0.00043589101889551785
CA,40058.0073692,-0.13927216769257278,-0.3836143307568918,-0.318219863846366,-0.16629530099222478,-0.8659918386782266
ES,39646.7061414,-0.011682335791224574,-0.43064762826401903,-0.10538538503504924,-0.006344684759781671,-0.005505233626081463
NL,35172.0485557,-0.03240467139283432,-0.31636859705519527,-0.3570501773798469,-0.03474627357304172,-0.029864379049797662
CH,33853.7850164,-0.04131074935892087,-0.8870076967971201,-0.9528496256008339,-0.028474504601760486,-0.03267367944206967
AT,33743.903495,-0.015788889261985517,-0.3985283345239097,-0.7467882200717213,-0.014631219032906984,-0.012563954203798744
MX,32472.9622987,-0.09554016918025177,-0.20567219279492832,-0.21609274287447988,-0.1097345585627636,-0.4552538763587961
SE,28711.1577506,-0.01822270963592132,-0.24890559380489208,-0.30449091663086847,-0.016657026597911795,-0.014479855450090895
TR,28630.0893834,-0.008328345335227638,-0.05501948049431604,-0.027620026141846665,-0.004331003097000519,-0.0045630714312636655
PL,28477.0255499,-0.03348253799045331,-0.5056562486585889,-0.6218353669435714,-0.026179699952848523,-0.01473295750622583
