Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,6610.29923543,-0.12190946968324745,-0.009556647311960376,-0.011852640360132227,-0.017666546306159603,-0.004061953376947258
WA,4631.05959569,-0.006206063667024253,-0.0046251493357303275,-0.003207094744141159,-0.00841760281199555,-0.0024051738144805768
ID,3942.34005263,-0.0013489997625306671,-0.0006469776266797567,-0.0004917621203048839,-0.0009246326093901303,-0.00022907312927600287
AU,3489.98667065,-0.0005488928840318152,-0.0005390222490717633,-0.00044404055694258204,-0.0004314017915731938,-0.0002883222680338804
WF,1739.03858016,-0.0005277850775122772,-0.00295364962011746,-0.0004627280132467604,-0.00012650899118682446,-0.00020534793972615262
CA,1274.523137,-0.00011251409449641869,-0.00024747551001524926,-0.0002096909214515108,-0.00010237882124641828,-0.0006018309997131155
BR,727.681403815,-0.00039737044826893,-0.0004163607406226788,-0.00035181907429659987,-0.00016009712959430544,-0.0002903064909673958
WL,453.048485767,-0.0005518462310849515,-0.0005821653205231314,-0.0005094671960819142,-0.00026681521922711227,-0.0008285349872920733
RU,397.278118529,-4.7051592131808206e-05,-0.00014343234581559727,-0.00017117051993409405,-3.995178536086996e-05,-1.897613833534706e-05
WE,241.646275341,-0.0001631522876373026,-6.295149307788961e-05,-0.0001561134372423112,-2.1006469332007782e-05,-2.0895701680956336e-05
ZA,171.184837918,-2.2751199990622695e-05,-3.326730683994583e-05,-3.1189534013265074e-05,-8.356834896972032e-06,-6.4658047449484e-06
WM,161.166556978,-4.307182861928993e-05,-0.00019110214171291773,-9.974978553373148e-05,-5.246599464925339e-05,-8.471389871544943e-05
ES,46.9964095571,-2.3596237680223453e-05,-0.00043421315543668015,-0.00011551769421203062,-1.3444973454568299e-05,-1.4418310513519828e-05
GB,37.2516123756,-6.809826855302958e-06,-0.00016544756866210264,-4.1909413539542584e-05,-6.664807585821109e-06,-7.879370443220068e-06
KR,36.7169921717,-0.00011186882877822768,-5.757110824333722e-05,-4.5097104191427206e-05,-0.0003851200982865066,-3.953818786328611e-05
SE,34.3018406,-4.623665422087697e-06,-2.4160040197784838e-05,-2.8887406244848535e-05,-2.5453694618704503e-06,-3.3177275753359936e-06
IE,33.1252324566,-1.2309266139709507e-07,-1.399047334871284e-06,-1.1709631735357107e-06,-3.5775983775465647e-07,-2.7253895495960023e-07
FI,15.5414136452,-6.311469975983641e-06,-1.5875094810269275e-05,-2.261056249608373e-05,-2.9440888908993657e-06,-3.22353602655312e-06
DE,5.76850537752,-2.6779745102345487e-05,-0.000974405292481606,-0.0039912772004413455,-2.4216082245231974e-05,-2.9904901197141953e-05
CZ,5.58974570107,-7.182160235430501e-07,-1.6691607243046747e-06,-4.434568040778686e-06,-2.000383929612326e-07,-2.2225272289233544e-07
SI,4.72047317436,-6.034405330979098e-08,-5.687673763077328e-07,-9.558518740959698e-07,-1.900103541174758e-08,-2.4813232357701054e-08
GR,4.05532176845,-1.470235133638198e-08,-9.608784523607028e-08,-7.811320301698288e-08,-1.1049266390728008e-08,-2.4666917397553334e-08
MX,3.84339940257,-1.2294730382222951e-05,-9.901433806192017e-06,-2.0761239625244343e-05,-3.449050587533975e-05,-4.593698926669276e-05
TR,3.84121000683,-1.309619838352205e-06,-3.304660829428485e-06,-2.388343148140848e-06,-1.0173199243013187e-06,-1.2453788968969093e-06
RO,3.62000659873,-1.5720526569396043e-07,-2.375385612651826e-06,-1.89284827456504e-06,-1.2549347871981809e-07,-1.0657466020802531e-07
