Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,50995.8313313,-17.783355810244903,-1.3953594781988414,-1.7947694590566243,-2.7628218088041834,-0.5929530815682966
WA,10013.4489236,-0.10188071880036098,-0.08904954359785222,-0.06400893037613287,-0.14468295690877397,-0.03225961969405944
AU,7318.96823223,-0.023768905346818414,-0.02723029620984363,-0.022023374963225706,-0.02022499751883089,-0.011772347691163532
ZA,6931.35144794,-0.0352453387687337,-0.030462035777723884,-0.029873884382311644,-0.007505768035059646,-0.005951391827224484
WM,6204.40207295,-0.01148246644267914,-0.028538607564797758,-0.018584562735554755,-0.01027137301031189,-0.006010763430552402
WF,5749.89428572,-0.03691431560786462,-0.1781610123542663,-0.03946374111336581,-0.012554264704753848,-0.011550210188971732
IN,1922.57718872,-0.0007342795343969755,-0.0007391573809911733,-0.0006497266427345494,-0.000522322425823063,-0.00025151789033373007
WL,1345.23892694,-0.004020102052775698,-0.00653174133050527,-0.0059355365921760495,-0.0027678880070283185,-0.006484666227990488
BR,1043.69482172,-0.014371634480790263,-0.01700336235930422,-0.014321161656198456,-0.0061869602215267605,-0.008643223950741685
BE,738.833531647,-0.0008216931541298322,-0.0159365198680419,-0.006629821164437999,-0.00057768615098297,-0.0010934155381505661
CA,664.190770448,-8.493389670327645e-05,-0.00016443664956256043,-0.0001517187772037687,-7.51369982552319e-05,-0.00040316714425614464
RU,663.43053088,-0.0002526648401346421,-0.0008108706555205458,-0.0009974616361887456,-0.00022937384157728502,-0.00011281032483623221
AT,504.171646544,-1.061471315644269e-05,-8.494457877361583e-05,-0.00026730943739039503,-7.219344603015543e-06,-8.526431045652316e-06
US,385.386144501,-0.00014534790515874363,-0.0002337199564550474,-0.000192011855972396,-0.00014071854447905707,-0.01816538355454611
TR,306.533538959,-0.0024715435840061417,-0.010715733428845908,-0.0074746882786485,-0.0013597811448420316,-0.0013522208423779603
MX,294.79808757,-0.0006773704877645059,-0.0006698734311072485,-0.0006821390423397133,-0.0002982230276700193,-0.0017276095065739128
RO,293.529867196,-2.28781267015421e-05,-0.00034688346153899374,-0.0003020014477215227,-1.6466551684857222e-05,-1.6163956999548645e-05
WE,252.088120283,-0.0015002294905208657,-0.007092898306758855,-0.008560102824276328,-0.0008973706616828281,-0.0007142469760736958
NO,125.097217355,-8.770515194633788e-05,-0.00019912909598218675,-0.00024458841812702303,-3.885074009701839e-05,-2.717879040403659e-05
ES,69.2764654492,-0.00014198421804678674,-0.002982699647631648,-0.0008107050185230946,-7.669158083700722e-05,-7.919445697268657e-05
JP,61.259719393,-1.8163259829506728e-05,-2.2113109757526672e-05,-1.8987586713592464e-05,-0.11475148007981772,-2.346335449487924e-05
PT,36.814016421,-8.342347818768303e-06,-0.0002537304393683826,-0.00011655928864229281,-5.68854338212077e-06,-4.4828204863733845e-06
SE,24.0756402821,-9.113243457647968e-07,-1.030300165183462e-05,-1.2989149070108397e-05,-8.239254185582467e-07,-6.262048515282004e-07
TW,20.2834011624,-3.333658820814378e-05,-6.394975255119562e-05,-7.207103601558629e-05,-0.0001060520715938651,-2.1475019750027968e-05
FI,17.917263596,-1.5036666827228373e-06,-3.9367866335737745e-06,-5.84240888201748e-06,-6.796345601856046e-07,-7.512248032526259e-07
