Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,107887.497313,-11.079016698746972,-1.1164945351633193,-1.2891406501610163,-1.8474755454954135,-0.40419620558478186
RU,15160.348663,-0.0027104383403599996,-0.006622186033709454,-0.0067930772002000595,-0.004478461992157179,-0.0019210293616822582
WA,9486.67232633,-0.12581105693263517,-0.125327368456162,-0.14503273263329675,-0.42685208463758073,-0.07247270750518453
JP,9130.36436044,-0.01947078515419598,-0.03523334968463132,-0.024096525854247375,-44.30102325734585,-0.015167177486162586
AU,8247.1376653,-0.016672084968254453,-0.016739467350376458,-0.019086823687757715,-0.029230105871484113,-0.011204226129763128
US,6036.18688861,-0.017008080713068807,-0.08553152996020685,-0.07888565365220757,-0.038323619893240846,-2.8163082088473317
CA,5070.97444371,-0.009797135611441021,-0.04200102548752227,-0.04567453984236636,-0.016015925554754062,-0.089741979167826
WM,4831.48508522,-0.014730446729034341,-0.041779304735690914,-0.043878256759853684,-0.0334958863943271,-0.015843124972519718
WF,3609.65326055,-0.02800164649240422,-0.18206113228288245,-0.031225634974305194,-0.009001600390647013,-0.01091735496358126
ID,3412.43337122,-0.006569820773449919,-0.01958780215910849,-0.005729990041402289,-0.015263350167884937,-0.0028458513310738454
DE,3180.58968756,-0.014585308446646295,-0.18853814581105865,-6.59518039852685,-0.10308939558267127,-0.037069129270477674
WL,2577.23934263,-0.007371370286605838,-0.010842631911359035,-0.00982689370158596,-0.005222518558340994,-0.010905604944511538
TW,2419.88379983,-0.004015375072395244,-0.011379744119409452,-0.02666582071395851,-0.08260783877081934,-0.011261587349864044
AT,2347.26507357,-0.0012945476879746565,-0.014970052706495096,-0.033488795642085734,-0.0008320886729080712,-0.0009479601486219735
KR,2249.7097182,-0.012171033885636007,-0.01961657149530538,-0.02242886212832218,-0.1179976930933293,-0.011038785063178125
NO,2239.63949167,-0.005339347413624296,-0.03686596103902673,-0.04573251366338127,-0.006145919293985003,-0.009909700401408372
GB,1982.9303035,-0.00790173950514017,-0.0876114619577848,-0.05784973152213979,-0.007594865301520315,-0.009139684343935528
FI,1844.39630774,-0.0053345672498483765,-0.027105618084448224,-0.07151997643859431,-0.013054321438517036,-0.0052353393910067325
WE,1511.22181059,-0.001704671166711691,-0.0037613579490738402,-0.009170830215396109,-0.0008024278353389036,-0.0006303975423946895
BR,1240.42869645,-0.003255843848892326,-0.0049617183311667645,-0.00382079373440547,-0.0015440401451485286,-0.0022443322563958645
BE,995.638934937,-0.00185817204061145,-0.01834020124284308,-0.017851704358690768,-0.0239436968692317,-0.007403416504331517
NL,884.244336203,-0.0007123243186679673,-0.006382114991296817,-0.006250696551717283,-0.00039701712650241916,-0.0006129022775240855
IN,739.575028546,-0.0018840072851880052,-0.0015654446684223444,-0.0014022078826201323,-0.0014725059881754987,-0.0006421753858631973
MX,586.352356656,-0.0054739844184936715,-0.008537176658855117,-0.013712667333379613,-0.006935526798010017,-0.028181507033153252
ZA,470.138662608,-0.004521843990076491,-0.004778132043824712,-0.004747079023672995,-0.0012478905856525557,-0.0009817693054969823
