Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,31293.5798994,-0.3553670686762498,-0.026514241312952436,-0.03377285621638748,-0.0521258372703457,-0.011566361081790433
AU,16535.068323,-0.003017437178185034,-0.0031214807981569948,-0.002664368284001739,-0.0025569388652399994,-0.0015176719682585826
ZA,9956.0165112,-0.0001358285865347142,-0.0002327815788873977,-0.0002163311017397973,-4.9859646196637186e-05,-4.1242396989105146e-05
WM,9046.22537066,-0.007934719724197237,-0.01959827232567335,-0.01189985635096491,-0.006920832171886104,-0.0040624095199177646
MX,6063.01189935,-0.0003395157050221087,-0.0007049411277719742,-0.0007283669480671051,-0.00028691975189332197,-0.0015750558605560627
WA,5361.41258664,-0.007742364959046455,-0.005813319376301251,-0.004082693732925691,-0.012866064049987358,-0.002423714741951244
US,5244.8748625,-0.010178500815291258,-0.012883972928676712,-0.01055512616227361,-0.007743734578767203,-0.7432943667751317
WL,5035.74139347,-0.0014029842367442313,-0.00250850891904264,-0.002063251274933009,-0.0009762131002801766,-0.0021051396311548842
WF,4978.89014367,-0.0009948835088149366,-0.004401476590977893,-0.0008645906975743856,-0.00029093251687584143,-0.0003189865917363477
RU,4729.41297697,-0.00030700070048261807,-0.0009561427181523641,-0.0010825077062577293,-0.0002804818459125613,-0.00012066028301660481
BR,1277.13264863,-0.00028665984939379996,-0.00033262369166919825,-0.00028068210764331525,-0.00012368646046923004,-0.00018684689077019812
ID,1150.81147058,-0.00041520127531313733,-0.0001993743965726935,-0.0001511182546209966,-0.0003484978180878784,-6.874186216521139e-05
WE,1027.41969893,-2.5162025005798228e-05,-0.00011338028168239589,-0.0001383643862027384,-1.651206368791236e-05,-1.2733885270677092e-05
CA,1002.65544268,-0.00014282321901504247,-0.0003287273171181937,-0.00027916987710341346,-0.00013118698698377784,-0.0007821384717061619
TR,448.294900128,-0.00030050962858574337,-0.0014666228656352587,-0.0009231487792362714,-0.0001803549418042394,-0.00016425585127421982
JP,321.305999056,-5.994992255509146e-06,-5.016578363381541e-06,-5.209479695622576e-06,-0.10398056734626238,-5.412084277622853e-06
BG,219.383484118,-2.5440924495967465e-05,-0.00015295664577763546,-0.00017483200946344368,-1.1635771990370358e-05,-1.802985711663041e-05
RO,159.928178492,-2.387706721052041e-05,-0.00034858584017172234,-0.00029461100604066814,-1.8433122797034684e-05,-1.653860546468877e-05
TW,106.39520664,-7.279174027985391e-07,-3.5802102402726632e-06,-3.998321915332781e-06,-5.36117583038731e-06,-1.0409654151999348e-06
IN,95.2775830004,-8.561965748477007e-05,-0.0001681904349837282,-0.00019213263379924683,-0.00011641203342804829,-4.048587527449854e-05
SE,62.5951309483,-3.870302974107176e-06,-2.624914093729558e-05,-3.7471062910299224e-05,-3.987592073428914e-06,-2.3008658587286845e-06
PL,58.7977558565,-8.590283663068021e-06,-5.900902824862442e-05,-8.404478961665518e-05,-6.0419415461865356e-06,-3.6276300789950255e-06
SK,33.8812478538,-1.2038645920142699e-06,-8.886716358347257e-06,-1.2793808764399728e-05,-1.2216567171208226e-06,-5.642062177457774e-07
FI,26.1642864178,-2.2479912438200245e-06,-6.360259014570602e-06,-1.0108421065524453e-05,-1.6132483722230972e-06,-1.1143629023990798e-06
IE,13.884597128,-1.981380588489401e-07,-2.3101476571696367e-06,-1.5701538131907e-06,-6.470354065868378e-07,-3.9348499569769047e-07
