Shock_Country,Shock_Output_EUR,abs_CN_EUR,abs_FR_EUR,abs_DE_EUR,abs_JP_EUR,abs_US_EUR
CN,78281.1418865,-20.70390979206023,-1.9294675000841934,-2.3390910439782147,-8.266770805767777,-1.506078299975485
US,14041.6696796,-0.03151663034971719,-0.12808956942764382,-0.14310858085394784,-0.0626402427250099,-2.349847230108992
AU,12106.8858076,-0.016877409755704065,-0.01787070590868467,-0.015214001584695325,-0.014627453989930927,-0.008532679427531775
IN,12080.32286,-0.04081477905831754,-0.022982264365005278,-0.020510505657512113,-0.025660972002789606,-0.018543567938820615
MX,10339.3428406,-0.035241184689768446,-0.04669551175439324,-0.04727639284453744,-0.023613144724613733,-0.12140464802158135
RU,8062.82762775,-0.001093093133665235,-0.0035720297919041855,-0.004234384783785572,-0.0015220951340992883,-0.0005844342167620198
BE,6330.01169096,-0.006947726094587381,-0.1186983670374886,-0.044222374273829246,-0.0049886690518405885,-0.004527712310220977
CH,6242.76289241,-0.020254860466025093,-0.2506164880318238,-0.13119027335261535,-0.01787670325848012,-0.07053403120299606
WA,6069.69738121,-0.0747980762155116,-0.07849688696938983,-0.07853585488629733,-1.282481709978903,-0.1337110401541537
KR,5296.25884916,-0.007563916099353918,-0.009922804405384511,-0.015243622685147784,-0.067852778536313,-0.010751426292202382
IT,5000.17382965,-0.003022657883612112,-0.0910156627397356,-0.03977237229184993,-0.004771747723630426,-0.00590926316438356
WL,4917.10573963,-0.009220283309815613,-0.013241666726344192,-0.011462698553316386,-0.005603679670521444,-0.012959753164366816
WM,4272.16953103,-0.004900231932261079,-0.01580498934197294,-0.011448435015324776,-0.009648117874945683,-0.00817242838431298
ZA,3609.80924937,-0.0029598785997180244,-0.00768229039638868,-0.006229375307270857,-0.0013905368623312597,-0.0009368100144797609
WF,3362.06823474,-0.004306506474597072,-0.024600392183643294,-0.004608355635809858,-0.0012801320444495445,-0.001576480065693886
PL,3033.9660952,-0.0010497870088208572,-0.013649840809542013,-0.016600867051010937,-0.0005699089370310162,-0.0004532648756025992
JP,2615.48830221,-0.004731875307051325,-0.010011207092929908,-0.009946341118904911,-12.072508131723112,-0.011824035732900029
DE,2051.87708873,-0.006392396862791472,-0.057512330508373566,-1.0117716458069026,-0.004476294479005105,-0.011056896085037238
TR,2030.01896419,-0.0030510590759540435,-0.020065873925737776,-0.043873743665869824,-0.0037215336490561413,-0.006283966941424524
BR,1933.75253075,-0.002489291517953518,-0.005027674203752497,-0.00974764605780365,-0.00127097335206372,-0.0026283758410698965
GB,1932.54659012,-0.0030356616159785688,-0.02576979262743606,-0.03283480628118696,-0.004377734045391435,-0.03004220204304886
TW,1629.34734269,-0.0016374619676842173,-0.004155529216589571,-0.00430679810131096,-0.033446861030085984,-0.005583199447642073
WE,1107.51054316,-0.00018194936846072096,-0.00036731522240529557,-0.0005001707831411295,-5.766277773489037e-05,-4.6106631344855487e-05
CA,959.760921551,-0.003147288009920146,-0.006404378479423656,-0.005992164169924763,-0.003063996670462643,-0.014787006116961265
NL,897.819756195,-0.00039697445276054566,-0.0030771095971218188,-0.0031380178425024496,-0.00020385396130251365,-0.000841950184579332
