Shock_Country,d_FR_Wind_EUR,pct_FR_Wind,d_FR_Solar_EUR,pct_FR_Solar,Copper_Output_EUR
AT,5.4420581818703795e-08,1.3819770566751547e-08,7.215772512836338e-08,2.071533886901765e-07,0.908417974756
AU,0.0026221381959317114,0.0006658757964553341,0.0034987332567268936,0.010044308477916562,14433.4037025
BE,5.506576786729056e-05,1.3983611578118199e-05,8.204848041515334e-05,0.00023554817900152525,12.2515032394
BG,0.00015184314912630725,3.8559629701301635e-05,0.00022487136653381867,0.0006455700413781579,837.6323159
BR,0.003229075529873171,0.0008200037830213296,0.004303495176152694,0.012354652358648691,1742.77781138
CA,0.0015388995053058352,0.0003907940227369044,0.002123398584679137,0.006095940685127093,7257.07261786
CH,9.131895239988808e-10,2.3189883834149305e-10,6.496136961686716e-10,1.864937929535629e-09,0.0
CN,0.07800813264844919,0.019809683386585408,0.09610079467007182,0.2758901453213781,43919.9627638
CY,2.1926155113760615e-08,5.568011641122053e-09,2.63628479046929e-08,7.568355667069404e-08,0.734090307949
CZ,4.983267558600346e-07,1.2654700120997937e-07,7.271539814723837e-07,2.0875437951181794e-06,2.39175106534
DE,6.566329886936728e-06,1.6674789109270607e-06,1.1116159164714645e-05,3.1912730564795036e-05,1.10565168318
DK,2.5225386934835115e-07,6.405831180899649e-08,3.833213284565318e-07,1.1004547608136572e-06,1.35293597845
EE,1.1169163371960167e-09,2.836340040194209e-10,9.697558311927423e-10,2.7840152426683316e-09,0.0320509432062
ES,0.012666135309757465,0.003216486816172152,0.021253087319799135,0.061014244151857855,496.353395253
FI,0.00011489224203842241,2.91761751125744e-05,0.00017539526221099777,0.0005035319899924115,538.94670155
FR,9.131895239988808e-10,2.3189883834149305e-10,6.496136961686716e-10,1.864937929535629e-09,0.0
GB,1.8546234628047387e-06,4.709701713418071e-07,1.7704389918549168e-06,5.0826496536516325e-06,2.32508699842
GR,9.131895239988808e-10,2.3189883834149305e-10,6.496136961686716e-10,1.864937929535629e-09,0.0
HR,9.809992320697347e-07,2.4911869480792144e-07,1.243310414622556e-06,3.5693470813371317e-06,6.10922507767
HU,9.568452696839813e-10,2.4298494527247756e-10,7.223732723105059e-10,2.073819137065789e-09,0.0924900980802
ID,0.0006119584396060418,0.00015540306533136242,0.0008083105879066466,0.0023205315453215768,3606.95862624
IE,9.131895239988808e-10,2.3189883834149305e-10,6.496136961686716e-10,1.864937929535629e-09,0.0
IN,0.00022367360003272552,5.680052897246373e-05,0.00029753385229724927,0.0008541725178249892,424.233300452
IT,4.3765453483501915e-09,1.1113966548662666e-09,6.077478076349507e-09,1.7447476011285536e-08,0.193304022222
JP,9.131895239988808e-10,2.3189883834149305e-10,6.496136961686716e-10,1.864937929535629e-09,0.0
KR,3.1771597264196316e-06,8.068200854470068e-07,3.7187803698657262e-06,1.067602885265274e-05,0.155091561763
LT,1.1314682524243835e-09,2.8732937299641577e-10,9.843077464211092e-10,2.8257914841743636e-09,0.00887414507619
LU,9.131895239988808e-10,2.3189883834149305e-10,6.496136961686716e-10,1.864937929535629e-09,0.0
LV,1.0473797829035902e-08,2.6597562562271074e-09,1.5390703822504292e-08,4.4184270575145966e-08,0.78241641194
MT,9.131895239988808e-10,2.3189883834149305e-10,6.496136961686716e-10,1.864937929535629e-09,0.00165359784224
MX,0.0034180899929765474,0.0008680028382792912,0.0049273137067373796,0.014145536457453915,6855.74572401
NL,9.131895239988808e-10,2.3189883834149305e-10,6.496136961686716e-10,1.864937929535629e-09,0.0
NO,1.0913173014159838e-06,2.771332870225194e-07,1.3704359460575688e-06,3.934304327133827e-06,1.87139876818
PL,0.0011948763968234744,0.00030343147955929923,0.001969366009014095,0.005653737581288568,3651.30003326
PT,1.2969245346994285e-05,3.2934597376496784e-06,2.2550370211149584e-05,6.473853765688413e-05,50.9235379938
RO,0.002696710547809289,0.0006848129845398796,0.004165132655778336,0.01195743549916104,761.432452709
RU,0.00023405227335615564,5.943612894812906e-05,0.0003523129946714221,0.0010114347506928467,2531.72288086
SE,0.0002033438905186813,5.163792482926001e-05,0.0003310802806097968,0.0009504789949351541,1916.75123864
SI,1.1124581078547635e-07,2.8250186421916423e-08,1.731189129827726e-07,4.96996952259026e-07,1.9321340763
SK,4.3230159008089686e-08,1.0978031823442508e-08,6.655523776544214e-08,1.910695357103542e-07,1.96989014451
TR,0.0005595569055572014,0.00014209601947299012,0.0008841073088277085,0.0025381319139927017,364.210643924
TW,3.39530634505536e-05,8.622170716369318e-06,5.229323347322179e-05,0.00015012558253844386,323.219203569
US,0.011626945935915955,0.002952591094334059,0.014226817273318204,0.04084293681932275,5658.31967461
WA,0.015646529220305183,0.003973339438210031,0.023180320577246505,0.06654702528328105,10611.4575763
WE,0.00017373932865893948,4.412002922877192e-05,0.00025329885307456834,0.0007271808482375043,1190.02995336
WF,0.007820594499264644,0.0019859916609397768,0.01094815943566374,0.03143042997798999,5535.67577041
WL,0.014759084249874377,0.003747978270208769,0.02240831028962731,0.06433070614490051,14977.7942053
WM,0.01405713169884848,0.0035697217562258594,0.021854106709959353,0.06273967553316472,11098.0766539
ZA,0.00018273616666419912,4.64047206617508e-05,0.00026147326048686637,0.0007506482759173442,652.485136932
