Shock_Country,Copper_Output_EUR,pct_CN,d_CN_EUR,pct_FR,d_FR_EUR,pct_DE,d_DE_EUR,pct_JP,d_JP_EUR,pct_US,d_US_EUR
CN,43919.9627638,6.477395109910818e-08,7.518828226693586e-09,3.302362934518809e-09,1.1503118457767414e-09,2.5359857903057753e-10,1.1006591194018256e-09,-5.3996316737275994e-11,-2.7917224088014336e-11,1.037673223830077e-08,1.0872412303797319e-08
WL,14977.7942053,6.615991021886013e-08,7.679707536567548e-09,3.1831945737384187e-09,1.1088019391536363e-09,2.204106019989459e-10,9.56617896008538e-10,6.126362452314302e-10,3.1674574074713746e-10,1.18389156658918e-08,1.2404441918079101e-08
AU,14433.4037025,9.173207793369456e-08,1.0648072645835782e-08,2.7504392204422923e-09,9.58060297762131e-10,2.3687361980824384e-10,1.0280700735165738e-09,1.3312311573105055e-09,6.882743264213786e-10,1.074234930080665e-08,1.1255494314355019e-08
WM,11098.0766539,1.1441455447422974e-07,1.3281008293120067e-08,3.036528960248004e-09,1.0577139164524851e-09,2.5921722234019475e-10,1.1250449460931122e-09,2.50796330908259e-10,1.2966694384886068e-10,1.0973313167609805e-08,1.1497490959300194e-08
WA,10611.4575763,1.0792669814053694e-07,1.2527911152915294e-08,3.100254047389041e-09,1.0799112715176307e-09,2.5249842509582734e-10,1.0958842722175177e-09,1.2882155117549766e-09,6.660343387920875e-10,9.344996884039453e-09,9.791392585611902e-09
CA,7257.07261786,9.12358584451714e-08,1.059047249896139e-08,2.49515129932511e-09,8.691358743817545e-10,2.3350767265073425e-10,1.013461314869346e-09,1.0711582894214216e-09,5.538112191061373e-10,1.1254093834152696e-08,1.1791684073614306e-08
MX,6855.74572401,7.021436898490559e-08,8.150340846668769e-09,2.9916113412068507e-09,1.0420677654110477e-09,2.1187131193397992e-10,9.195559869112913e-10,1.1919181863851386e-09,6.162466092973773e-10,1.0122752006357857e-08,1.0606299838400446e-08
US,5658.31967461,8.69624883183869e-08,1.0094428404272549e-08,2.817917641781137e-09,9.815650514610752e-10,2.5929580476410546e-10,1.125386006606277e-09,1.1463188534927278e-09,5.926708013248572e-10,1.1321406869031084e-08,1.1862212545565853e-08
WF,5535.67577041,9.031167145476585e-08,1.048319475671633e-08,2.6746993841571864e-09,9.316778459833586e-10,2.539914911501312e-10,1.1023644219676498e-09,5.449243967802827e-10,2.817373001562373e-10,1.0873977953535796e-08,1.1393410659366054e-08
PL,3651.30003326,5.4765149230369204e-08,6.3570269048796035e-09,3.101375967937299e-09,1.0803020700222987e-09,2.1594450090668608e-10,9.372342901770025e-10,1.1976077957333779e-09,6.191882562234241e-10,1.0464823747777926e-08,1.0964711805172556e-08
ID,3606.95862624,7.562632303770932e-08,8.778549442922667e-09,2.923051796430594e-09,1.0181864240621508e-09,2.3786899717777976e-10,1.0323901733499952e-09,1.1715785201160706e-09,6.057305768081278e-10,1.0789399254059345e-08,1.1304791769362055e-08
RU,2531.72288086,8.377859435413955e-08,9.72484848205113e-09,2.9544247746709638e-09,1.0291145713381411e-09,2.408289351450839e-10,1.0452367860125378e-09,1.0639981771739997e-09,5.501092914528272e-10,1.1441276424190298e-08,1.1987808079538809e-08
SE,1916.75123864,8.360565361399891e-08,9.704773873409067e-09,3.16506025796749e-09,1.102485214232729e-09,2.3196221831382322e-10,1.0067537914437708e-09,9.034247577903569e-10,4.670894782066171e-10,1.1230819772526399e-08,1.176729824692302e-08
BR,1742.77781138,1.0397578039279e-07,1.2069296673189456e-08,3.3131129732266597e-09,1.1540564059941971e-09,2.638666824215796e-10,1.145224359788699e-09,7.730035193488325e-10,3.9965897258298355e-10,1.1572905076919444e-08,1.2125724424549844e-08
WE,1190.02995336,9.108411254841584e-08,1.0572858144541897e-08,2.626579191914643e-09,9.149161428467778e-10,2.3583895122675254e-10,1.02357944342657e-09,7.584084344990012e-10,3.921130087292113e-10,1.1087432022227325e-08,1.1617061090873904e-08
BG,837.6323159,9.362051552460106e-08,1.0867278632531452e-08,3.161368119435951e-09,1.1011991318810033e-09,2.4304234008523616e-10,1.0548433238000143e-09,8.425569321783957e-10,4.356195404398022e-10,1.147055888284483e-08,1.201848931486893e-08
RO,761.432452709,8.967178612530471e-08,1.0408918171833648e-08,2.7282659906976357e-09,9.503366982244188e-10,2.772518886277073e-10,1.2033183338644449e-09,1.0682172836230564e-09,5.522906576516107e-10,1.1754079269928813e-08,1.2315553021835512e-08
ZA,652.485136932,8.486468852361668e-08,9.850920079657044e-09,2.9533436512335517e-09,1.0287379836881883e-09,2.40331246460316e-10,1.043076736095827e-09,7.140597162217832e-10,3.6918379464623285e-10,1.1265852931722625e-08,1.1804004884652386e-08
FI,538.94670155,8.739633222450026e-08,1.0144788120669546e-08,3.2455529576661237e-09,1.1305232305858226e-09,1.9006468929875233e-10,8.249116945080459e-10,1.0141934808502817e-09,5.243592227088811e-10,1.1359451008227915e-08,1.1902073993041995e-08
ES,496.353395253,8.551112359529358e-08,9.92595694526699e-09,2.9713759742273663e-09,1.0350191814723075e-09,2.6112939465535587e-10,1.1333440852467902e-09,7.672726809473451e-10,3.9669600937486393e-10,1.1517351139610987e-08,1.2067516763636377e-08
