Shock_Industry,Shock_Country,Shock_Output_EUR,abs_AT_EUR,abs_BE_EUR,abs_BG_EUR,abs_CY_EUR,abs_CZ_EUR,abs_DE_EUR,abs_DK_EUR,abs_EE_EUR,abs_ES_EUR,abs_FI_EUR,abs_FR_EUR,abs_GR_EUR,abs_HR_EUR,abs_HU_EUR,abs_IE_EUR,abs_IT_EUR,abs_LT_EUR,abs_LU_EUR,abs_LV_EUR,abs_MT_EUR,abs_NL_EUR,abs_PL_EUR,abs_PT_EUR,abs_RO_EUR,abs_SE_EUR,abs_SI_EUR,abs_SK_EUR,abs_GB_EUR,abs_US_EUR,abs_JP_EUR,abs_CN_EUR,abs_CA_EUR,abs_KR_EUR,abs_BR_EUR,abs_IN_EUR,abs_MX_EUR,abs_RU_EUR,abs_AU_EUR,abs_CH_EUR,abs_TR_EUR,abs_TW_EUR,abs_NO_EUR,abs_ID_EUR,abs_ZA_EUR,abs_WA_EUR,abs_WL_EUR,abs_WE_EUR,abs_WF_EUR,abs_WM_EUR
Aluminium and aluminium products,AT,5089.57196832,-8.603532253940827,-0.09312777844648916,-0.10589336791000259,-0.0037070314304926467,-0.10930753548059718,-0.3620550278044994,-0.15781710620749342,-0.040680205765074015,-0.049256546279513674,-0.015341761326902858,-0.22191376715297206,-0.05855217440659761,-0.23375337503673785,0.0,-0.06553924614481355,-0.12069576412934485,-0.02812181793378256,-0.09612464376967436,0.0,-0.0164626685142059,-0.17118803723219034,-0.16613994201823215,-0.019495934167656295,-0.036319969664000536,-0.04849933933537485,-1.3648669304788101,-0.2538717931704365,-0.043462185278390374,-0.006576178795131825,-0.008115796666462444,-0.0073526303401559735,-0.016572423305371738,-0.003825773250474851,-0.011213583174212347,-0.0016702285296562435,-0.0018994254994696242,-0.0011450603106904819,-0.027425035659477997,-0.08138148642716171,0.0,-0.042374917693627646,0.0,0.0,-0.007823786070619057,-0.05577473603024803,-0.008742019148664744,0.0,-0.005135729208710538,-0.0033286037270890004
Aluminium and aluminium products,AU,12531.9933192,-0.016751623782101946,-0.019757196221828848,-0.011390511246638991,-0.004688335748758603,-0.0074655503461163245,-0.044174944515684086,-0.031667228716652285,-0.014443855681388161,-0.037578656300459486,-0.010568544840326117,-0.046765832676310584,-0.021729880072721818,-0.017251485193843053,0.0,-0.030031962127814255,-0.03896137496633865,-0.014999557030251763,-0.019135640326955996,0.0,-0.010221594550684393,-0.05071682678635919,-0.010636813193347005,-0.009018610386515259,-0.005251032227814163,-0.009468830092895224,-0.08824645845098808,-0.005870727121613573,-0.05990997688776585,-0.009020805214947941,-0.25906891091926837,-0.028596085796859006,-0.020771257386157933,-0.09727609196781858,-0.014665497621564261,-0.004308451541024569,-0.002193132295315174,-0.0006952784148135601,-91.9452658698159,-0.013701147509522546,0.0,-0.10346821398657217,0.0,0.0,-0.0211638723348386,-0.1378095749046561,-0.023453094876469797,0.0,-0.008152719733507358,-0.02849996222341687
Aluminium and aluminium products,BE,3993.548713,-0.09070693032121656,-2.8938109892191815,-0.10944712584257003,-0.006195592938655361,-0.03776917172705334,-0.35525276290590724,-0.252364461967587,-0.039398367912867556,-0.13679028897702267,-0.038018481301700116,-0.4327588976139622,-0.04965150672174113,-0.06580285345699757,0.0,-0.12768324748041707,-0.06862621639838244,-0.031806130019688766,-0.07788064336715522,0.0,-0.015320786402560153,-0.516061715046353,-0.09734278084021877,-0.0665443064209779,-0.022547564198976834,-0.06612589116056966,-0.36199377246929143,-0.0792457948109227,-0.049389595854821,-0.013322490524501969,-0.009240966173651608,-0.01782156840043051,-0.020156166003480896,-0.008187091291480956,-0.04510919239428567,-0.004457004852872152,-0.004803665196622125,-0.0011731987430107253,-0.04280991989705876,-0.049492968363635995,0.0,-0.16572946549647796,0.0,0.0,-0.024323055435505055,-0.30557299982242253,-0.016802394267366613,0.0,-0.022666672451107973,-0.010836199325665555
Aluminium and aluminium products,BG,499.437458924,-0.0035559019586446686,-0.0026961489474451837,-6.0768868277258425,-0.00025071300266302844,-0.0043947530602551806,-0.004459328227496465,-0.0017998972056858626,-0.002849807553903378,-0.0020999963637013783,-0.0009158198506388299,-0.0031581830248455776,-0.03145458990118067,-0.006638626040561049,0.0,-0.0065125319287595625,-0.0030109834554597095,-0.0022535770284197727,-0.005836315205797106,0.0,-0.0026858513840018372,-0.0022131709191656993,-0.0060926767311027625,-0.001204564466092394,-0.021528091643069742,-0.0009608247868764531,-0.01583161622899976,-0.013715061183842074,-0.0012728303471540128,-0.00021955116071553893,-0.0002541949676738473,-0.00129372292110859,-0.0005705011052817874,-0.0003365843642323539,-0.00037862366815407327,-0.0006755679674335172,-0.00021592618306123917,-6.474323294079082e-05,-0.0016776390007960588,-0.005177073220516552,0.0,-0.0016538887933296147,0.0,0.0,-0.0009192508092023875,-0.01067125250243666,-0.000709247541889956,0.0,-0.001328063238578371,-0.0006163508896865423
Aluminium and aluminium products,BR,6454.85163457,-0.012685182120851287,-0.01126118206093693,-0.004118939642791766,-0.004635277797424799,-0.004516496775343932,-0.018566936815579468,-0.013855189980893705,-0.005492193540549893,-0.019756816707418138,-0.005101698129575667,-0.017768999791163358,-0.006348307458373123,-0.007300843388030305,0.0,-0.01160846751835778,-0.010630229655722643,-0.0038211169964477085,-0.01423890856926893,0.0,-0.0063281866795627285,-0.016560194178107824,-0.0059850416201280895,-0.013690393783547278,-0.003146064767879539,-0.0077003291190524846,-0.030116748776775226,-0.0029658544319306097,-0.011255694565297295,-0.008149444505539567,-0.004183861623112944,-0.017299470305506878,-0.006533822045872407,-0.006516839783294424,-15.230786195619661,-0.002844424335485131,-0.005058055224010356,-0.0003656179822991298,-0.024990712361663826,-0.013946521626938402,0.0,-0.04257220671854006,0.0,0.0,-0.015845218596512195,-0.03263001317562261,-0.05010968014933184,0.0,-0.014554131864535472,-0.004121453541287534
Aluminium and aluminium products,CA,11960.2679472,-0.13822498135703032,-0.14915111777167941,-0.1165510355706223,-0.019865840347970516,-0.0585044967104588,-0.36419443322343537,-0.20502358898315565,-0.09416834948693982,-0.19510093157690736,-0.17263892182424354,-0.42398539165410765,-0.157967325357823,-0.17520053440525096,0.0,-0.15622312892524942,-0.1630779251088887,-0.05296283779356129,-0.10958205698701023,0.0,-0.040988932380746086,-0.23189536916635,-0.07071930025890515,-0.07881456518001556,-0.035097479055524766,-0.10578733730219468,-1.0464954588891906,-0.0506373175274325,-0.4823627586332993,-1.1534815136695755,-0.11760996947675803,-0.08101883304758685,-46.3824325800901,-0.12008663547583404,-5.341958491771399,-0.018596841925428525,-0.10769141856527485,-0.002055456766699592,-3.491262032446735,-0.08914972980870058,0.0,-0.8829368882490994,0.0,0.0,-0.10381983516004235,-0.1421377404457104,-0.31107566040400636,0.0,-0.024087992856215067,-0.014449313368119459
Aluminium and aluminium products,CH,643.630526142,-0.010887866481548644,-0.00975583254075512,-0.0025863327932729714,-0.0005475495796875575,-0.004034423359536272,-0.02375188920769083,-0.007535367254273447,-0.0027693270219259283,-0.004318893080961082,-0.0014872203646803459,-0.021123296843493285,-0.0032968538627841026,-0.008579519074557848,0.0,-0.013247912986391547,-0.00807934249098573,-0.002847388999395394,-0.018719597784372176,0.0,-0.002172704522983143,-0.006894860345152486,-0.0067433272974102435,-0.0037942596110451207,-0.002170026118269525,-0.0028877272231269666,-0.019216232520086043,-0.007190146092667243,-0.0037678440480228303,-0.0009671446085872316,-0.0008206283171101428,-0.001468674505045959,-0.0009133177532724635,-0.0005881048784057104,-0.0010123551002676407,-0.0004892244775377095,-0.0003041472989899916,-0.00032215010903486084,-0.0028848036715613083,-7.430225929191668,0.0,-0.0037698589213240037,0.0,0.0,-0.001144211731215018,-0.03208562356783241,-0.0008970543084599499,0.0,-0.0010858957628990804,-0.0007823425864896847
Aluminium and aluminium products,CN,302689.359677,-4.9866079182840695,-4.585035299921655,-4.361832496572227,-1.7145243149197047,-3.386064473869752,-7.243009598843314,-7.438796001283739,-3.491001515032677,-4.742946417607326,-4.498858345437489,-4.905329377813964,-2.828908095352611,-3.253515969716562,0.0,-5.116023100286307,-3.1841249444489517,-3.7579466980582588,-7.464381261952227,0.0,-2.0306056408670767,-3.494976919172835,-2.8412345685726343,-3.320310164299995,-2.9717573018672483,-2.6453132059613442,-2.873141246545088,-1.6560257797988815,-5.457746283353927,-2.3803544900810967,-10.11116513165218,-193.15463811060928,-3.448600696847065,-12.32450182205744,-7.106472043025405,-1.3161454886441766,-1.149649243642158,-0.17860303520022644,-18.61060612441145,-5.311537397950137,0.0,-6.14756857509119,0.0,0.0,-15.393056734192497,-87.171559324048,-34.20239414565528,0.0,-2.8765564452672256,-4.8710562044881
Aluminium and aluminium products,CY,41.8048397461,-6.594773623547297e-06,-2.3399637828441584e-05,-8.30132930869585e-06,-0.145388904856518,-9.633711428535961e-06,-1.1574113242510583e-05,-1.5139749956056451e-05,-1.2395837064534272e-05,-1.175863716537719e-05,-7.097869579426563e-06,-1.4860103861052215e-05,-1.7502009564488913e-05,-7.389875872753339e-06,0.0,-0.0009705409043146141,-9.658233942567485e-06,-1.2304112741617668e-05,-0.0008214299077297386,0.0,-0.0005968710417142675,-7.688549922488639e-05,-8.11827411617597e-06,-1.022746587547832e-05,-9.370550439887967e-06,-6.388022985744016e-06,-4.192125376542115e-06,-4.142813825617789e-06,-4.719573568892491e-05,-7.590783518522628e-06,-4.915370943367666e-06,-5.1077953211249745e-06,-5.86925105832066e-06,-5.828476849887906e-06,-5.523629116019322e-06,-3.574662371637659e-06,-1.4153823412570667e-06,-1.8770668764416607e-06,-1.1585419260151917e-05,-1.355047438411292e-05,0.0,-2.123532184210146e-05,0.0,0.0,-1.3621239538510183e-05,-0.0002947337118959034,-7.139379443902169e-06,0.0,-8.817914001055316e-06,-4.808468017323278e-05
Aluminium and aluminium products,CZ,2954.31147437,-0.028422744628779584,-0.015867983228637837,-0.036233145252287755,-0.00111329556390399,-3.6500948908610136,-0.05894281463109672,-0.05457429903928302,-0.013633565860741045,-0.010053383670525226,-0.004843614745987357,-0.034999469722538736,-0.016400512741855274,-0.04774153984823209,0.0,-0.013841822986600956,-0.017459316293694977,-0.009810727065861084,-0.01876042090602738,0.0,-0.0039055801780926093,-0.019151941920190957,-0.1303918293041612,-0.005815720123054162,-0.01403399528630257,-0.023999934462271937,-0.28483766119433773,-0.158193593135042,-0.008128598175720925,-0.0009654760630170023,-0.0013974256320669744,-0.002457852092854924,-0.003108263211497396,-0.0017921133940160421,-0.002560186964393713,-0.0006506509033289745,-0.0005700144566303743,-0.00018806566553593104,-0.0033787029248459957,-0.009782787357189054,0.0,-0.00846043962605569,0.0,0.0,-0.0035111634816550694,-0.03279757148648002,-0.003620373088779131,0.0,-0.0013051656536014822,-0.0011847841674062424
