Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-81.81920676564144
Aluminium and aluminium products,AU,10788.8621591,-0.023689315926934816
Aluminium and aluminium products,BE,5247.38034134,-0.4674389261549549
Aluminium and aluminium products,BG,1519.97837587,-0.020540589276254687
Aluminium and aluminium products,BR,9914.80918982,-0.03240421158249132
Aluminium and aluminium products,CA,20401.1714152,-2.271936054986497
Aluminium and aluminium products,CH,664.221654607,-1.0781821064834238
Aluminium and aluminium products,CN,267795.177986,-4.537163382344329
Aluminium and aluminium products,CY,202.027361746,-2.7338061730761333e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.39826923469372755
Aluminium and aluminium products,DE,29109.7538681,-8.144588773297428
Aluminium and aluminium products,DK,1842.84710324,-0.0735533077707569
Aluminium and aluminium products,EE,101.53719116,-0.000589526956417663
Aluminium and aluminium products,ES,8208.21094615,-0.17679578785890102
Aluminium and aluminium products,FI,752.680853488,-0.010438755297920177
Aluminium and aluminium products,FR,8846.32397853,-0.2991474519155402
Aluminium and aluminium products,GB,13378.5976996,-0.3081755468236021
Aluminium and aluminium products,GR,2553.08976835,-0.04460692146478082
Aluminium and aluminium products,HR,560.379064274,-0.04308155012607659
Aluminium and aluminium products,HU,286.469504551,-0.017219245028280372
Aluminium and aluminium products,ID,2586.29818798,-0.031669142518878354
Aluminium and aluminium products,IE,879.068440269,-0.0034407526560882294
Aluminium and aluminium products,IN,13943.6830579,-0.16585971687208784
Aluminium and aluminium products,IT,11485.2948435,-1.3957218159409748
Aluminium and aluminium products,JP,22875.3451004,-0.20506374902917748
Aluminium and aluminium products,KR,8309.49105106,-0.19705002370977473
Aluminium and aluminium products,LT,6.93599649202,-0.0003348283837314441
Aluminium and aluminium products,LU,74.0640426448,-0.02414574206861756
Aluminium and aluminium products,LV,296.259954279,-0.0004337613780169528
Aluminium and aluminium products,MT,0.00497401513167,-4.192877208636921e-08
Aluminium and aluminium products,MX,5745.06290448,-0.13513061996656142
Aluminium and aluminium products,NL,3870.86435818,-0.3162595247890372
Aluminium and aluminium products,NO,4042.99806768,-0.022381965328796095
Aluminium and aluminium products,PL,6503.02267632,-0.23817684295109284
Aluminium and aluminium products,PT,1201.85724097,-0.00712435353210537
Aluminium and aluminium products,RO,1296.42742076,-0.027862084053908276
Aluminium and aluminium products,RU,17915.3872454,-0.028295108357763263
Aluminium and aluminium products,SE,3090.46542881,-0.07466661203531975
Aluminium and aluminium products,SI,2312.04475031,-3.820221344275124
Aluminium and aluminium products,SK,2260.89388142,-0.07166115345659785
Aluminium and aluminium products,TR,9962.96552508,-0.375861624128048
Aluminium and aluminium products,TW,9319.81261143,-0.005723533485138304
Aluminium and aluminium products,US,110792.994735,-2.620557422389507
Aluminium and aluminium products,WA,23768.5900005,-1.1478427135386693
Aluminium and aluminium products,WE,4791.31875552,-0.2246449911047721
Aluminium and aluminium products,WF,8032.46962605,-0.06246743960067135
Aluminium and aluminium products,WL,9275.39526692,-0.3573949564543769
Aluminium and aluminium products,WM,19937.1975904,-0.6490349060988144
Aluminium and aluminium products,ZA,1122.58615792,-0.007957478606852308
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0009709607624591256
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-3.40163317739142e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.00026967240205506593
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-0.00016534560585111272
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.0001783238150325868
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-4.7084244060429356e-05
Aluminium ores and concentrates,HR,2.40123949261,-5.395099588538848e-07
Aluminium ores and concentrates,HU,25.9433227911,-0.00015868065216166985
Aluminium ores and concentrates,ID,0.897727817423,-3.752464829126878e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-4.122555322527516e-05
Aluminium ores and concentrates,IT,345.382371744,-0.002515467713869771
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-1.4677731042560786e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0018690405587236897
Aluminium ores and concentrates,TW,240.735987175,-0.0005421273496140846
Aluminium ores and concentrates,US,61.6295336059,-0.00024936771970202396
Aluminium ores and concentrates,WA,445.836642213,-0.002735308067150955
Aluminium ores and concentrates,WE,144.010694731,-0.0003598595287082619
Aluminium ores and concentrates,WF,353.253815291,-0.0011317453432936715
Aluminium ores and concentrates,WL,421.783559222,-0.0010634334410540055
