Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.02194208371097391
Aluminium and aluminium products,AU,10788.8621591,-25.163756799473642
Aluminium and aluminium products,BE,5247.38034134,-0.03904862110290127
Aluminium and aluminium products,BG,1519.97837587,-0.0040124663296027575
Aluminium and aluminium products,BR,9914.80918982,-0.28569916714803206
Aluminium and aluminium products,CA,20401.1714152,-2.3493058991319056
Aluminium and aluminium products,CH,664.221654607,-0.0029779436402101404
Aluminium and aluminium products,CN,267795.177986,-9.894587858267965
Aluminium and aluminium products,CY,202.027361746,-4.034611829117722e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.0073568317550249855
Aluminium and aluminium products,DE,29109.7538681,-0.07910456735593265
Aluminium and aluminium products,DK,1842.84710324,-0.0034644395546788794
Aluminium and aluminium products,EE,101.53719116,-0.0003249848333537607
Aluminium and aluminium products,ES,8208.21094615,-0.027824409608711895
Aluminium and aluminium products,FI,752.680853488,-0.0012946364126944468
Aluminium and aluminium products,FR,8846.32397853,-0.014869194128400987
Aluminium and aluminium products,GB,13378.5976996,-0.0649020498198984
Aluminium and aluminium products,GR,2553.08976835,-0.015750398054971117
Aluminium and aluminium products,HR,560.379064274,-0.0022623581213615782
Aluminium and aluminium products,HU,286.469504551,-0.00022758350890664735
Aluminium and aluminium products,ID,2586.29818798,-0.22521231969313227
Aluminium and aluminium products,IE,879.068440269,-0.0005957745533242102
Aluminium and aluminium products,IN,13943.6830579,-3.1092666520939476
Aluminium and aluminium products,IT,11485.2948435,-0.08059898763709464
Aluminium and aluminium products,JP,22875.3451004,-1.568654428509549
Aluminium and aluminium products,KR,8309.49105106,-1.2757571053464878
Aluminium and aluminium products,LT,6.93599649202,-0.00014976177468496618
Aluminium and aluminium products,LU,74.0640426448,-0.0029505029571166167
Aluminium and aluminium products,LV,296.259954279,-0.0006093481390610794
Aluminium and aluminium products,MT,0.00497401513167,-1.5840031327808906e-08
Aluminium and aluminium products,MX,5745.06290448,-0.037575778827840314
Aluminium and aluminium products,NL,3870.86435818,-0.061839719996393476
Aluminium and aluminium products,NO,4042.99806768,-0.007255527316423319
Aluminium and aluminium products,PL,6503.02267632,-0.022326838452056783
Aluminium and aluminium products,PT,1201.85724097,-0.0009343492705003381
Aluminium and aluminium products,RO,1296.42742076,-0.0028909263757029096
Aluminium and aluminium products,RU,17915.3872454,-0.026529918108150946
Aluminium and aluminium products,SE,3090.46542881,-0.012212997898720377
Aluminium and aluminium products,SI,2312.04475031,-0.0626936709531295
Aluminium and aluminium products,SK,2260.89388142,-0.0022730326207993303
Aluminium and aluminium products,TR,9962.96552508,-0.22844701453560634
Aluminium and aluminium products,TW,9319.81261143,-0.009411166943314462
Aluminium and aluminium products,US,110792.994735,-0.9975305337820545
Aluminium and aluminium products,WA,23768.5900005,-5.140992201605819
Aluminium and aluminium products,WE,4791.31875552,-0.06669424670118651
Aluminium and aluminium products,WF,8032.46962605,-0.06272201772341456
Aluminium and aluminium products,WL,9275.39526692,-0.5197835049659651
Aluminium and aluminium products,WM,19937.1975904,-3.994926128141578
Aluminium and aluminium products,ZA,1122.58615792,-0.013181311196287463
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.9007643835987149
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-0.0003011480883027112
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.0005008020095532837
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-5.270925537862469e-06
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.001199368668889763
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-1.8396747030821935e-05
Aluminium ores and concentrates,HR,2.40123949261,-6.636859351311157e-08
Aluminium ores and concentrates,HU,25.9433227911,-2.246689441947272e-06
Aluminium ores and concentrates,ID,0.897727817423,-5.786292839960075e-07
Aluminium ores and concentrates,IE,0.0,0.0
