Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.4922190236959329
Aluminium and aluminium products,AU,10788.8621591,-0.01708055493989498
Aluminium and aluminium products,BE,5247.38034134,-42.32469777031593
Aluminium and aluminium products,BG,1519.97837587,-0.13552343483472507
Aluminium and aluminium products,BR,9914.80918982,-0.03048223159212889
Aluminium and aluminium products,CA,20401.1714152,-3.040187702099164
Aluminium and aluminium products,CH,664.221654607,-0.02798098588717867
Aluminium and aluminium products,CN,267795.177986,-3.8535563489265523
Aluminium and aluminium products,CY,202.027361746,-7.034676521483001e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.08354918936171865
Aluminium and aluminium products,DE,29109.7538681,-2.8506196246170252
Aluminium and aluminium products,DK,1842.84710324,-0.05268051392512014
Aluminium and aluminium products,EE,101.53719116,-0.0009509268664180202
Aluminium and aluminium products,ES,8208.21094615,-0.20952764637888585
Aluminium and aluminium products,FI,752.680853488,-0.008795103256509278
Aluminium and aluminium products,FR,8846.32397853,-3.0385915099652054
Aluminium and aluminium products,GB,13378.5976996,-4.334025719801791
Aluminium and aluminium products,GR,2553.08976835,-0.07317781236070078
Aluminium and aluminium products,HR,560.379064274,-0.00705785641332784
Aluminium and aluminium products,HU,286.469504551,-0.0018875602447574649
Aluminium and aluminium products,ID,2586.29818798,-0.03339755227156199
Aluminium and aluminium products,IE,879.068440269,-0.009343171695845144
Aluminium and aluminium products,IN,13943.6830579,-0.30817086061585885
Aluminium and aluminium products,IT,11485.2948435,-0.5806906943711081
Aluminium and aluminium products,JP,22875.3451004,-0.1031339440575491
Aluminium and aluminium products,KR,8309.49105106,-0.26488797214109744
Aluminium and aluminium products,LT,6.93599649202,-0.0003231353143255099
Aluminium and aluminium products,LU,74.0640426448,-0.061978089010139695
Aluminium and aluminium products,LV,296.259954279,-0.0007852914588986668
Aluminium and aluminium products,MT,0.00497401513167,-1.857489518988299e-08
Aluminium and aluminium products,MX,5745.06290448,-0.08972943248732883
Aluminium and aluminium products,NL,3870.86435818,-3.972631982621193
Aluminium and aluminium products,NO,4042.99806768,-0.011949737883649536
Aluminium and aluminium products,PL,6503.02267632,-0.1492810517308193
Aluminium and aluminium products,PT,1201.85724097,-0.010857780772704169
Aluminium and aluminium products,RO,1296.42742076,-0.009970343415627175
Aluminium and aluminium products,RU,17915.3872454,-0.022020322346877137
Aluminium and aluminium products,SE,3090.46542881,-0.08015951396685615
Aluminium and aluminium products,SI,2312.04475031,-0.024742936635122764
Aluminium and aluminium products,SK,2260.89388142,-0.015572569858087413
Aluminium and aluminium products,TR,9962.96552508,-0.2559784209039006
Aluminium and aluminium products,TW,9319.81261143,-0.007071226167070385
Aluminium and aluminium products,US,110792.994735,-1.6187429360298802
Aluminium and aluminium products,WA,23768.5900005,-1.5219899013657148
Aluminium and aluminium products,WE,4791.31875552,-0.07452950271577968
Aluminium and aluminium products,WF,8032.46962605,-0.09297117682560825
Aluminium and aluminium products,WL,9275.39526692,-0.1757404153265966
Aluminium and aluminium products,WM,19937.1975904,-0.49931140096294446
Aluminium and aluminium products,ZA,1122.58615792,-0.00931800718077823
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0009653302898818986
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-3.194461222299636e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.00034819814084453534
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-7.322243067895396e-05
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.002371062580957941
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-5.452040096844717e-05
Aluminium ores and concentrates,HR,2.40123949261,-2.8873416645250955e-07
Aluminium ores and concentrates,HU,25.9433227911,-1.2248651498251811e-05
Aluminium ores and concentrates,ID,0.897727817423,-5.839474129497724e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-5.275733095354843e-05
Aluminium ores and concentrates,IT,345.382371744,-0.0012150552671214895
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-1.1716019830960393e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0024788813166413083
Aluminium ores and concentrates,TW,240.735987175,-0.0007288267883948014
Aluminium ores and concentrates,US,61.6295336059,-0.00020288974664447448
Aluminium ores and concentrates,WA,445.836642213,-0.0036283604095242584
Aluminium ores and concentrates,WE,144.010694731,-0.0001426732282370454
Aluminium ores and concentrates,WF,353.253815291,-0.001642821425849004
Aluminium ores and concentrates,WL,421.783559222,-0.0005198953230217079
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.47049521691838175
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.07926270785644846
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-43.09966148120522
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.018921907526365276
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.4629139142765653
