Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.10589336791000259
Aluminium and aluminium products,AU,12531.9933192,-0.011390511246638991
Aluminium and aluminium products,BE,3993.548713,-0.10944712584257003
Aluminium and aluminium products,BG,499.437458924,-6.0768868277258425
Aluminium and aluminium products,BR,6454.85163457,-0.004118939642791766
Aluminium and aluminium products,CA,11960.2679472,-0.1165510355706223
Aluminium and aluminium products,CH,643.630526142,-0.0025863327932729714
Aluminium and aluminium products,CN,302689.359677,-4.361832496572227
Aluminium and aluminium products,CY,41.8048397461,-8.30132930869585e-06
Aluminium and aluminium products,CZ,2954.31147437,-0.036233145252287755
Aluminium and aluminium products,DE,19165.2510876,-1.3064122080892684
Aluminium and aluminium products,DK,1236.94914834,-0.048638485783975845
Aluminium and aluminium products,EE,91.1103938161,-4.469657686556588e-05
Aluminium and aluminium products,ES,7461.13251474,-0.07424779073687668
Aluminium and aluminium products,FI,356.727766315,-0.002325631792179056
Aluminium and aluminium products,FR,5375.02085894,-0.11448908584102055
Aluminium and aluminium products,GB,8010.48600955,-0.1913677393848708
Aluminium and aluminium products,GR,2044.34637917,-0.6629245379455025
Aluminium and aluminium products,HR,505.814973588,-0.004675341969000337
Aluminium and aluminium products,HU,1306.27668286,-0.05390844762566444
Aluminium and aluminium products,ID,1068.52181168,-0.0018669091692092498
Aluminium and aluminium products,IE,2172.43289372,-0.030265531688639997
Aluminium and aluminium products,IN,11978.7770986,-0.030150845819965102
Aluminium and aluminium products,IT,8923.67302338,-0.4336780933099392
Aluminium and aluminium products,JP,17109.5947277,-0.04346265962033275
Aluminium and aluminium products,KR,8673.57009522,-0.030885169264601938
Aluminium and aluminium products,LT,19.3725198714,-5.432307789709847e-05
Aluminium and aluminium products,LU,409.396696263,-0.018071263231585286
Aluminium and aluminium products,LV,54.691662585,-0.0006912745059449647
Aluminium and aluminium products,MT,11.6180007714,-2.4463234510259606e-05
Aluminium and aluminium products,MX,2504.363198,-0.007461664474827897
Aluminium and aluminium products,NL,2940.82747966,-0.03429747291035108
Aluminium and aluminium products,NO,4583.64797675,-0.02171733622814017
Aluminium and aluminium products,PL,3840.61096127,-0.12926758768107882
Aluminium and aluminium products,PT,543.258501954,-0.006576546304493344
Aluminium and aluminium products,RO,1168.18927683,-0.0589737472344519
Aluminium and aluminium products,RU,18879.1824496,-0.009214260313521832
Aluminium and aluminium products,SE,2135.19162301,-0.02177533306330363
Aluminium and aluminium products,SI,1443.72820135,-0.019890369988018908
