Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.013526823387945832
Aluminium and aluminium products,AU,10788.8621591,-0.020104729238615702
Aluminium and aluminium products,BE,5247.38034134,-0.0208675422945398
Aluminium and aluminium products,BG,1519.97837587,-0.0017383105579822464
Aluminium and aluminium products,BR,9914.80918982,-12.352197942757995
Aluminium and aluminium products,CA,20401.1714152,-14.104810290266474
Aluminium and aluminium products,CH,664.221654607,-0.004484536015102641
Aluminium and aluminium products,CN,267795.177986,-2.717474121714132
Aluminium and aluminium products,CY,202.027361746,-1.16650548577075e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.005130929362564442
Aluminium and aluminium products,DE,29109.7538681,-0.05152532148728232
Aluminium and aluminium products,DK,1842.84710324,-0.0018744898303257348
Aluminium and aluminium products,EE,101.53719116,-7.151579715948672e-05
Aluminium and aluminium products,ES,8208.21094615,-0.016134597527911486
Aluminium and aluminium products,FI,752.680853488,-0.0005885645465402675
Aluminium and aluminium products,FR,8846.32397853,-0.008740979932038942
Aluminium and aluminium products,GB,13378.5976996,-0.01619659339836542
Aluminium and aluminium products,GR,2553.08976835,-0.006804551896318505
Aluminium and aluminium products,HR,560.379064274,-0.0006683493599112854
Aluminium and aluminium products,HU,286.469504551,-0.00013586528188846286
Aluminium and aluminium products,ID,2586.29818798,-0.02198657169369343
Aluminium and aluminium products,IE,879.068440269,-0.0005440197841292144
Aluminium and aluminium products,IN,13943.6830579,-0.1095199068183695
Aluminium and aluminium products,IT,11485.2948435,-0.022658764908038947
Aluminium and aluminium products,JP,22875.3451004,-0.4913030972517037
Aluminium and aluminium products,KR,8309.49105106,-0.0687052659467227
Aluminium and aluminium products,LT,6.93599649202,-2.8455030314220777e-05
Aluminium and aluminium products,LU,74.0640426448,-0.0008061245824301023
Aluminium and aluminium products,LV,296.259954279,-7.980931060325361e-05
Aluminium and aluminium products,MT,0.00497401513167,-6.0478257737259145e-09
Aluminium and aluminium products,MX,5745.06290448,-0.04861809174133199
Aluminium and aluminium products,NL,3870.86435818,-0.036660462091416976
Aluminium and aluminium products,NO,4042.99806768,-0.06197750963719587
Aluminium and aluminium products,PL,6503.02267632,-0.007583044343062967
Aluminium and aluminium products,PT,1201.85724097,-0.001649374308888386
Aluminium and aluminium products,RO,1296.42742076,-0.0017867302135396634
Aluminium and aluminium products,RU,17915.3872454,-0.00917508569291217
Aluminium and aluminium products,SE,3090.46542881,-0.003524586235238804
Aluminium and aluminium products,SI,2312.04475031,-0.0025554253188539394
Aluminium and aluminium products,SK,2260.89388142,-0.0016973133146900646
Aluminium and aluminium products,TR,9962.96552508,-0.023698141439123344
Aluminium and aluminium products,TW,9319.81261143,-0.0024582752998381263
Aluminium and aluminium products,US,110792.994735,-1.7566404580704371
Aluminium and aluminium products,WA,23768.5900005,-0.7787582090178025
Aluminium and aluminium products,WE,4791.31875552,-0.18046778896968285
Aluminium and aluminium products,WF,8032.46962605,-0.03710645541568611
Aluminium and aluminium products,WL,9275.39526692,-1.2208440146389041
Aluminium and aluminium products,WM,19937.1975904,-0.20056422609475433
Aluminium and aluminium products,ZA,1122.58615792,-0.003821192435874023
Aluminium ores and concentrates,AT,0.0,-0.0
Aluminium ores and concentrates,AU,195.049181364,-0.001477094205544923
Aluminium ores and concentrates,BE,0.0,-0.0
Aluminium ores and concentrates,BG,0.0,-0.0
Aluminium ores and concentrates,BR,112.667555839,-0.013038120048896856
Aluminium ores and concentrates,CA,0.0,-0.0
Aluminium ores and concentrates,CH,0.0,-0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.001383652385246402
Aluminium ores and concentrates,CY,0.0,-0.0
Aluminium ores and concentrates,CZ,46.4150990011,-3.0728233303952694e-06
Aluminium ores and concentrates,DE,0.0,-0.0
Aluminium ores and concentrates,DK,0.0,-0.0
Aluminium ores and concentrates,EE,0.0,-0.0
Aluminium ores and concentrates,ES,0.0,-0.0
Aluminium ores and concentrates,FI,0.0,-0.0
Aluminium ores and concentrates,FR,116.879161532,-2.1611538949440757e-05
Aluminium ores and concentrates,GB,0.0,-0.0
Aluminium ores and concentrates,GR,80.6884676189,-8.824153128894527e-06
Aluminium ores and concentrates,HR,2.40123949261,-6.501415332454314e-08
Aluminium ores and concentrates,HU,25.9433227911,-1.4060968901264317e-06
Aluminium ores and concentrates,ID,0.897727817423,-1.8523314434416843e-07
Aluminium ores and concentrates,IE,0.0,-0.0
Aluminium ores and concentrates,IN,63.3039500456,-3.716106030596563e-05
Aluminium ores and concentrates,IT,345.382371744,-9.136878432174218e-05
Aluminium ores and concentrates,JP,0.0,-0.0
Aluminium ores and concentrates,KR,0.0,-0.0
Aluminium ores and concentrates,LT,0.0,-0.0
Aluminium ores and concentrates,LU,0.0,-0.0
Aluminium ores and concentrates,LV,0.0,-0.0
Aluminium ores and concentrates,MT,0.0,-0.0
Aluminium ores and concentrates,MX,0.0,-0.0
Aluminium ores and concentrates,NL,0.0,-0.0
Aluminium ores and concentrates,NO,0.0,-0.0
Aluminium ores and concentrates,PL,0.0,-0.0
Aluminium ores and concentrates,PT,0.0,-0.0
Aluminium ores and concentrates,RO,0.0,-0.0
Aluminium ores and concentrates,RU,87.5289640466,-5.0455413912614834e-06
Aluminium ores and concentrates,SE,0.0,-0.0
Aluminium ores and concentrates,SI,0.0,-0.0
Aluminium ores and concentrates,SK,0.0,-0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0005085541796731018
Aluminium ores and concentrates,TW,240.735987175,-0.0002569396040195306
Aluminium ores and concentrates,US,61.6295336059,-0.00012903199385920069
Aluminium ores and concentrates,WA,445.836642213,-0.0018168127489138102
Aluminium ores and concentrates,WE,144.010694731,-0.0002172973567596487
Aluminium ores and concentrates,WF,353.253815291,-0.0006080441798481113
Aluminium ores and concentrates,WL,421.783559222,-0.0036147540187951624
Aluminium ores and concentrates,WM,0.0,-0.0
Aluminium ores and concentrates,ZA,0.0,-0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.03042949284152911
