Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.014869233280043305
Aluminium and aluminium products,AU,10788.8621591,-0.00741506996639371
Aluminium and aluminium products,BE,5247.38034134,-0.02542430814182647
Aluminium and aluminium products,BG,1519.97837587,-0.002605311591918657
Aluminium and aluminium products,BR,9914.80918982,-0.04131203629564785
Aluminium and aluminium products,CA,20401.1714152,-4.537569695211895
Aluminium and aluminium products,CH,664.221654607,-0.002624671925043825
Aluminium and aluminium products,CN,267795.177986,-2.3998402503621072
Aluminium and aluminium products,CY,202.027361746,-1.0527861363448336e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.005320249917547658
Aluminium and aluminium products,DE,29109.7538681,-0.11065757842265643
Aluminium and aluminium products,DK,1842.84710324,-0.009572463795696023
Aluminium and aluminium products,EE,101.53719116,-0.00019668283893774146
Aluminium and aluminium products,ES,8208.21094615,-0.01950871600850888
Aluminium and aluminium products,FI,752.680853488,-0.013801036275410227
Aluminium and aluminium products,FR,8846.32397853,-0.058469919894878056
Aluminium and aluminium products,GB,13378.5976996,-0.03851722241416138
Aluminium and aluminium products,GR,2553.08976835,-0.005759890831542098
Aluminium and aluminium products,HR,560.379064274,-0.0011277975369423823
Aluminium and aluminium products,HU,286.469504551,-0.0003364080049570599
Aluminium and aluminium products,ID,2586.29818798,-0.011275087692621507
Aluminium and aluminium products,IE,879.068440269,-0.0025327120845775
Aluminium and aluminium products,IN,13943.6830579,-0.0889784485247127
Aluminium and aluminium products,IT,11485.2948435,-0.020672856570761074
Aluminium and aluminium products,JP,22875.3451004,-0.06945866158668694
Aluminium and aluminium products,KR,8309.49105106,-0.08489026577115276
Aluminium and aluminium products,LT,6.93599649202,-0.000155416481400522
Aluminium and aluminium products,LU,74.0640426448,-0.0009327889796979999
Aluminium and aluminium products,LV,296.259954279,-0.00013939104024129168
Aluminium and aluminium products,MT,0.00497401513167,-4.267676786500492e-09
Aluminium and aluminium products,MX,5745.06290448,-0.1709931131024918
Aluminium and aluminium products,NL,3870.86435818,-0.017358114622773493
Aluminium and aluminium products,NO,4042.99806768,-0.014276257383035207
Aluminium and aluminium products,PL,6503.02267632,-0.010650191866666409
Aluminium and aluminium products,PT,1201.85724097,-0.0009745760193697881
Aluminium and aluminium products,RO,1296.42742076,-0.0016563222874259695
Aluminium and aluminium products,RU,17915.3872454,-0.025476434304417324
Aluminium and aluminium products,SE,3090.46542881,-0.0910649957466853
Aluminium and aluminium products,SI,2312.04475031,-0.007615454592602489
Aluminium and aluminium products,SK,2260.89388142,-0.0013823015743080153
Aluminium and aluminium products,TR,9962.96552508,-0.02442439019818339
Aluminium and aluminium products,TW,9319.81261143,-0.009870806993081552
Aluminium and aluminium products,US,110792.994735,-4.316717900277524
Aluminium and aluminium products,WA,23768.5900005,-0.30804478300274024
Aluminium and aluminium products,WE,4791.31875552,-0.008470218589243532
Aluminium and aluminium products,WF,8032.46962605,-0.014253899410407157
Aluminium and aluminium products,WL,9275.39526692,-0.2868507730878385
Aluminium and aluminium products,WM,19937.1975904,-0.10621417317077296
Aluminium and aluminium products,ZA,1122.58615792,-0.005678869846607419
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0008198587475382412
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-4.3400130503852046e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.0004938472091061049
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-7.74777422845452e-06
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.0007212352767575773
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-1.0209476248077899e-05
Aluminium ores and concentrates,HR,2.40123949261,-7.574780990424814e-08
Aluminium ores and concentrates,HU,25.9433227911,-5.366479069717859e-06
Aluminium ores and concentrates,ID,0.897727817423,-7.946148956041231e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-4.62787189529773e-05
Aluminium ores and concentrates,IT,345.382371744,-0.0002198522067062179
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
