Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.08138148642716171
Aluminium and aluminium products,AU,12531.9933192,-0.013701147509522546
Aluminium and aluminium products,BE,3993.548713,-0.049492968363635995
Aluminium and aluminium products,BG,499.437458924,-0.005177073220516552
Aluminium and aluminium products,BR,6454.85163457,-0.013946521626938402
Aluminium and aluminium products,CA,11960.2679472,-0.08914972980870058
Aluminium and aluminium products,CH,643.630526142,-7.430225929191668
Aluminium and aluminium products,CN,302689.359677,-5.311537397950137
Aluminium and aluminium products,CY,41.8048397461,-1.355047438411292e-05
Aluminium and aluminium products,CZ,2954.31147437,-0.009782787357189054
Aluminium and aluminium products,DE,19165.2510876,-1.1918486559552655
Aluminium and aluminium products,DK,1236.94914834,-0.011404331227878617
Aluminium and aluminium products,EE,91.1103938161,-0.0002921045742554323
Aluminium and aluminium products,ES,7461.13251474,-0.0980921299399331
Aluminium and aluminium products,FI,356.727766315,-0.0026712193277466157
Aluminium and aluminium products,FR,5375.02085894,-0.19960863355382732
Aluminium and aluminium products,GB,8010.48600955,-0.19550590844921856
Aluminium and aluminium products,GR,2044.34637917,-0.07308894698980342
Aluminium and aluminium products,HR,505.814973588,-0.0038101261521656803
Aluminium and aluminium products,HU,1306.27668286,-0.009556502775126216
Aluminium and aluminium products,ID,1068.52181168,-0.006076551436781606
Aluminium and aluminium products,IE,2172.43289372,-0.005983333499207377
Aluminium and aluminium products,IN,11978.7770986,-0.04540384541603185
Aluminium and aluminium products,IT,8923.67302338,-0.3258114640201464
Aluminium and aluminium products,JP,17109.5947277,-0.07168877358917426
Aluminium and aluminium products,KR,8673.57009522,-0.048832285698373376
Aluminium and aluminium products,LT,19.3725198714,-0.00027138440794066687
Aluminium and aluminium products,LU,409.396696263,-0.010091967314107749
Aluminium and aluminium products,LV,54.691662585,-0.0017018638050416068
Aluminium and aluminium products,MT,11.6180007714,-0.00019506879212509136
Aluminium and aluminium products,MX,2504.363198,-0.02513714783149672
Aluminium and aluminium products,NL,2940.82747966,-0.021264530533160093
Aluminium and aluminium products,NO,4583.64797675,-0.009942559856072541
Aluminium and aluminium products,PL,3840.61096127,-0.025732542778560737
Aluminium and aluminium products,PT,543.258501954,-0.002901026132255226
Aluminium and aluminium products,RO,1168.18927683,-0.005490979976154595
Aluminium and aluminium products,RU,18879.1824496,-0.004659496061027757
Aluminium and aluminium products,SE,2135.19162301,-0.025409890645875007
Aluminium and aluminium products,SI,1443.72820135,-0.0111659295592239
Aluminium and aluminium products,SK,1696.23637467,-0.005285559479511568
Aluminium and aluminium products,TR,2580.28860824,-0.02555758853010334
Aluminium and aluminium products,TW,6095.69118313,-0.010402933656957908
Aluminium and aluminium products,US,48679.1996737,-0.47993788022846595
Aluminium and aluminium products,WA,15732.4429953,-0.16601457291582597
Aluminium and aluminium products,WE,3559.27925605,-0.018674841087049466
Aluminium and aluminium products,WF,6427.26361047,-0.006656903734905636
Aluminium and aluminium products,WL,7475.69132895,-0.023395975529658927
Aluminium and aluminium products,WM,11805.3345042,-0.09243399411655027
Aluminium and aluminium products,ZA,797.040743415,-0.0022825420183427126
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.020555139840819362
Aluminium ores and concentrates,BE,2.84444912715,-7.091941504887189e-07
Aluminium ores and concentrates,BG,0.138495096199,-4.516183824723726e-08
Aluminium ores and concentrates,BR,280.581818121,-0.0016903057931539683
Aluminium ores and concentrates,CA,207.504378799,-5.145789051660596e-05
