Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.0073526303401559735
Aluminium and aluminium products,AU,12531.9933192,-0.028596085796859006
Aluminium and aluminium products,BE,3993.548713,-0.01782156840043051
Aluminium and aluminium products,BG,499.437458924,-0.00129372292110859
Aluminium and aluminium products,BR,6454.85163457,-0.017299470305506878
Aluminium and aluminium products,CA,11960.2679472,-0.08101883304758685
Aluminium and aluminium products,CH,643.630526142,-0.001468674505045959
Aluminium and aluminium products,CN,302689.359677,-193.15463811060928
Aluminium and aluminium products,CY,41.8048397461,-5.1077953211249745e-06
Aluminium and aluminium products,CZ,2954.31147437,-0.002457852092854924
Aluminium and aluminium products,DE,19165.2510876,-0.11422201324783066
Aluminium and aluminium products,DK,1236.94914834,-0.005832087895723499
Aluminium and aluminium products,EE,91.1103938161,-1.6818162681670104e-05
Aluminium and aluminium products,ES,7461.13251474,-0.039074596294358666
Aluminium and aluminium products,FI,356.727766315,-0.0006350266372108079
Aluminium and aluminium products,FR,5375.02085894,-0.03412588599817322
Aluminium and aluminium products,GB,8010.48600955,-0.023189171799634013
Aluminium and aluminium products,GR,2044.34637917,-0.022181396790464717
Aluminium and aluminium products,HR,505.814973588,-0.00044211024999512584
Aluminium and aluminium products,HU,1306.27668286,-0.0015243435709801246
Aluminium and aluminium products,ID,1068.52181168,-0.007616714073227577
Aluminium and aluminium products,IE,2172.43289372,-0.0017380384203231464
Aluminium and aluminium products,IN,11978.7770986,-0.12853724927584811
Aluminium and aluminium products,IT,8923.67302338,-0.021125900176502455
Aluminium and aluminium products,JP,17109.5947277,-0.11006923736516089
Aluminium and aluminium products,KR,8673.57009522,-0.11089105513734551
Aluminium and aluminium products,LT,19.3725198714,-8.006821460222799e-06
Aluminium and aluminium products,LU,409.396696263,-0.0018140804583883271
Aluminium and aluminium products,LV,54.691662585,-5.864071076558244e-05
Aluminium and aluminium products,MT,11.6180007714,-1.7533333064741042e-06
Aluminium and aluminium products,MX,2504.363198,-0.05218069107418877
Aluminium and aluminium products,NL,2940.82747966,-0.00573924949627992
Aluminium and aluminium products,NO,4583.64797675,-0.0035178348137738192
Aluminium and aluminium products,PL,3840.61096127,-0.008102686156227504
Aluminium and aluminium products,PT,543.258501954,-0.0007758720885194373
Aluminium and aluminium products,RO,1168.18927683,-0.0013116234225699517
Aluminium and aluminium products,RU,18879.1824496,-0.002566821463899804
Aluminium and aluminium products,SE,2135.19162301,-0.004697792193496989
Aluminium and aluminium products,SI,1443.72820135,-0.0015256303613280877
Aluminium and aluminium products,SK,1696.23637467,-0.0009386678556807454
Aluminium and aluminium products,TR,2580.28860824,-0.012250945379190721
Aluminium and aluminium products,TW,6095.69118313,-0.002518568511741207
Aluminium and aluminium products,US,48679.1996737,-0.2638226360955985
Aluminium and aluminium products,WA,15732.4429953,-0.15565049573763093
Aluminium and aluminium products,WE,3559.27925605,-0.005375364792246205
Aluminium and aluminium products,WF,6427.26361047,-0.009923850553259218
Aluminium and aluminium products,WL,7475.69132895,-0.02017940189375791
Aluminium and aluminium products,WM,11805.3345042,-0.04686891424630291
Aluminium and aluminium products,ZA,797.040743415,-0.003894531371865127
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.02509917815154895
Aluminium ores and concentrates,BE,2.84444912715,-1.3126251003841307e-07
Aluminium ores and concentrates,BG,0.138495096199,-4.280428791244411e-09
Aluminium ores and concentrates,BR,280.581818121,-0.002013407349959653
Aluminium ores and concentrates,CA,207.504378799,-2.7246691406103604e-05
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-1.132492779096555
Aluminium ores and concentrates,CY,0.00421751898077,-1.3602542667820623e-11
Aluminium ores and concentrates,CZ,12.1417238024,-1.3298860519428003e-06
Aluminium ores and concentrates,DE,1.19660977212,-1.0284187710313603e-06
Aluminium ores and concentrates,DK,4.3419884646,-1.1473094513417396e-06
Aluminium ores and concentrates,EE,0.0661687596157,-7.602249787678193e-11
Aluminium ores and concentrates,ES,7.56486150521,-4.492187338911724e-07
Aluminium ores and concentrates,FI,1.96593974192,-4.7752337493922826e-08
Aluminium ores and concentrates,FR,34.5354208783,-3.991770004396635e-06
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-8.020541292138396e-05
Aluminium ores and concentrates,HR,19.4130743772,-2.947664909052081e-07
Aluminium ores and concentrates,HU,4.80949295081,-1.9463696171900346e-07
Aluminium ores and concentrates,ID,390.485203219,-0.010544236623584379
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,2242.58684091,-0.00024442227020570335
Aluminium ores and concentrates,IT,73.5791874402,-3.4878202775402453e-06
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.620618277566,-9.669273607319745e-10
Aluminium ores and concentrates,MT,0.0265288720645,-1.4753844330799136e-11
Aluminium ores and concentrates,MX,0.114142565282,-2.3932212569454646e-07
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.497017636283,-3.977548539177293e-08
Aluminium ores and concentrates,PL,6.84794213703,-1.2306894511568759e-06
Aluminium ores and concentrates,PT,0.00886102172329,-3.6525371411385582e-09
