Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.0037070314304926467
Aluminium and aluminium products,AU,12531.9933192,-0.004688335748758603
Aluminium and aluminium products,BE,3993.548713,-0.006195592938655361
Aluminium and aluminium products,BG,499.437458924,-0.00025071300266302844
Aluminium and aluminium products,BR,6454.85163457,-0.004635277797424799
Aluminium and aluminium products,CA,11960.2679472,-0.019865840347970516
Aluminium and aluminium products,CH,643.630526142,-0.0005475495796875575
Aluminium and aluminium products,CN,302689.359677,-1.7145243149197047
Aluminium and aluminium products,CY,41.8048397461,-0.145388904856518
Aluminium and aluminium products,CZ,2954.31147437,-0.00111329556390399
Aluminium and aluminium products,DE,19165.2510876,-0.029629147300333596
Aluminium and aluminium products,DK,1236.94914834,-0.0006541404327360288
Aluminium and aluminium products,EE,91.1103938161,-8.324713276690931e-06
Aluminium and aluminium products,ES,7461.13251474,-0.006395302540981607
Aluminium and aluminium products,FI,356.727766315,-0.0008343105975917416
Aluminium and aluminium products,FR,5375.02085894,-0.011458778687687729
Aluminium and aluminium products,GB,8010.48600955,-0.01711280158972399
Aluminium and aluminium products,GR,2044.34637917,-0.01756011067681298
Aluminium and aluminium products,HR,505.814973588,-0.00016028725330591824
Aluminium and aluminium products,HU,1306.27668286,-0.0018279192251464578
Aluminium and aluminium products,ID,1068.52181168,-0.0039657758618450055
Aluminium and aluminium products,IE,2172.43289372,-0.008549719639823403
Aluminium and aluminium products,IN,11978.7770986,-0.01682095282355933
Aluminium and aluminium products,IT,8923.67302338,-0.011189774473687839
Aluminium and aluminium products,JP,17109.5947277,-0.020173157222080677
Aluminium and aluminium products,KR,8673.57009522,-0.023705068885859108
Aluminium and aluminium products,LT,19.3725198714,-5.092051746488073e-06
Aluminium and aluminium products,LU,409.396696263,-0.0007548238274787744
Aluminium and aluminium products,LV,54.691662585,-6.26234704058426e-05
Aluminium and aluminium products,MT,11.6180007714,-3.635550711253638e-06
Aluminium and aluminium products,MX,2504.363198,-0.004376218636294466
Aluminium and aluminium products,NL,2940.82747966,-0.001767941447470756
Aluminium and aluminium products,NO,4583.64797675,-0.001978363665316193
Aluminium and aluminium products,PL,3840.61096127,-0.00449662417752535
Aluminium and aluminium products,PT,543.258501954,-0.0005513453439454773
Aluminium and aluminium products,RO,1168.18927683,-0.0007299125021922976
Aluminium and aluminium products,RU,18879.1824496,-0.010436723377875027
Aluminium and aluminium products,SE,2135.19162301,-0.006600942231420708
Aluminium and aluminium products,SI,1443.72820135,-0.0006894559494552995
Aluminium and aluminium products,SK,1696.23637467,-0.0005406688523937355
Aluminium and aluminium products,TR,2580.28860824,-0.00743286241517604
Aluminium and aluminium products,TW,6095.69118313,-0.008504936066636746
Aluminium and aluminium products,US,48679.1996737,-0.04434585962892723
Aluminium and aluminium products,WA,15732.4429953,-0.026138536260542303
Aluminium and aluminium products,WE,3559.27925605,-0.005091269818200521
Aluminium and aluminium products,WF,6427.26361047,-0.005511510767050319
Aluminium and aluminium products,WL,7475.69132895,-0.014137825242745795
Aluminium and aluminium products,WM,11805.3345042,-0.053954498920168834
Aluminium and aluminium products,ZA,797.040743415,-0.00048453283574066827
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.004714393625099803
Aluminium ores and concentrates,BE,2.84444912715,-1.6853686034351473e-07
Aluminium ores and concentrates,BG,0.138495096199,-4.457232302458771e-09
Aluminium ores and concentrates,BR,280.581818121,-0.0012681923110008896
Aluminium ores and concentrates,CA,207.504378799,-3.573062115254415e-05
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-0.03526527741610469
Aluminium ores and concentrates,CY,0.00421751898077,-1.370597804776171e-06
Aluminium ores and concentrates,CZ,12.1417238024,-1.725760901090459e-06
Aluminium ores and concentrates,DE,1.19660977212,-6.560346517689696e-07
Aluminium ores and concentrates,DK,4.3419884646,-3.280352378139743e-07
Aluminium ores and concentrates,EE,0.0661687596157,-5.381880845408471e-11
Aluminium ores and concentrates,ES,7.56486150521,-7.662458772519936e-07
Aluminium ores and concentrates,FI,1.96593974192,-7.782607740857835e-08
Aluminium ores and concentrates,FR,34.5354208783,-1.8955180209135968e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-0.0008085053059632158
Aluminium ores and concentrates,HR,19.4130743772,-2.429577667860897e-07
Aluminium ores and concentrates,HU,4.80949295081,-1.1287097353064137e-06
Aluminium ores and concentrates,ID,390.485203219,-0.001724548935268259
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,2242.58684091,-0.00013937681712166208
Aluminium ores and concentrates,IT,73.5791874402,-8.889233191758979e-06
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.620618277566,-1.2857996722372177e-09
Aluminium ores and concentrates,MT,0.0265288720645,-2.3282389523090946e-11
Aluminium ores and concentrates,MX,0.114142565282,-5.245522058495537e-08
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.497017636283,-1.8703777335135086e-08
Aluminium ores and concentrates,PL,6.84794213703,-1.3510975850145619e-06
Aluminium ores and concentrates,PT,0.00886102172329,-1.0674118264698382e-09
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,78.5125085936,-0.0001790019038965113
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,4.95961127103,-2.58201270335628e-07
Aluminium ores and concentrates,TR,16.7608883352,-0.000344937282209114
Aluminium ores and concentrates,TW,26.0103873936,-5.037291497714049e-05
Aluminium ores and concentrates,US,184.282016273,-2.481940141209691e-05
Aluminium ores and concentrates,WA,1599.52781152,-0.016981932335999324
Aluminium ores and concentrates,WE,117.07475279,-0.0045501608624617515
Aluminium ores and concentrates,WF,986.894287433,-0.030035363733096756
Aluminium ores and concentrates,WL,416.43589486,-0.005998872945836865
Aluminium ores and concentrates,WM,1022.5175986,-0.0041311740863746406
