Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-4.25632361181791
Aluminium and aluminium products,AU,10788.8621591,-0.01314669506555403
Aluminium and aluminium products,BE,5247.38034134,-0.19630886357806196
Aluminium and aluminium products,BG,1519.97837587,-0.08480538453461646
Aluminium and aluminium products,BR,9914.80918982,-0.01901252321974949
Aluminium and aluminium products,CA,20401.1714152,-0.6642106457613914
Aluminium and aluminium products,CH,664.221654607,-0.12450466966613317
Aluminium and aluminium products,CN,267795.177986,-2.4929101970914394
Aluminium and aluminium products,CY,202.027361746,-1.7245951445731325e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.18207579819343758
Aluminium and aluminium products,DE,29109.7538681,-9.639323292684715
Aluminium and aluminium products,DK,1842.84710324,-0.02965650531518241
Aluminium and aluminium products,EE,101.53719116,-0.0004339401377697661
Aluminium and aluminium products,ES,8208.21094615,-0.08881734482300647
Aluminium and aluminium products,FI,752.680853488,-0.004918942982872625
Aluminium and aluminium products,FR,8846.32397853,-0.1300748475358062
Aluminium and aluminium products,GB,13378.5976996,-2.3077052826388544
Aluminium and aluminium products,GR,2553.08976835,-0.06929860766074848
Aluminium and aluminium products,HR,560.379064274,-0.010812539645420106
Aluminium and aluminium products,HU,286.469504551,-0.0035077412801629085
Aluminium and aluminium products,ID,2586.29818798,-0.02477891091439084
Aluminium and aluminium products,IE,879.068440269,-0.005471957703260976
Aluminium and aluminium products,IN,13943.6830579,-0.09705421254216694
Aluminium and aluminium products,IT,11485.2948435,-1.511216528044766
Aluminium and aluminium products,JP,22875.3451004,-0.07479986427432594
Aluminium and aluminium products,KR,8309.49105106,-0.09980126352618951
Aluminium and aluminium products,LT,6.93599649202,-0.0006980033855456494
Aluminium and aluminium products,LU,74.0640426448,-0.011317506172904135
Aluminium and aluminium products,LV,296.259954279,-0.0003813790681609455
Aluminium and aluminium products,MT,0.00497401513167,-1.6752067690199343e-08
Aluminium and aluminium products,MX,5745.06290448,-0.04403209458359482
Aluminium and aluminium products,NL,3870.86435818,-0.14400143342170746
Aluminium and aluminium products,NO,4042.99806768,-0.007511952675171349
Aluminium and aluminium products,PL,6503.02267632,-0.2295970081719754
Aluminium and aluminium products,PT,1201.85724097,-0.0028642633029516158
Aluminium and aluminium products,RO,1296.42742076,-0.015509570919625978
Aluminium and aluminium products,RU,17915.3872454,-0.04140133105785284
Aluminium and aluminium products,SE,3090.46542881,-0.03760500066013773
Aluminium and aluminium products,SI,2312.04475031,-0.08791537710337693
Aluminium and aluminium products,SK,2260.89388142,-1.4384809374990077
Aluminium and aluminium products,TR,9962.96552508,-0.12528930746413136
Aluminium and aluminium products,TW,9319.81261143,-0.00549981662905896
Aluminium and aluminium products,US,110792.994735,-0.6338531817811224
Aluminium and aluminium products,WA,23768.5900005,-0.5163195451039466
Aluminium and aluminium products,WE,4791.31875552,-0.21075084458961685
Aluminium and aluminium products,WF,8032.46962605,-0.02932988037750211
Aluminium and aluminium products,WL,9275.39526692,-0.13169584909916343
Aluminium and aluminium products,WM,19937.1975904,-0.25797030057709325
Aluminium and aluminium products,ZA,1122.58615792,-0.006353644065988141
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0007440703986194146
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-1.998082365093731e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.0002753923344407338
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-8.907706433592698e-05
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.00018916543221952776
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-5.711640319196117e-05
Aluminium ores and concentrates,HR,2.40123949261,-2.9187963233838895e-06
Aluminium ores and concentrates,HU,25.9433227911,-3.134749615609155e-05
Aluminium ores and concentrates,ID,0.897727817423,-3.113597780687532e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-2.7577930072134614e-05
Aluminium ores and concentrates,IT,345.382371744,-0.0049143006370402755
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-2.500347757618199e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0011470802262819057
Aluminium ores and concentrates,TW,240.735987175,-0.0004901522653964054
Aluminium ores and concentrates,US,61.6295336059,-0.000191626393604376
Aluminium ores and concentrates,WA,445.836642213,-0.0012281404728051236
Aluminium ores and concentrates,WE,144.010694731,-0.0006388881878723261
Aluminium ores and concentrates,WF,353.253815291,-0.0006431064497421825
Aluminium ores and concentrates,WL,421.783559222,-0.0003899983179180156
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-5.940340438290029
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.03608094882049128
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-0.42468715088050085
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.012401508398583151
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.3782642542105549
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-0.9866914689010684
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.22729024472794054
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-6.0083439547541495
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-5.476216090857649e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.41043960916897476
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-27.629179272905645
Basic iron and steel and of ferro-alloys and first products thereof,DK,2254.42555552,-0.026617531647248376
Basic iron and steel and of ferro-alloys and first products thereof,EE,554.86917086,-0.0011209114552401802
Basic iron and steel and of ferro-alloys and first products thereof,ES,32815.4783877,-0.30401155023469856
Basic iron and steel and of ferro-alloys and first products thereof,FI,9327.9240438,-0.09892883068930154
Basic iron and steel and of ferro-alloys and first products thereof,FR,36902.145357,-0.7824756094184497
