Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-4.318133076675532
Aluminium and aluminium products,AU,10788.8621591,-0.031022093784706408
Aluminium and aluminium products,BE,5247.38034134,-1.2542801033360131
Aluminium and aluminium products,BG,1519.97837587,-0.017723594015244447
Aluminium and aluminium products,BR,9914.80918982,-0.05246890697404006
Aluminium and aluminium products,CA,20401.1714152,-2.7132216923082138
Aluminium and aluminium products,CH,664.221654607,-0.5190786181651809
Aluminium and aluminium products,CN,267795.177986,-5.723695180450973
Aluminium and aluminium products,CY,202.027361746,-3.098423142410854e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.4695119961429572
Aluminium and aluminium products,DE,29109.7538681,-66.55882457857003
Aluminium and aluminium products,DK,1842.84710324,-0.14288957729354906
Aluminium and aluminium products,EE,101.53719116,-0.0009438152933088087
Aluminium and aluminium products,ES,8208.21094615,-0.27652239336689766
Aluminium and aluminium products,FI,752.680853488,-0.014722694249364416
Aluminium and aluminium products,FR,8846.32397853,-0.705179506521282
Aluminium and aluminium products,GB,13378.5976996,-0.22016646675527762
Aluminium and aluminium products,GR,2553.08976835,-0.058886780340686874
Aluminium and aluminium products,HR,560.379064274,-0.015106670182590955
Aluminium and aluminium products,HU,286.469504551,-0.0027992310001703066
Aluminium and aluminium products,ID,2586.29818798,-0.0830542068359886
Aluminium and aluminium products,IE,879.068440269,-0.006080613573322623
Aluminium and aluminium products,IN,13943.6830579,-0.22944417347840343
Aluminium and aluminium products,IT,11485.2948435,-1.3682643965969938
Aluminium and aluminium products,JP,22875.3451004,-0.22217023347324485
Aluminium and aluminium products,KR,8309.49105106,-0.3641335116623168
Aluminium and aluminium products,LT,6.93599649202,-0.0004289498955213889
Aluminium and aluminium products,LU,74.0640426448,-0.05339892899514231
Aluminium and aluminium products,LV,296.259954279,-0.00034632569210389
Aluminium and aluminium products,MT,0.00497401513167,-1.7460966367171245e-08
Aluminium and aluminium products,MX,5745.06290448,-0.1385830082731774
Aluminium and aluminium products,NL,3870.86435818,-1.731005437936992
Aluminium and aluminium products,NO,4042.99806768,-0.1194684531458369
Aluminium and aluminium products,PL,6503.02267632,-0.5870252170757092
Aluminium and aluminium products,PT,1201.85724097,-0.00934656057836904
Aluminium and aluminium products,RO,1296.42742076,-0.019616931415750383
Aluminium and aluminium products,RU,17915.3872454,-0.03718756965114545
Aluminium and aluminium products,SE,3090.46542881,-0.13641979859233883
Aluminium and aluminium products,SI,2312.04475031,-0.14249168034678006
Aluminium and aluminium products,SK,2260.89388142,-0.07686937848564301
Aluminium and aluminium products,TR,9962.96552508,-0.4233420404487774
Aluminium and aluminium products,TW,9319.81261143,-0.004266223543438491
Aluminium and aluminium products,US,110792.994735,-2.173178688205431
Aluminium and aluminium products,WA,23768.5900005,-1.586490335586835
Aluminium and aluminium products,WE,4791.31875552,-0.220597706094804
Aluminium and aluminium products,WF,8032.46962605,-0.0812664111733356
Aluminium and aluminium products,WL,9275.39526692,-0.4197403749591051
Aluminium and aluminium products,WM,19937.1975904,-0.8605550247902461
Aluminium and aluminium products,ZA,1122.58615792,-0.012450754259412253
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0011603240174872897
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-5.5177760322453e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.0003789134978180696
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-0.00015035687797154275
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.0004648132333964598
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-4.291462511259492e-05
Aluminium ores and concentrates,HR,2.40123949261,-3.9204245766155584e-07
Aluminium ores and concentrates,HU,25.9433227911,-2.8970339737320543e-05
Aluminium ores and concentrates,ID,0.897727817423,-4.295662380575525e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-4.7972822441743426e-05
Aluminium ores and concentrates,IT,345.382371744,-0.003351844589384505
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-1.4612853529819744e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.002470186044289347
Aluminium ores and concentrates,TW,240.735987175,-0.000539627129720957
Aluminium ores and concentrates,US,61.6295336059,-0.0004283959825165082
Aluminium ores and concentrates,WA,445.836642213,-0.0037834655336953264
Aluminium ores and concentrates,WE,144.010694731,-0.0003351280890460054
Aluminium ores and concentrates,WF,353.253815291,-0.0014836883718227442
Aluminium ores and concentrates,WL,421.783559222,-0.0012489108308272668
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-5.318619520301794
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.0640039205744083
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-1.6732242985449965
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.0031789990668539213
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.7965636232948233
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-1.7531153413326077
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.8893171570012864
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-12.720043376652212
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-6.519385353261126e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.8882604231201936
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-104.86841657997459
Basic iron and steel and of ferro-alloys and first products thereof,DK,2254.42555552,-0.08550877965939972
Basic iron and steel and of ferro-alloys and first products thereof,EE,554.86917086,-0.0019955266639340666
Basic iron and steel and of ferro-alloys and first products thereof,ES,32815.4783877,-0.7020505017692641
Basic iron and steel and of ferro-alloys and first products thereof,FI,9327.9240438,-0.2789027491694523
Basic iron and steel and of ferro-alloys and first products thereof,FR,36902.145357,-2.764486986525899
Basic iron and steel and of ferro-alloys and first products thereof,GB,23626.7865492,-1.4982090506630048
Basic iron and steel and of ferro-alloys and first products thereof,GR,4002.74669845,-0.05654030654258812
Basic iron and steel and of ferro-alloys and first products thereof,HR,779.62247634,-0.004250058176736894
Basic iron and steel and of ferro-alloys and first products thereof,HU,573.651510555,-0.01453951889780347
Basic iron and steel and of ferro-alloys and first products thereof,ID,28063.8922122,-0.26271267840813683
Basic iron and steel and of ferro-alloys and first products thereof,IE,304.716491426,-0.004986948058799832
Basic iron and steel and of ferro-alloys and first products thereof,IN,168511.250647,-2.3639488780513815
Basic iron and steel and of ferro-alloys and first products thereof,IT,54736.4503124,-3.614651421883903
Basic iron and steel and of ferro-alloys and first products thereof,JP,205709.449824,-0.4786631142854333
Basic iron and steel and of ferro-alloys and first products thereof,KR,164202.162798,-0.662597825278195
Basic iron and steel and of ferro-alloys and first products thereof,LT,10.5462183967,-4.98784607473452e-05
Basic iron and steel and of ferro-alloys and first products thereof,LU,608.192509525,-0.1512666433966797
Basic iron and steel and of ferro-alloys and first products thereof,LV,1876.6383336,-0.0012627804624613592
Basic iron and steel and of ferro-alloys and first products thereof,MT,0.0552715504823,-8.551624746474598e-07
Basic iron and steel and of ferro-alloys and first products thereof,MX,35841.4611981,-0.5083597915992816
Basic iron and steel and of ferro-alloys and first products thereof,NL,1512.33123068,-0.8829864918856892
Basic iron and steel and of ferro-alloys and first products thereof,NO,1853.1917373,-0.12691447451504412
Basic iron and steel and of ferro-alloys and first products thereof,PL,27952.3792189,-1.607677191552284
Basic iron and steel and of ferro-alloys and first products thereof,PT,4069.19439044,-0.10058797852487254
Basic iron and steel and of ferro-alloys and first products thereof,RO,4659.14739212,-0.189994800619767
Basic iron and steel and of ferro-alloys and first products thereof,RU,68916.0077572,-0.1849817340755308
Basic iron and steel and of ferro-alloys and first products thereof,SE,10261.0187758,-0.7758247204209049
Basic iron and steel and of ferro-alloys and first products thereof,SI,2288.56302977,-0.1412349487486294
Basic iron and steel and of ferro-alloys and first products thereof,SK,1007.32881893,-0.07162492667095828
Basic iron and steel and of ferro-alloys and first products thereof,TR,74268.365993,-0.65187752813749
Basic iron and steel and of ferro-alloys and first products thereof,TW,100727.499584,-0.007241545761168367
Basic iron and steel and of ferro-alloys and first products thereof,US,205998.706778,-5.215608629332423
Basic iron and steel and of ferro-alloys and first products thereof,WA,145998.414141,-4.112584925171533
Basic iron and steel and of ferro-alloys and first products thereof,WE,14739.812353,-0.5672408134483219
Basic iron and steel and of ferro-alloys and first products thereof,WF,27799.8163563,-0.06501902464027291
Basic iron and steel and of ferro-alloys and first products thereof,WL,28642.6043567,-0.5340209687916964
Basic iron and steel and of ferro-alloys and first products thereof,WM,77625.4967214,-0.3986477471229732
Basic iron and steel and of ferro-alloys and first products thereof,ZA,18732.4655732,-0.05427268551504333
Copper ores and concentrates,AT,0.0,0.0
Copper ores and concentrates,AU,1217.54166304,-0.00035287445509692226
Copper ores and concentrates,BE,0.0,0.0
Copper ores and concentrates,BG,4689.66355003,-0.008961116733123553
Copper ores and concentrates,BR,164.578921747,-2.3984049677957802e-05
Copper ores and concentrates,CA,0.154263949143,-1.0951906380331212e-07
Copper ores and concentrates,CH,0.0,0.0
Copper ores and concentrates,CN,1032.51146091,-0.005148490482494765
Copper ores and concentrates,CY,43.2493505924,-9.471989591114583e-06
Copper ores and concentrates,CZ,0.0,0.0
Copper ores and concentrates,DE,0.0,0.0
Copper ores and concentrates,DK,0.0,0.0
Copper ores and concentrates,EE,0.0,0.0
Copper ores and concentrates,ES,3790.30149904,-0.15453184380381565
Copper ores and concentrates,FI,838.963827784,-0.00026448195250285573
Copper ores and concentrates,FR,0.0,0.0
Copper ores and concentrates,GB,0.0,0.0
Copper ores and concentrates,GR,0.0,0.0
Copper ores and concentrates,HR,0.0,0.0
Copper ores and concentrates,HU,0.0,0.0
Copper ores and concentrates,ID,17.4853351606,-6.910046399382836e-07
Copper ores and concentrates,IE,0.0,0.0
Copper ores and concentrates,IN,6.10591015926,-6.42817367108401e-06
Copper ores and concentrates,IT,0.0,0.0
Copper ores and concentrates,JP,0.0,0.0
Copper ores and concentrates,KR,4.10819108449,-2.6331446345307154e-06
Copper ores and concentrates,LT,0.00301192169283,-4.474437866097773e-10
Copper ores and concentrates,LU,0.0,0.0
Copper ores and concentrates,LV,0.0,0.0
Copper ores and concentrates,MT,0.0,0.0
Copper ores and concentrates,MX,0.0,0.0
Copper ores and concentrates,NL,0.0,0.0
Copper ores and concentrates,NO,0.0,0.0
Copper ores and concentrates,PL,958.838207015,-0.004407414824155031
Copper ores and concentrates,PT,957.47842835,-0.0007143349530408441
Copper ores and concentrates,RO,0.245069988895,-1.791881520031407e-06
Copper ores and concentrates,RU,191.812470064,-7.668331980423515e-05
Copper ores and concentrates,SE,3531.24241324,-0.00201785208392806
Copper ores and concentrates,SI,0.0,0.0
