Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.43395436342653143
Aluminium and aluminium products,AU,10788.8621591,-0.01579708229182965
Aluminium and aluminium products,BE,5247.38034134,-0.42591461755791116
Aluminium and aluminium products,BG,1519.97837587,-0.009882632189130042
Aluminium and aluminium products,BR,9914.80918982,-0.027774394075705793
Aluminium and aluminium products,CA,20401.1714152,-0.9832122890505098
Aluminium and aluminium products,CH,664.221654607,-0.03183246768974317
Aluminium and aluminium products,CN,267795.177986,-3.2507375737826902
Aluminium and aluminium products,CY,202.027361746,-8.002102542610282e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.14514313385112246
Aluminium and aluminium products,DE,29109.7538681,-16.597577010792513
Aluminium and aluminium products,DK,1842.84710324,-0.05842700611116702
Aluminium and aluminium products,EE,101.53719116,-0.0010087168655978284
Aluminium and aluminium products,ES,8208.21094615,-0.13387061540845635
Aluminium and aluminium products,FI,752.680853488,-0.013812763121158665
Aluminium and aluminium products,FR,8846.32397853,-0.18843979342706732
Aluminium and aluminium products,GB,13378.5976996,-0.17353967851891566
Aluminium and aluminium products,GR,2553.08976835,-0.029604586328269743
Aluminium and aluminium products,HR,560.379064274,-0.006774422269510651
Aluminium and aluminium products,HU,286.469504551,-0.0015276492055094676
Aluminium and aluminium products,ID,2586.29818798,-0.026886063339425052
Aluminium and aluminium products,IE,879.068440269,-0.0036789397576415016
Aluminium and aluminium products,IN,13943.6830579,-0.13046150438477203
Aluminium and aluminium products,IT,11485.2948435,-0.390881769680476
Aluminium and aluminium products,JP,22875.3451004,-0.08407259981184709
Aluminium and aluminium products,KR,8309.49105106,-0.12752097349025582
Aluminium and aluminium products,LT,6.93599649202,-0.00035050495917802424
Aluminium and aluminium products,LU,74.0640426448,-0.020505696322665724
Aluminium and aluminium products,LV,296.259954279,-0.00040974141677571207
Aluminium and aluminium products,MT,0.00497401513167,-1.058808155551653e-08
Aluminium and aluminium products,MX,5745.06290448,-0.06260272821587312
Aluminium and aluminium products,NL,3870.86435818,-6.585298324302443
Aluminium and aluminium products,NO,4042.99806768,-0.6774395029061782
Aluminium and aluminium products,PL,6503.02267632,-0.21358060187315944
Aluminium and aluminium products,PT,1201.85724097,-0.00452447127668085
Aluminium and aluminium products,RO,1296.42742076,-0.010003087904718846
Aluminium and aluminium products,RU,17915.3872454,-0.02642376412007968
Aluminium and aluminium products,SE,3090.46542881,-2.263462318889501
Aluminium and aluminium products,SI,2312.04475031,-0.02748323539184063
Aluminium and aluminium products,SK,2260.89388142,-0.02429611214357685
Aluminium and aluminium products,TR,9962.96552508,-0.16190575533211932
Aluminium and aluminium products,TW,9319.81261143,-0.004991915733912873
Aluminium and aluminium products,US,110792.994735,-0.8952020764937298
Aluminium and aluminium products,WA,23768.5900005,-0.6232065448625399
Aluminium and aluminium products,WE,4791.31875552,-0.08527234399304907
