Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.040680205765074015
Aluminium and aluminium products,AU,12531.9933192,-0.014443855681388161
Aluminium and aluminium products,BE,3993.548713,-0.039398367912867556
Aluminium and aluminium products,BG,499.437458924,-0.002849807553903378
Aluminium and aluminium products,BR,6454.85163457,-0.005492193540549893
Aluminium and aluminium products,CA,11960.2679472,-0.09416834948693982
Aluminium and aluminium products,CH,643.630526142,-0.0027693270219259283
Aluminium and aluminium products,CN,302689.359677,-3.491001515032677
Aluminium and aluminium products,CY,41.8048397461,-1.2395837064534272e-05
Aluminium and aluminium products,CZ,2954.31147437,-0.013633565860741045
Aluminium and aluminium products,DE,19165.2510876,-0.9134828925133132
Aluminium and aluminium products,DK,1236.94914834,-0.07646189367664008
Aluminium and aluminium products,EE,91.1103938161,-6.865674543895778
Aluminium and aluminium products,ES,7461.13251474,-0.02522672549107529
Aluminium and aluminium products,FI,356.727766315,-0.1276150558074087
Aluminium and aluminium products,FR,5375.02085894,-0.08088377221693187
Aluminium and aluminium products,GB,8010.48600955,-0.2854834755675854
Aluminium and aluminium products,GR,2044.34637917,-0.016372494256687097
Aluminium and aluminium products,HR,505.814973588,-0.0020372373591549266
Aluminium and aluminium products,HU,1306.27668286,-0.026554134040938197
Aluminium and aluminium products,ID,1068.52181168,-0.004045361638955381
Aluminium and aluminium products,IE,2172.43289372,-0.005157944886774536
Aluminium and aluminium products,IN,11978.7770986,-0.04034359244299039
Aluminium and aluminium products,IT,8923.67302338,-0.14393104232063905
Aluminium and aluminium products,JP,17109.5947277,-0.27264545653285804
Aluminium and aluminium products,KR,8673.57009522,-0.043547716475032264
Aluminium and aluminium products,LT,19.3725198714,-0.001477318740485356
Aluminium and aluminium products,LU,409.396696263,-0.008456475068636409
Aluminium and aluminium products,LV,54.691662585,-0.12268967161677126
Aluminium and aluminium products,MT,11.6180007714,-0.00014494662556315972
Aluminium and aluminium products,MX,2504.363198,-0.008204544320037914
Aluminium and aluminium products,NL,2940.82747966,-0.03328505917983527
Aluminium and aluminium products,NO,4583.64797675,-0.3347883617799933
Aluminium and aluminium products,PL,3840.61096127,-0.1382774165079434
Aluminium and aluminium products,PT,543.258501954,-0.002628239157464566
Aluminium and aluminium products,RO,1168.18927683,-0.004084971524820928
Aluminium and aluminium products,RU,18879.1824496,-0.02882182254664504
Aluminium and aluminium products,SE,2135.19162301,-0.25448426473891017
Aluminium and aluminium products,SI,1443.72820135,-0.00934201240817705
Aluminium and aluminium products,SK,1696.23637467,-0.03162311803236444
Aluminium and aluminium products,TR,2580.28860824,-0.16687095424529438
Aluminium and aluminium products,TW,6095.69118313,-0.007075703360110675
Aluminium and aluminium products,US,48679.1996737,-0.3038476369654921
Aluminium and aluminium products,WA,15732.4429953,-0.17194106429550146
Aluminium and aluminium products,WE,3559.27925605,-0.09749742018334519
Aluminium and aluminium products,WF,6427.26361047,-0.015444458411450014
Aluminium and aluminium products,WL,7475.69132895,-0.03553764067254524
Aluminium and aluminium products,WM,11805.3345042,-0.09587008943891562
Aluminium and aluminium products,ZA,797.040743415,-0.0022837499610759595
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.01917865700783525
Aluminium ores and concentrates,BE,2.84444912715,-6.87227842745926e-07
Aluminium ores and concentrates,BG,0.138495096199,-1.2318045282362717e-07
Aluminium ores and concentrates,BR,280.581818121,-0.0012146769928265359
Aluminium ores and concentrates,CA,207.504378799,-6.345745567405537e-05
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-0.03959767030538918
Aluminium ores and concentrates,CY,0.00421751898077,-1.5547899032503402e-11
Aluminium ores and concentrates,CZ,12.1417238024,-1.553264770855794e-05
Aluminium ores and concentrates,DE,1.19660977212,-7.515213889454032e-06
Aluminium ores and concentrates,DK,4.3419884646,-1.0200406702969776e-05
Aluminium ores and concentrates,EE,0.0661687596157,-5.417632937115197e-06
Aluminium ores and concentrates,ES,7.56486150521,-1.548482658994154e-06
Aluminium ores and concentrates,FI,1.96593974192,-5.183127766749665e-06
Aluminium ores and concentrates,FR,34.5354208783,-2.360417826153765e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-0.0005341629809869489
Aluminium ores and concentrates,HR,19.4130743772,-4.839759112177969e-06
Aluminium ores and concentrates,HU,4.80949295081,-2.0370150976138873e-06
Aluminium ores and concentrates,ID,390.485203219,-0.003795738609862159
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,2242.58684091,-0.0002786731088150624
Aluminium ores and concentrates,IT,73.5791874402,-1.9056027588510064e-05
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.620618277566,-1.355448986992662e-06
Aluminium ores and concentrates,MT,0.0265288720645,-1.929253244435732e-10
Aluminium ores and concentrates,MX,0.114142565282,-2.2635345300331425e-07
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.497017636283,-1.9939405187871417e-07
Aluminium ores and concentrates,PL,6.84794213703,-3.169849255429948e-05
Aluminium ores and concentrates,PT,0.00886102172329,-2.110509774186032e-09
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,78.5125085936,-0.00019342547898435218
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,4.95961127103,-3.8964260574013035e-06
Aluminium ores and concentrates,TR,16.7608883352,-0.0005723652861543549
Aluminium ores and concentrates,TW,26.0103873936,-3.582762412826371e-05
Aluminium ores and concentrates,US,184.282016273,-5.457828262655943e-05
Aluminium ores and concentrates,WA,1599.52781152,-0.022670217908113743
Aluminium ores and concentrates,WE,117.07475279,-0.2068254517632602
Aluminium ores and concentrates,WF,986.894287433,-0.02021482896636312
Aluminium ores and concentrates,WL,416.43589486,-0.007189760567535998
Aluminium ores and concentrates,WM,1022.5175986,-0.003226069787467074
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4200.61507379,-0.23624893307858835
Basic iron and steel and of ferro-alloys and first products thereof,AU,13515.7327983,-0.03893883208808289
Basic iron and steel and of ferro-alloys and first products thereof,BE,8548.74860532,-0.19593092603384843
Basic iron and steel and of ferro-alloys and first products thereof,BG,61.3541596005,-0.007494259641810703
Basic iron and steel and of ferro-alloys and first products thereof,BR,44378.3270276,-0.034800434654323587
Basic iron and steel and of ferro-alloys and first products thereof,CA,24113.7611741,-0.2195792910280173
Basic iron and steel and of ferro-alloys and first products thereof,CH,912.41951381,-0.006684272800874897
Basic iron and steel and of ferro-alloys and first products thereof,CN,1483520.9035,-2.945614818101165
Basic iron and steel and of ferro-alloys and first products thereof,CY,42.3680189302,-3.0371521981232334e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,4404.32857606,-0.0865188281389229
Basic iron and steel and of ferro-alloys and first products thereof,DE,66859.9415061,-1.4180662342601305
Basic iron and steel and of ferro-alloys and first products thereof,DK,1733.93462927,-0.06393810401729955
Basic iron and steel and of ferro-alloys and first products thereof,EE,429.773184691,-7.285428863304687
Basic iron and steel and of ferro-alloys and first products thereof,ES,27226.0297078,-0.1229340190522422
Basic iron and steel and of ferro-alloys and first products thereof,FI,6209.46744502,-1.9254779284772217
Basic iron and steel and of ferro-alloys and first products thereof,FR,28044.8026459,-0.1849419742439962
Basic iron and steel and of ferro-alloys and first products thereof,GB,10459.9634056,-0.18584253241215265
Basic iron and steel and of ferro-alloys and first products thereof,GR,2903.38451829,-0.09857039790709628
Basic iron and steel and of ferro-alloys and first products thereof,HR,518.197009254,-0.0029729564244150857
Basic iron and steel and of ferro-alloys and first products thereof,HU,2588.01504897,-0.05491855488937262
Basic iron and steel and of ferro-alloys and first products thereof,ID,10010.8315714,-0.1274777607896201
Basic iron and steel and of ferro-alloys and first products thereof,IE,409.319220675,-0.001739419455962183
Basic iron and steel and of ferro-alloys and first products thereof,IN,109916.482339,-0.6675089660753639
Basic iron and steel and of ferro-alloys and first products thereof,IT,38630.0756138,-0.34937972501316916
Basic iron and steel and of ferro-alloys and first products thereof,JP,212405.12581,-0.28982824516661787
Basic iron and steel and of ferro-alloys and first products thereof,KR,179575.348985,-0.12848071757407362
Basic iron and steel and of ferro-alloys and first products thereof,LT,45.0551342084,-0.006338011827751669
Basic iron and steel and of ferro-alloys and first products thereof,LU,3302.87462406,-0.1620568212225208
Basic iron and steel and of ferro-alloys and first products thereof,LV,579.078911833,-0.12568341430952124
Basic iron and steel and of ferro-alloys and first products thereof,MT,2.73494946959,-0.00010015673926632426
Basic iron and steel and of ferro-alloys and first products thereof,MX,20667.9002643,-0.09356864288810748
Basic iron and steel and of ferro-alloys and first products thereof,NL,1078.67048169,-0.04161210038318841
Basic iron and steel and of ferro-alloys and first products thereof,NO,2058.7192817,-0.18327409600153877
Basic iron and steel and of ferro-alloys and first products thereof,PL,16473.2654391,-0.19882108208538574
Basic iron and steel and of ferro-alloys and first products thereof,PT,1666.83061757,-0.021870073725700524
Basic iron and steel and of ferro-alloys and first products thereof,RO,4346.21160071,-0.038392273484558086
Basic iron and steel and of ferro-alloys and first products thereof,RU,81804.9236408,-0.4376617968596975
Basic iron and steel and of ferro-alloys and first products thereof,SE,7130.11372836,-1.1508942155078283
Basic iron and steel and of ferro-alloys and first products thereof,SI,1120.21290342,-0.01675894722995501
Basic iron and steel and of ferro-alloys and first products thereof,SK,1139.56763628,-0.015692357684160833
Basic iron and steel and of ferro-alloys and first products thereof,TR,20999.2646868,-4.409387517904367
Basic iron and steel and of ferro-alloys and first products thereof,TW,71744.7571404,-0.010967672877609821
Basic iron and steel and of ferro-alloys and first products thereof,US,130138.432411,-0.7482533731605798
Basic iron and steel and of ferro-alloys and first products thereof,WA,94034.7640963,-0.812846249430279
Basic iron and steel and of ferro-alloys and first products thereof,WE,11113.7732743,-0.3256534112187034
Basic iron and steel and of ferro-alloys and first products thereof,WF,20416.4956618,-0.1585198912921732
Basic iron and steel and of ferro-alloys and first products thereof,WL,21000.6177451,-0.13734053286579587
Basic iron and steel and of ferro-alloys and first products thereof,WM,46754.4837228,-0.8272796365969696
Basic iron and steel and of ferro-alloys and first products thereof,ZA,11191.4456125,-0.008268432004239738
Copper ores and concentrates,AT,0.908417974756,-7.550585550064443e-08
Copper ores and concentrates,AU,14433.4037025,-0.003536752694698907
Copper ores and concentrates,BE,12.2515032394,-2.636539902015695e-05
Copper ores and concentrates,BG,837.6323159,-0.00046260892933776065
Copper ores and concentrates,BR,1742.77781138,-0.0024278552058959275
Copper ores and concentrates,CA,7257.07261786,-0.0014351362158864075
Copper ores and concentrates,CH,0.0,0.0
Copper ores and concentrates,CN,43919.9627638,-0.06393092756462693
Copper ores and concentrates,CY,0.734090307949,-2.3540366882414035e-08
Copper ores and concentrates,CZ,2.39175106534,-9.781950693278916e-07
Copper ores and concentrates,DE,1.10565168318,-5.473266727360022e-06
Copper ores and concentrates,DK,1.35293597845,-9.600831974066053e-07
Copper ores and concentrates,EE,0.0320509432062,-2.3230071694587743e-06
Copper ores and concentrates,ES,496.353395253,-0.003331718314678686
Copper ores and concentrates,FI,538.94670155,-0.004048717043974781
Copper ores and concentrates,FR,0.0,0.0
Copper ores and concentrates,GB,2.32508699842,-1.2763673558397517e-06
Copper ores and concentrates,GR,0.0,0.0
Copper ores and concentrates,HR,6.10922507767,-4.662775622908957e-06
Copper ores and concentrates,HU,0.0924900980802,-8.136329888579746e-11
Copper ores and concentrates,ID,3606.95862624,-0.0010405956490276897
Copper ores and concentrates,IE,0.0,0.0
Copper ores and concentrates,IN,424.233300452,-0.0007112002028642783
Copper ores and concentrates,IT,0.193304022222,-5.1058473513218e-10
Copper ores and concentrates,JP,0.0,0.0
Copper ores and concentrates,KR,0.155091561763,-7.523854606293653e-06
Copper ores and concentrates,LT,0.00887414507619,-1.6132994915914528e-08
Copper ores and concentrates,LU,0.0,0.0
Copper ores and concentrates,LV,0.78241641194,-1.678842211897681e-06
Copper ores and concentrates,MT,0.00165359784224,-1.2025635222526555e-11
Copper ores and concentrates,MX,6855.74572401,-0.004161856345611465
Copper ores and concentrates,NL,0.0,0.0
Copper ores and concentrates,NO,1.87139876818,-9.666491139686282e-06
Copper ores and concentrates,PL,3651.30003326,-0.0029285239247060025
Copper ores and concentrates,PT,50.9235379938,-5.600058017094954e-06
Copper ores and concentrates,RO,761.432452709,-0.003989727666384374
Copper ores and concentrates,RU,2531.72288086,-0.002246528781098697
Copper ores and concentrates,SE,1916.75123864,-0.0014743583702525852
Copper ores and concentrates,SI,1.9321340763,-3.1409209836998115e-07
Copper ores and concentrates,SK,1.96989014451,-8.483175387374563e-08
Copper ores and concentrates,TR,364.210643924,-0.0013494260404632204
Copper ores and concentrates,TW,323.219203569,-3.977717794004612e-05
Copper ores and concentrates,US,5658.31967461,-0.009726842289933108
Copper ores and concentrates,WA,10611.4575763,-0.021373437117466983
Copper ores and concentrates,WE,1190.02995336,-0.0010671284159370687
Copper ores and concentrates,WF,5535.67577041,-0.006709075734627476
Copper ores and concentrates,WL,14977.7942053,-0.0282448146117782
Copper ores and concentrates,WM,11098.0766539,-0.03845392786079471
Copper ores and concentrates,ZA,652.485136932,-0.0001957261562685598
Copper products,AT,3228.43145195,-0.018317225896099437
Copper products,AU,4855.65557667,-0.008571055024960656
Copper products,BE,11391.2724989,-0.07602414528289488
Copper products,BG,4727.07895745,-0.10904831369342523
Copper products,BR,2276.50298167,-0.01022880995419759
Copper products,CA,4530.97171535,-0.01885877608991631
Copper products,CH,247.834695364,-0.001433252061555673
Copper products,CN,185942.772847,-11.562227711967221
Copper products,CY,38.8073115811,-6.497495341558619e-05
Copper products,CZ,767.688428168,-0.03142184698049022
Copper products,DE,15626.8650221,-0.4599165832637072
Copper products,DK,223.17828621,-0.005564782658853614
Copper products,EE,48.3941146963,-3.366033731696861
Copper products,ES,4045.71450775,-0.032714004366182554
Copper products,FI,1773.98133895,-0.1523260641633349
Copper products,FR,6717.29554397,-0.05051145306648935
Copper products,GB,3265.40889665,-0.12126006569556289
Copper products,GR,918.000798443,-0.011564122381588104
Copper products,HR,121.863831017,-0.0006162912539196384
Copper products,HU,31.9374256487,-0.00028537679236611787
Copper products,ID,4720.20625618,-0.033859090386496926
Copper products,IE,44.2601179075,-0.0003390053527103919
Copper products,IN,14297.811393,-0.05917562204701318
Copper products,IT,7000.74813796,-0.09158931199557974
Copper products,JP,13472.2633897,-0.13482581104453015
Copper products,KR,20640.3301708,-0.09488750096847043
Copper products,LT,41.0363580061,-0.09037004190425207
Copper products,LU,574.461665269,-0.022642626053124434
Copper products,LV,111.148011083,-0.05813038180497514
Copper products,MT,8.38478951161,-9.685540990223721e-05
Copper products,MX,7762.6162524,-0.03513298384246717
Copper products,NL,2370.96676435,-0.04588326670907055
Copper products,NO,640.271879395,-0.025165948003377955
Copper products,PL,1606.47273409,-0.29778389948317247
Copper products,PT,314.62833477,-0.003031610049785441
Copper products,RO,1890.2920371,-0.009726792601547797
Copper products,RU,10959.7511128,-0.08259155314438035
Copper products,SE,6033.99082444,-0.10834712052661385
Copper products,SI,233.173091421,-0.0012144303510915728
Copper products,SK,2016.62965054,-0.008941939889939158
Copper products,TR,1627.89721251,-0.029229799594710837
Copper products,TW,2524.44384113,-0.01848324365687528
Copper products,US,23498.401874,-0.1647088313797019
Copper products,WA,11254.8538271,-0.13710304846079804
Copper products,WE,2512.71822062,-0.09506952570509551
Copper products,WF,4649.49551747,-0.037340207772879955
Copper products,WL,26594.6169905,-0.5706715331690821
Copper products,WM,8058.25087619,-0.046185601097192795
Copper products,ZA,439.640794742,-0.004048091645600157
Electrical machinery and apparatus n.e.c. (31),AT,16604.4848932,-0.1380430679419536
Electrical machinery and apparatus n.e.c. (31),AU,21762.3315085,-0.025851383190818544
Electrical machinery and apparatus n.e.c. (31),BE,13260.8882506,-0.15567275182806087
Electrical machinery and apparatus n.e.c. (31),BG,1897.52514164,-0.026683406023261604
Electrical machinery and apparatus n.e.c. (31),BR,21208.6842128,-0.0285535788864193
Electrical machinery and apparatus n.e.c. (31),CA,10605.1873445,-0.18980322122676246
Electrical machinery and apparatus n.e.c. (31),CH,21506.2408562,-0.17604533099735578
Electrical machinery and apparatus n.e.c. (31),CN,1208524.15293,-26.32170399628216
Electrical machinery and apparatus n.e.c. (31),CY,108.649210597,-3.7373073994644345e-05
Electrical machinery and apparatus n.e.c. (31),CZ,18028.7322397,-0.45622006987051833
Electrical machinery and apparatus n.e.c. (31),DE,157062.589973,-1.3589302667548446
Electrical machinery and apparatus n.e.c. (31),DK,17320.6951189,-0.6137896012491904
Electrical machinery and apparatus n.e.c. (31),EE,1212.88070851,-27.777579573999297
Electrical machinery and apparatus n.e.c. (31),ES,36051.2279715,-0.13564307530734251
Electrical machinery and apparatus n.e.c. (31),FI,8609.9224519,-3.1454712415424053
Electrical machinery and apparatus n.e.c. (31),FR,44286.6894916,-0.3438679461429705
Electrical machinery and apparatus n.e.c. (31),GB,34291.2255271,-0.5723368612898092
Electrical machinery and apparatus n.e.c. (31),GR,1806.26665672,-0.019428155817922364
Electrical machinery and apparatus n.e.c. (31),HR,1140.49693523,-0.005214382894943899
Electrical machinery and apparatus n.e.c. (31),HU,8889.55255117,-0.2748870547021017
Electrical machinery and apparatus n.e.c. (31),ID,19725.1955108,-0.043487547583614686
Electrical machinery and apparatus n.e.c. (31),IE,12530.4415943,-0.08719956386980607
Electrical machinery and apparatus n.e.c. (31),IN,137719.752987,-0.16946695940527756
Electrical machinery and apparatus n.e.c. (31),IT,60295.5608205,-0.15405553171392927
Electrical machinery and apparatus n.e.c. (31),JP,182703.899794,-0.25063303443378265
Electrical machinery and apparatus n.e.c. (31),KR,94444.1062361,-0.4662431823197483
Electrical machinery and apparatus n.e.c. (31),LT,1109.29611189,-0.1623117932983478
Electrical machinery and apparatus n.e.c. (31),LU,227.60417198,-0.02172316390255291
Electrical machinery and apparatus n.e.c. (31),LV,205.179345063,-0.17324248103506187
Electrical machinery and apparatus n.e.c. (31),MT,204.249299965,-0.011701378967825027
Electrical machinery and apparatus n.e.c. (31),MX,38345.4098837,-1.3842014988542415
Electrical machinery and apparatus n.e.c. (31),NL,9619.91810176,-0.10737544429387273
Electrical machinery and apparatus n.e.c. (31),NO,10279.3034919,-0.285658412383327
Electrical machinery and apparatus n.e.c. (31),PL,21950.1641463,-0.7427062362375599
Electrical machinery and apparatus n.e.c. (31),PT,4047.25472366,-0.04497777534821427
Electrical machinery and apparatus n.e.c. (31),RO,5538.58425044,-0.09219461296007327
Electrical machinery and apparatus n.e.c. (31),RU,5373.66321974,-0.055018083175054
Electrical machinery and apparatus n.e.c. (31),SE,12423.7495166,-1.221979016864195
Electrical machinery and apparatus n.e.c. (31),SI,2640.56951237,-0.03814365203715867
Electrical machinery and apparatus n.e.c. (31),SK,6055.13547839,-0.09584834254744058
Electrical machinery and apparatus n.e.c. (31),TR,16698.7203835,-0.1262293869725119
Electrical machinery and apparatus n.e.c. (31),TW,35577.5782904,-0.4028737746892482
Electrical machinery and apparatus n.e.c. (31),US,162341.435816,-1.1356998229522892
Electrical machinery and apparatus n.e.c. (31),WA,88661.0989477,-1.0653963902183061
Electrical machinery and apparatus n.e.c. (31),WE,11888.8210321,-0.2266452602518345
Electrical machinery and apparatus n.e.c. (31),WF,30083.3312836,-0.08586843177542235
Electrical machinery and apparatus n.e.c. (31),WL,29976.2920814,-0.19457453557972335
Electrical machinery and apparatus n.e.c. (31),WM,44172.9264263,-0.5676722199327919
Electrical machinery and apparatus n.e.c. (31),ZA,4953.06761696,-0.00722595665961041
"Fabricated metal products, except machinery and equipment (28)",AT,18106.4097965,-0.1792590526641446
"Fabricated metal products, except machinery and equipment (28)",AU,15098.3675385,-0.02972689949130908
"Fabricated metal products, except machinery and equipment (28)",BE,17022.3064695,-0.22844611108631674
"Fabricated metal products, except machinery and equipment (28)",BG,2055.51998938,-0.026349355966250872
"Fabricated metal products, except machinery and equipment (28)",BR,34896.2764404,-0.010405404002447521
"Fabricated metal products, except machinery and equipment (28)",CA,22383.6999166,-0.37145798794084967
"Fabricated metal products, except machinery and equipment (28)",CH,24192.0835177,-0.21828098737173704
"Fabricated metal products, except machinery and equipment (28)",CN,772204.23135,-5.3821097920560295
"Fabricated metal products, except machinery and equipment (28)",CY,250.861524777,-9.940483991075604e-06
"Fabricated metal products, except machinery and equipment (28)",CZ,20258.2518568,-0.21730580206476058
"Fabricated metal products, except machinery and equipment (28)",DE,176534.312299,-1.2542726771692831
"Fabricated metal products, except machinery and equipment (28)",DK,12575.9435414,-0.42402420861990686
"Fabricated metal products, except machinery and equipment (28)",EE,1828.25961554,-27.129022501747247
"Fabricated metal products, except machinery and equipment (28)",ES,52527.5689253,-0.016149587380905123
"Fabricated metal products, except machinery and equipment (28)",FI,9207.86608979,-0.9371422390839198
"Fabricated metal products, except machinery and equipment (28)",FR,70771.8676571,-0.16558836886480108
"Fabricated metal products, except machinery and equipment (28)",GB,49938.0981286,-0.5412887056209967
"Fabricated metal products, except machinery and equipment (28)",GR,4050.98073342,-0.0919774807984184
"Fabricated metal products, except machinery and equipment (28)",HR,1701.8973438,-0.009154994034784775
"Fabricated metal products, except machinery and equipment (28)",HU,7234.88142188,-0.17315179847227236
"Fabricated metal products, except machinery and equipment (28)",ID,29376.28334,-0.04869252134301016
"Fabricated metal products, except machinery and equipment (28)",IE,9727.54690852,-0.0737452007293781
"Fabricated metal products, except machinery and equipment (28)",IN,113809.997446,-0.45914454852922476
"Fabricated metal products, except machinery and equipment (28)",IT,111043.887423,-0.06116883985119898
"Fabricated metal products, except machinery and equipment (28)",JP,130401.892516,-0.6984150293634168
"Fabricated metal products, except machinery and equipment (28)",KR,90942.1276905,-0.24449111291596332
"Fabricated metal products, except machinery and equipment (28)",LT,1204.92107566,-0.2970976414280742
"Fabricated metal products, except machinery and equipment (28)",LU,3464.31482302,-0.10873661265972588
"Fabricated metal products, except machinery and equipment (28)",LV,753.734232706,-0.08677822660708584
"Fabricated metal products, except machinery and equipment (28)",MT,134.007802436,-0.009976390907846567
"Fabricated metal products, except machinery and equipment (28)",MX,25116.9436887,-0.3095266009090839
"Fabricated metal products, except machinery and equipment (28)",NL,33678.4828617,-0.6749422741804323
"Fabricated metal products, except machinery and equipment (28)",NO,4657.78829546,-0.41461655627397254
"Fabricated metal products, except machinery and equipment (28)",PL,35039.4764258,-0.8340126364788882
"Fabricated metal products, except machinery and equipment (28)",PT,7196.95289731,-0.042744434579537645
"Fabricated metal products, except machinery and equipment (28)",RO,6018.24631061,-0.12611782472514732
"Fabricated metal products, except machinery and equipment (28)",RU,83721.5455433,-0.11947724727531248
"Fabricated metal products, except machinery and equipment (28)",SE,16074.2136426,-1.0899128338022548
"Fabricated metal products, except machinery and equipment (28)",SI,4151.06835877,-0.04473602378927561
"Fabricated metal products, except machinery and equipment (28)",SK,8811.52322624,-0.09586260826692126
"Fabricated metal products, except machinery and equipment (28)",TR,19958.4358763,-2.254639313142387
"Fabricated metal products, except machinery and equipment (28)",TW,38481.4115169,-0.11840730670182514
"Fabricated metal products, except machinery and equipment (28)",US,399236.949469,-4.141415203346683
"Fabricated metal products, except machinery and equipment (28)",WA,92032.094942,-1.112547799333348
"Fabricated metal products, except machinery and equipment (28)",WE,15967.1851366,-0.09254680219173755
"Fabricated metal products, except machinery and equipment (28)",WF,34741.3844016,-0.1634957350972792
"Fabricated metal products, except machinery and equipment (28)",WL,57014.8434905,-0.17640103661736045
"Fabricated metal products, except machinery and equipment (28)",WM,71510.9070141,-0.8559531475762019
"Fabricated metal products, except machinery and equipment (28)",ZA,7173.97189833,-0.008834280596582623
"Lead, zinc and tin and products thereof",AT,298.53627489,-0.006821094630400566
"Lead, zinc and tin and products thereof",AU,2372.50872795,-0.01576089870645429
"Lead, zinc and tin and products thereof",BE,518.870879812,-0.04778387751937716
"Lead, zinc and tin and products thereof",BG,714.443435685,-0.02600995472956207
"Lead, zinc and tin and products thereof",BR,341.316494869,-0.0024008174779421815
"Lead, zinc and tin and products thereof",CA,2258.20761654,-0.013652464115288882
"Lead, zinc and tin and products thereof",CH,49.9026556483,-0.0008838234357676425
"Lead, zinc and tin and products thereof",CN,76660.1064363,-1.5230982936498465
"Lead, zinc and tin and products thereof",CY,7.40506255013,-5.975780342423142e-06
"Lead, zinc and tin and products thereof",CZ,590.943378069,-0.11023946812415784
"Lead, zinc and tin and products thereof",DE,2383.06556946,-0.6469588664737125
"Lead, zinc and tin and products thereof",DK,119.251212516,-0.001113386625306932
"Lead, zinc and tin and products thereof",EE,42.6419683722,-1.1127087993315294
"Lead, zinc and tin and products thereof",ES,674.147197201,-0.3092137349224319
"Lead, zinc and tin and products thereof",FI,705.559429349,-0.03841287585476704
"Lead, zinc and tin and products thereof",FR,248.78965842,-0.012962872518134504
"Lead, zinc and tin and products thereof",GB,1809.01053253,-0.08792115677869222
"Lead, zinc and tin and products thereof",GR,13.010476938,-0.0003163832092621072
"Lead, zinc and tin and products thereof",HR,5.01809820923,-0.00012309416699704295
"Lead, zinc and tin and products thereof",HU,12.1842891574,-0.0015727347460754656
"Lead, zinc and tin and products thereof",ID,1584.89485281,-0.003045460827484877
"Lead, zinc and tin and products thereof",IE,195.394952695,-0.00036633606648257545
"Lead, zinc and tin and products thereof",IN,2876.36183251,-0.03631421939934953
"Lead, zinc and tin and products thereof",IT,1449.73772137,-0.05898710696666814
"Lead, zinc and tin and products thereof",JP,2359.9885465,-0.04271254023123709
"Lead, zinc and tin and products thereof",KR,5016.36379003,-0.24624641106046202
"Lead, zinc and tin and products thereof",LT,6.8063833231,-0.000347690108597699
"Lead, zinc and tin and products thereof",LU,292.362976777,-0.040308374446598905
"Lead, zinc and tin and products thereof",LV,10.1007186767,-0.003073789975950779
"Lead, zinc and tin and products thereof",MT,0.728546190056,-2.322801852794583e-06
"Lead, zinc and tin and products thereof",MX,2966.67507146,-0.017183124002639407
"Lead, zinc and tin and products thereof",NL,642.402118982,-0.023854390838808043
