Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.07993497799964541
Aluminium and aluminium products,AU,10788.8621591,-0.022397121501867883
Aluminium and aluminium products,BE,5247.38034134,-0.2504267128116971
Aluminium and aluminium products,BG,1519.97837587,-0.009239878317913838
Aluminium and aluminium products,BR,9914.80918982,-0.026267756146589483
Aluminium and aluminium products,CA,20401.1714152,-1.7070195599433826
Aluminium and aluminium products,CH,664.221654607,-0.009590260251223089
Aluminium and aluminium products,CN,267795.177986,-9.530188384826417
Aluminium and aluminium products,CY,202.027361746,-3.0243640184385573e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.04377109286389422
Aluminium and aluminium products,DE,29109.7538681,-0.44431271641355913
Aluminium and aluminium products,DK,1842.84710324,-0.07174368926699023
Aluminium and aluminium products,EE,101.53719116,-0.16285403090134715
Aluminium and aluminium products,ES,8208.21094615,-0.11300796052222764
Aluminium and aluminium products,FI,752.680853488,-9.326564850609385
Aluminium and aluminium products,FR,8846.32397853,-0.33047784298953015
Aluminium and aluminium products,GB,13378.5976996,-0.3025710344108996
Aluminium and aluminium products,GR,2553.08976835,-0.03291079826792262
Aluminium and aluminium products,HR,560.379064274,-0.0044568843596393
Aluminium and aluminium products,HU,286.469504551,-0.0006065240722533654
Aluminium and aluminium products,ID,2586.29818798,-0.014832388416450246
Aluminium and aluminium products,IE,879.068440269,-0.0025467360492866767
Aluminium and aluminium products,IN,13943.6830579,-0.18167488990617373
Aluminium and aluminium products,IT,11485.2948435,-0.19757912991812773
Aluminium and aluminium products,JP,22875.3451004,-0.5047660818250815
Aluminium and aluminium products,KR,8309.49105106,-0.17598733525383883
Aluminium and aluminium products,LT,6.93599649202,-0.0007998342877399803
Aluminium and aluminium products,LU,74.0640426448,-0.010701531745226468
Aluminium and aluminium products,LV,296.259954279,-0.001028775515303868
Aluminium and aluminium products,MT,0.00497401513167,-7.362301457847326e-09
Aluminium and aluminium products,MX,5745.06290448,-0.04983127827958966
Aluminium and aluminium products,NL,3870.86435818,-0.2538590454288671
Aluminium and aluminium products,NO,4042.99806768,-0.1714290814958347
Aluminium and aluminium products,PL,6503.02267632,-0.11141047094954325
Aluminium and aluminium products,PT,1201.85724097,-0.0038433047149243494
Aluminium and aluminium products,RO,1296.42742076,-0.005366230622375924
Aluminium and aluminium products,RU,17915.3872454,-0.0815541782965188
Aluminium and aluminium products,SE,3090.46542881,-0.42881883236965984
Aluminium and aluminium products,SI,2312.04475031,-0.01645084509864775
Aluminium and aluminium products,SK,2260.89388142,-0.00618281842516419
Aluminium and aluminium products,TR,9962.96552508,-0.07129988067364831
Aluminium and aluminium products,TW,9319.81261143,-0.009269857045317199
Aluminium and aluminium products,US,110792.994735,-0.7634770653456547
Aluminium and aluminium products,WA,23768.5900005,-1.0524249007457493
Aluminium and aluminium products,WE,4791.31875552,-0.032393312948258604
Aluminium and aluminium products,WF,8032.46962605,-0.02674531559603633
Aluminium and aluminium products,WL,9275.39526692,-0.1644918983055618
Aluminium and aluminium products,WM,19937.1975904,-0.21078825974276075
Aluminium and aluminium products,ZA,1122.58615792,-0.02240360614383277
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0018349788117338157
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-2.7622314615363632e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.00039416742260117216
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-3.4727398611118656e-05
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.00010575089905426683
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-3.2837074482455886e-05
Aluminium ores and concentrates,HR,2.40123949261,-3.187424786439531e-07
Aluminium ores and concentrates,HU,25.9433227911,-8.107886515512789e-06
Aluminium ores and concentrates,ID,0.897727817423,-5.364395394003788e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-4.048481921319727e-05
Aluminium ores and concentrates,IT,345.382371744,-0.0020288761964314924
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-2.8884903037007903e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.001866616285689374
Aluminium ores and concentrates,TW,240.735987175,-0.0008744298084381153
Aluminium ores and concentrates,US,61.6295336059,-0.00018423317102024352
Aluminium ores and concentrates,WA,445.836642213,-0.0025038254289737358
Aluminium ores and concentrates,WE,144.010694731,-0.00014974475749828008
Aluminium ores and concentrates,WF,353.253815291,-0.0005502481641917243
Aluminium ores and concentrates,WL,421.783559222,-0.0004838069100691976
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.2394605711885937
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.10199727712536868
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-0.4989923001918166
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.002975265534927253
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.5636857288188631
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-1.8102986218481958
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.02838752883309681
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-18.000353700846137
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-6.204854488582048e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.26142959480210437
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-6.101333720262377
Basic iron and steel and of ferro-alloys and first products thereof,DK,2254.42555552,-0.19314219324744566
Basic iron and steel and of ferro-alloys and first products thereof,EE,554.86917086,-0.1422577400604448
Basic iron and steel and of ferro-alloys and first products thereof,ES,32815.4783877,-0.7053251675527518
Basic iron and steel and of ferro-alloys and first products thereof,FI,9327.9240438,-118.09168065852155
Basic iron and steel and of ferro-alloys and first products thereof,FR,36902.145357,-0.8951970105914665
Basic iron and steel and of ferro-alloys and first products thereof,GB,23626.7865492,-1.5793396418439078
Basic iron and steel and of ferro-alloys and first products thereof,GR,4002.74669845,-0.07895531950105206
Basic iron and steel and of ferro-alloys and first products thereof,HR,779.62247634,-0.004017866324766372
Basic iron and steel and of ferro-alloys and first products thereof,HU,573.651510555,-0.006357158382495446
Basic iron and steel and of ferro-alloys and first products thereof,ID,28063.8922122,-0.3208524982671086
Basic iron and steel and of ferro-alloys and first products thereof,IE,304.716491426,-0.003780907186595756
Basic iron and steel and of ferro-alloys and first products thereof,IN,168511.250647,-2.3266369857369176
Basic iron and steel and of ferro-alloys and first products thereof,IT,54736.4503124,-2.5921729148395
Basic iron and steel and of ferro-alloys and first products thereof,JP,205709.449824,-1.045620403929955
Basic iron and steel and of ferro-alloys and first products thereof,KR,164202.162798,-1.3397324533341026
Basic iron and steel and of ferro-alloys and first products thereof,LT,10.5462183967,-9.017439360179957e-05
Basic iron and steel and of ferro-alloys and first products thereof,LU,608.192509525,-0.013813763039979499
Basic iron and steel and of ferro-alloys and first products thereof,LV,1876.6383336,-0.005052694616892912
Basic iron and steel and of ferro-alloys and first products thereof,MT,0.0552715504823,-6.610330860563815e-07
Basic iron and steel and of ferro-alloys and first products thereof,MX,35841.4611981,-0.33354912704869893
Basic iron and steel and of ferro-alloys and first products thereof,NL,1512.33123068,-2.905798093756125
Basic iron and steel and of ferro-alloys and first products thereof,NO,1853.1917373,-0.07476773843277598
Basic iron and steel and of ferro-alloys and first products thereof,PL,27952.3792189,-0.8973369952450421
Basic iron and steel and of ferro-alloys and first products thereof,PT,4069.19439044,-0.23757502759134735
