Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.21494261396002037
Aluminium and aluminium products,AU,10788.8621591,-0.010907697750313868
Aluminium and aluminium products,BE,5247.38034134,-0.6374603462507745
Aluminium and aluminium products,BG,1519.97837587,-0.005402222480987795
Aluminium and aluminium products,BR,9914.80918982,-0.018302235038047072
Aluminium and aluminium products,CA,20401.1714152,-0.6794779005533393
Aluminium and aluminium products,CH,664.221654607,-0.45427651506905425
Aluminium and aluminium products,CN,267795.177986,-2.8867865778467903
Aluminium and aluminium products,CY,202.027361746,-1.480467701582432e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.08223466721779842
Aluminium and aluminium products,DE,29109.7538681,-1.8291884351750949
Aluminium and aluminium products,DK,1842.84710324,-0.0176157189288311
Aluminium and aluminium products,EE,101.53719116,-0.0002363608454244693
Aluminium and aluminium products,ES,8208.21094615,-1.0864849530334495
Aluminium and aluminium products,FI,752.680853488,-0.004328139362015086
Aluminium and aluminium products,FR,8846.32397853,-24.50128436706194
Aluminium and aluminium products,GB,13378.5976996,-1.7399643468567338
Aluminium and aluminium products,GR,2553.08976835,-0.03216966214537937
Aluminium and aluminium products,HR,560.379064274,-0.005824080783179968
Aluminium and aluminium products,HU,286.469504551,-0.0007233055706168035
Aluminium and aluminium products,ID,2586.29818798,-0.025543869341563268
Aluminium and aluminium products,IE,879.068440269,-0.005320435155275183
Aluminium and aluminium products,IN,13943.6830579,-0.11715325968355739
Aluminium and aluminium products,IT,11485.2948435,-0.903615248951005
Aluminium and aluminium products,JP,22875.3451004,-0.11689513134768788
Aluminium and aluminium products,KR,8309.49105106,-0.14021752432473136
Aluminium and aluminium products,LT,6.93599649202,-0.00015076633172782892
Aluminium and aluminium products,LU,74.0640426448,-0.026232046340109727
Aluminium and aluminium products,LV,296.259954279,-0.0002544953665147755
Aluminium and aluminium products,MT,0.00497401513167,-1.3766039720991928e-08
Aluminium and aluminium products,MX,5745.06290448,-0.040432699345059796
Aluminium and aluminium products,NL,3870.86435818,-0.16911090858667588
Aluminium and aluminium products,NO,4042.99806768,-0.006618371434722779
Aluminium and aluminium products,PL,6503.02267632,-0.09506159506070111
Aluminium and aluminium products,PT,1201.85724097,-0.009210811089250044
Aluminium and aluminium products,RO,1296.42742076,-0.008715726481916873
Aluminium and aluminium products,RU,17915.3872454,-0.01380570472698476
