Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.043462185278390374
Aluminium and aluminium products,AU,12531.9933192,-0.05990997688776585
Aluminium and aluminium products,BE,3993.548713,-0.049389595854821
Aluminium and aluminium products,BG,499.437458924,-0.0012728303471540128
Aluminium and aluminium products,BR,6454.85163457,-0.011255694565297295
Aluminium and aluminium products,CA,11960.2679472,-0.4823627586332993
Aluminium and aluminium products,CH,643.630526142,-0.0037678440480228303
Aluminium and aluminium products,CN,302689.359677,-5.457746283353927
Aluminium and aluminium products,CY,41.8048397461,-4.719573568892491e-05
Aluminium and aluminium products,CZ,2954.31147437,-0.008128598175720925
Aluminium and aluminium products,DE,19165.2510876,-0.8691579101328402
Aluminium and aluminium products,DK,1236.94914834,-0.010518392774515304
Aluminium and aluminium products,EE,91.1103938161,-6.110917208559567e-05
Aluminium and aluminium products,ES,7461.13251474,-0.06656795830779519
Aluminium and aluminium products,FI,356.727766315,-0.002394850549924667
Aluminium and aluminium products,FR,5375.02085894,-0.19475290700901074
Aluminium and aluminium products,GB,8010.48600955,-3.846790505903612
Aluminium and aluminium products,GR,2044.34637917,-0.016860092786348663
Aluminium and aluminium products,HR,505.814973588,-0.0012089471145910037
Aluminium and aluminium products,HU,1306.27668286,-0.004733855507485885
Aluminium and aluminium products,ID,1068.52181168,-0.0031287294700932107
Aluminium and aluminium products,IE,2172.43289372,-0.20536926449384457
Aluminium and aluminium products,IN,11978.7770986,-0.038877998252251335
Aluminium and aluminium products,IT,8923.67302338,-0.11419167007028773
Aluminium and aluminium products,JP,17109.5947277,-0.19257919601179244
Aluminium and aluminium products,KR,8673.57009522,-0.11078122143313547
Aluminium and aluminium products,LT,19.3725198714,-6.13180950574321e-05
Aluminium and aluminium products,LU,409.396696263,-0.01773366469058791
Aluminium and aluminium products,LV,54.691662585,-0.0005241499466566624
Aluminium and aluminium products,MT,11.6180007714,-2.5243902409869234e-05
Aluminium and aluminium products,MX,2504.363198,-0.014382989856459314
Aluminium and aluminium products,NL,2940.82747966,-0.035476303383677237
Aluminium and aluminium products,NO,4583.64797675,-0.031437561857737654
Aluminium and aluminium products,PL,3840.61096127,-0.01661475445601022
Aluminium and aluminium products,PT,543.258501954,-0.0029359487583137545
Aluminium and aluminium products,RO,1168.18927683,-0.002121663268879049
Aluminium and aluminium products,RU,18879.1824496,-0.0033876406658950205
Aluminium and aluminium products,SE,2135.19162301,-0.08808869296395443
Aluminium and aluminium products,SI,1443.72820135,-0.006615897925433784
Aluminium and aluminium products,SK,1696.23637467,-0.0044445256295853035
Aluminium and aluminium products,TR,2580.28860824,-0.01645644966734152
Aluminium and aluminium products,TW,6095.69118313,-0.011168672071209957
Aluminium and aluminium products,US,48679.1996737,-0.49317129501369156
Aluminium and aluminium products,WA,15732.4429953,-0.155545591099085
Aluminium and aluminium products,WE,3559.27925605,-0.010960598289078185
Aluminium and aluminium products,WF,6427.26361047,-0.014010188456965944
Aluminium and aluminium products,WL,7475.69132895,-0.017221127478933538
Aluminium and aluminium products,WM,11805.3345042,-0.10265956272899432
Aluminium and aluminium products,ZA,797.040743415,-0.003058961996311524
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.027026739486866812
Aluminium ores and concentrates,BE,2.84444912715,-8.687319615514663e-07
Aluminium ores and concentrates,BG,0.138495096199,-1.781250910009008e-08
Aluminium ores and concentrates,BR,280.581818121,-0.0016556854114772065
Aluminium ores and concentrates,CA,207.504378799,-0.00034181307266285094
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-0.06852451629857208
Aluminium ores and concentrates,CY,0.00421751898077,-4.454782044292775e-11
Aluminium ores and concentrates,CZ,12.1417238024,-7.759345663311957e-06
Aluminium ores and concentrates,DE,1.19660977212,-6.552525664540584e-06
Aluminium ores and concentrates,DK,4.3419884646,-3.0679309275570025e-06
Aluminium ores and concentrates,EE,0.0661687596157,-6.456719017574723e-10
Aluminium ores and concentrates,ES,7.56486150521,-2.5577590901777375e-06
Aluminium ores and concentrates,FI,1.96593974192,-2.4576302525573763e-07
Aluminium ores and concentrates,FR,34.5354208783,-6.122508415251315e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-0.00043155577992461125
Aluminium ores and concentrates,HR,19.4130743772,-1.8985599334510958e-06
Aluminium ores and concentrates,HU,4.80949295081,-1.3844613980406377e-06
Aluminium ores and concentrates,ID,390.485203219,-0.0037843639652788354
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,2242.58684091,-0.00025226353078623654
Aluminium ores and concentrates,IT,73.5791874402,-3.045326554517858e-05
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.620618277566,-9.63355142048375e-09
Aluminium ores and concentrates,MT,0.0265288720645,-3.4723022776875044e-10
Aluminium ores and concentrates,MX,0.114142565282,-3.56057555345783e-07
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.497017636283,-6.107166783839307e-07
Aluminium ores and concentrates,PL,6.84794213703,-1.6313078522500444e-05
Aluminium ores and concentrates,PT,0.00886102172329,-3.84093233415749e-09
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,78.5125085936,-2.1645362002236127e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,4.95961127103,-1.446379900614318e-06
Aluminium ores and concentrates,TR,16.7608883352,-0.0003801067716608621
Aluminium ores and concentrates,TW,26.0103873936,-3.517019480177616e-05
Aluminium ores and concentrates,US,184.282016273,-0.0001340412193239051
Aluminium ores and concentrates,WA,1599.52781152,-0.03644195622428367
Aluminium ores and concentrates,WE,117.07475279,-0.004694133658182999
Aluminium ores and concentrates,WF,986.894287433,-0.02626542108195555
Aluminium ores and concentrates,WL,416.43589486,-0.006178090329524584
Aluminium ores and concentrates,WM,1022.5175986,-0.0030583755307681823
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4200.61507379,-0.12452790297842521
Basic iron and steel and of ferro-alloys and first products thereof,AU,13515.7327983,-0.055105355166360274
Basic iron and steel and of ferro-alloys and first products thereof,BE,8548.74860532,-0.5731367842278015
Basic iron and steel and of ferro-alloys and first products thereof,BG,61.3541596005,-0.0008921264328590861
Basic iron and steel and of ferro-alloys and first products thereof,BR,44378.3270276,-0.08790453714271694
Basic iron and steel and of ferro-alloys and first products thereof,CA,24113.7611741,-0.9299333975728022
Basic iron and steel and of ferro-alloys and first products thereof,CH,912.41951381,-0.009009376428349447
Basic iron and steel and of ferro-alloys and first products thereof,CN,1483520.9035,-5.112221467190897
Basic iron and steel and of ferro-alloys and first products thereof,CY,42.3680189302,-8.887540163087352e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,4404.32857606,-0.0754557272845262
Basic iron and steel and of ferro-alloys and first products thereof,DE,66859.9415061,-2.2673648221615004
Basic iron and steel and of ferro-alloys and first products thereof,DK,1733.93462927,-0.03989372371309047
Basic iron and steel and of ferro-alloys and first products thereof,EE,429.773184691,-0.0004200516595168773
Basic iron and steel and of ferro-alloys and first products thereof,ES,27226.0297078,-0.4804616714297677
Basic iron and steel and of ferro-alloys and first products thereof,FI,6209.46744502,-0.09303807331241208
Basic iron and steel and of ferro-alloys and first products thereof,FR,28044.8026459,-0.6361192862041996
Basic iron and steel and of ferro-alloys and first products thereof,GB,10459.9634056,-63.005893544354
Basic iron and steel and of ferro-alloys and first products thereof,GR,2903.38451829,-0.07514501991960874
Basic iron and steel and of ferro-alloys and first products thereof,HR,518.197009254,-0.0017644852361495514
Basic iron and steel and of ferro-alloys and first products thereof,HU,2588.01504897,-0.041581630076103555
Basic iron and steel and of ferro-alloys and first products thereof,ID,10010.8315714,-0.25484608884877374
Basic iron and steel and of ferro-alloys and first products thereof,IE,409.319220675,-0.12872917538482398
Basic iron and steel and of ferro-alloys and first products thereof,IN,109916.482339,-0.9328676638181497
Basic iron and steel and of ferro-alloys and first products thereof,IT,38630.0756138,-0.784288695155518
Basic iron and steel and of ferro-alloys and first products thereof,JP,212405.12581,-0.20828321516734474
Basic iron and steel and of ferro-alloys and first products thereof,KR,179575.348985,-0.3544433075617449
Basic iron and steel and of ferro-alloys and first products thereof,LT,45.0551342084,-0.0001846492567296682
Basic iron and steel and of ferro-alloys and first products thereof,LU,3302.87462406,-0.1919824363066388
Basic iron and steel and of ferro-alloys and first products thereof,LV,579.078911833,-0.0012928299274556393
Basic iron and steel and of ferro-alloys and first products thereof,MT,2.73494946959,-2.7882073252204726e-05
Basic iron and steel and of ferro-alloys and first products thereof,MX,20667.9002643,-0.08247908423424045
Basic iron and steel and of ferro-alloys and first products thereof,NL,1078.67048169,-0.0661924623792012
Basic iron and steel and of ferro-alloys and first products thereof,NO,2058.7192817,-0.1955857275438247
Basic iron and steel and of ferro-alloys and first products thereof,PL,16473.2654391,-0.09477148859451577
Basic iron and steel and of ferro-alloys and first products thereof,PT,1666.83061757,-0.12211958828676743
Basic iron and steel and of ferro-alloys and first products thereof,RO,4346.21160071,-0.01987220080689239
Basic iron and steel and of ferro-alloys and first products thereof,RU,81804.9236408,-0.06383086040665521
Basic iron and steel and of ferro-alloys and first products thereof,SE,7130.11372836,-1.076161716424321
Basic iron and steel and of ferro-alloys and first products thereof,SI,1120.21290342,-0.01287460609059484
Basic iron and steel and of ferro-alloys and first products thereof,SK,1139.56763628,-0.012296427285395404
Basic iron and steel and of ferro-alloys and first products thereof,TR,20999.2646868,-2.217016539960542
Basic iron and steel and of ferro-alloys and first products thereof,TW,71744.7571404,-0.014619456287984651
Basic iron and steel and of ferro-alloys and first products thereof,US,130138.432411,-2.944554357108719
Basic iron and steel and of ferro-alloys and first products thereof,WA,94034.7640963,-3.0625880232807474
Basic iron and steel and of ferro-alloys and first products thereof,WE,11113.7732743,-0.08188381017307055
Basic iron and steel and of ferro-alloys and first products thereof,WF,20416.4956618,-0.2691079246135394
Basic iron and steel and of ferro-alloys and first products thereof,WL,21000.6177451,-0.13875715870510236
Basic iron and steel and of ferro-alloys and first products thereof,WM,46754.4837228,-1.6022928614580432
Basic iron and steel and of ferro-alloys and first products thereof,ZA,11191.4456125,-0.014508582964904988
Copper ores and concentrates,AT,0.908417974756,-6.195996265201247e-08
Copper ores and concentrates,AU,14433.4037025,-0.005662792192361092
Copper ores and concentrates,BE,12.2515032394,-2.690047590181427e-05
Copper ores and concentrates,BG,837.6323159,-0.00023029515845940547
Copper ores and concentrates,BR,1742.77781138,-0.003413789860938397
Copper ores and concentrates,CA,7257.07261786,-0.0034781307172154804
Copper ores and concentrates,CH,0.0,0.0
Copper ores and concentrates,CN,43919.9627638,-0.10547914931984954
Copper ores and concentrates,CY,0.734090307949,-5.285158713262305e-08
Copper ores and concentrates,CZ,2.39175106534,-4.942867341961528e-07
Copper ores and concentrates,DE,1.10565168318,-3.637969121317678e-06
Copper ores and concentrates,DK,1.35293597845,-4.54718783240684e-07
Copper ores and concentrates,EE,0.0320509432062,-2.7685531196201007e-10
Copper ores and concentrates,ES,496.353395253,-0.006680810974620208
Copper ores and concentrates,FI,538.94670155,-0.00022467139580120522
Copper ores and concentrates,FR,0.0,0.0
Copper ores and concentrates,GB,2.32508699842,-2.3996231299338303e-05
Copper ores and concentrates,GR,0.0,0.0
Copper ores and concentrates,HR,6.10922507767,-9.872886894512418e-07
Copper ores and concentrates,HU,0.0924900980802,-3.7276940260003414e-11
Copper ores and concentrates,ID,3606.95862624,-0.0010191108872009997
Copper ores and concentrates,IE,0.0,0.0
Copper ores and concentrates,IN,424.233300452,-0.0006379366658377885
Copper ores and concentrates,IT,0.193304022222,-1.1705660273613382e-09
Copper ores and concentrates,JP,0.0,0.0
Copper ores and concentrates,KR,0.155091561763,-5.571303615349259e-06
Copper ores and concentrates,LT,0.00887414507619,-2.7889146718073003e-10
Copper ores and concentrates,LU,0.0,0.0
Copper ores and concentrates,LV,0.78241641194,-1.1931996652325964e-08
Copper ores and concentrates,MT,0.00165359784224,-2.164393955276638e-11
Copper ores and concentrates,MX,6855.74572401,-0.0031234566420289146
Copper ores and concentrates,NL,0.0,0.0
Copper ores and concentrates,NO,1.87139876818,-9.904234903309022e-06
Copper ores and concentrates,PL,3651.30003326,-0.0008578498645627902
Copper ores and concentrates,PT,50.9235379938,-9.407346435257009e-06
Copper ores and concentrates,RO,761.432452709,-0.0021882594155416863
Copper ores and concentrates,RU,2531.72288086,-0.00025120447247733416
