Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.11018527086157377
Aluminium and aluminium products,AU,10788.8621591,-0.14755964597881913
Aluminium and aluminium products,BE,5247.38034134,-0.14137999135927076
Aluminium and aluminium products,BG,1519.97837587,-1.0249132471110516
Aluminium and aluminium products,BR,9914.80918982,-0.02461203454211165
Aluminium and aluminium products,CA,20401.1714152,-0.43235733864943143
Aluminium and aluminium products,CH,664.221654607,-0.006329667533883035
Aluminium and aluminium products,CN,267795.177986,-13.431389317691355
Aluminium and aluminium products,CY,202.027361746,-0.000925762331356623
Aluminium and aluminium products,CZ,4464.35318131,-0.04514162706978763
Aluminium and aluminium products,DE,29109.7538681,-0.2936702033300556
Aluminium and aluminium products,DK,1842.84710324,-0.014201614438358797
Aluminium and aluminium products,EE,101.53719116,-0.0005164147111583152
Aluminium and aluminium products,ES,8208.21094615,-0.24632381587005725
Aluminium and aluminium products,FI,752.680853488,-0.0026818317493850184
Aluminium and aluminium products,FR,8846.32397853,-0.32688673768721155
Aluminium and aluminium products,GB,13378.5976996,-0.07088650768866371
Aluminium and aluminium products,GR,2553.08976835,-1.173470560761865
Aluminium and aluminium products,HR,560.379064274,-0.03094646495049985
Aluminium and aluminium products,HU,286.469504551,-0.001316742699406119
Aluminium and aluminium products,ID,2586.29818798,-0.16447958637376983
Aluminium and aluminium products,IE,879.068440269,-0.0033185895138418946
Aluminium and aluminium products,IN,13943.6830579,-0.1389889601983819
Aluminium and aluminium products,IT,11485.2948435,-0.5279261466289561
Aluminium and aluminium products,JP,22875.3451004,-0.0879020325886182
Aluminium and aluminium products,KR,8309.49105106,-0.09674382848580794
Aluminium and aluminium products,LT,6.93599649202,-0.0004681485023158997
Aluminium and aluminium products,LU,74.0640426448,-0.0053915121662470545
Aluminium and aluminium products,LV,296.259954279,-0.0009473439428684023
Aluminium and aluminium products,MT,0.00497401513167,-3.196481008619657e-08
Aluminium and aluminium products,MX,5745.06290448,-0.02378991097790583
Aluminium and aluminium products,NL,3870.86435818,-0.07721937399025029
Aluminium and aluminium products,NO,4042.99806768,-0.005258776194514001
Aluminium and aluminium products,PL,6503.02267632,-0.07236142598314917
Aluminium and aluminium products,PT,1201.85724097,-0.005400715638743044
Aluminium and aluminium products,RO,1296.42742076,-0.06432717767161808
Aluminium and aluminium products,RU,17915.3872454,-0.08135247272210093
Aluminium and aluminium products,SE,3090.46542881,-0.019362775245973674
Aluminium and aluminium products,SI,2312.04475031,-1.8641871913215702
Aluminium and aluminium products,SK,2260.89388142,-0.02995760886002762
Aluminium and aluminium products,TR,9962.96552508,-0.3215518980546889
Aluminium and aluminium products,TW,9319.81261143,-0.005674474814699219
Aluminium and aluminium products,US,110792.994735,-0.34167859003392703
Aluminium and aluminium products,WA,23768.5900005,-0.6281969351988367
Aluminium and aluminium products,WE,4791.31875552,-0.444250642411658
Aluminium and aluminium products,WF,8032.46962605,-0.08108385066822453
Aluminium and aluminium products,WL,9275.39526692,-0.13374831676938617
Aluminium and aluminium products,WM,19937.1975904,-0.3462652194278148
Aluminium and aluminium products,ZA,1122.58615792,-0.010069268088261434
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.011161853081973904
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-2.5887582046368715e-05
