Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-15.739537075684527
Aluminium and aluminium products,AU,10788.8621591,-0.011373058507335547
Aluminium and aluminium products,BE,5247.38034134,-0.13103864961545275
Aluminium and aluminium products,BG,1519.97837587,-0.05410871108794979
Aluminium and aluminium products,BR,9914.80918982,-0.01636276172648258
Aluminium and aluminium products,CA,20401.1714152,-0.697867895632682
Aluminium and aluminium products,CH,664.221654607,-0.05753277731095313
Aluminium and aluminium products,CN,267795.177986,-2.199819578211392
Aluminium and aluminium products,CY,202.027361746,-0.0001016405602267897
Aluminium and aluminium products,CZ,4464.35318131,-0.1999380903646366
Aluminium and aluminium products,DE,29109.7538681,-1.1737197817660752
Aluminium and aluminium products,DK,1842.84710324,-0.025148307489872415
Aluminium and aluminium products,EE,101.53719116,-0.0008353248792764722
Aluminium and aluminium products,ES,8208.21094615,-0.09340934180410154
Aluminium and aluminium products,FI,752.680853488,-0.004480554098876989
Aluminium and aluminium products,FR,8846.32397853,-0.11809850432560577
Aluminium and aluminium products,GB,13378.5976996,-0.13242153943713195
Aluminium and aluminium products,GR,2553.08976835,-4.029455796144939
Aluminium and aluminium products,HR,560.379064274,-0.03766646552236661
Aluminium and aluminium products,HU,286.469504551,-0.003391713155692283
Aluminium and aluminium products,ID,2586.29818798,-0.015240796863944915
Aluminium and aluminium products,IE,879.068440269,-0.0031100850189303194
Aluminium and aluminium products,IN,13943.6830579,-0.09175633907659701
Aluminium and aluminium products,IT,11485.2948435,-0.42349248508825643
Aluminium and aluminium products,JP,22875.3451004,-0.07906417036431442
Aluminium and aluminium products,KR,8309.49105106,-0.06406521590815123
Aluminium and aluminium products,LT,6.93599649202,-0.0010421992914662979
Aluminium and aluminium products,LU,74.0640426448,-0.005979954072068759
Aluminium and aluminium products,LV,296.259954279,-0.0013367898415721812
Aluminium and aluminium products,MT,0.00497401513167,-7.386076370656361e-08
Aluminium and aluminium products,MX,5745.06290448,-0.04063049238043018
Aluminium and aluminium products,NL,3870.86435818,-0.15226582831633323
Aluminium and aluminium products,NO,4042.99806768,-0.007938251980521118
Aluminium and aluminium products,PL,6503.02267632,-0.13086353116998992
Aluminium and aluminium products,PT,1201.85724097,-0.003764820024673933
Aluminium and aluminium products,RO,1296.42742076,-0.22154128942262571
Aluminium and aluminium products,RU,17915.3872454,-0.15396512560638642
Aluminium and aluminium products,SE,3090.46542881,-0.025193353135917213
Aluminium and aluminium products,SI,2312.04475031,-0.2416797504759704
Aluminium and aluminium products,SK,2260.89388142,-0.029704823000657278
