Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.0318294975421436
Aluminium and aluminium products,AU,10788.8621591,-0.019630155469550083
Aluminium and aluminium products,BE,5247.38034134,-0.014867746521238035
Aluminium and aluminium products,BG,1519.97837587,-0.0066526528992255
Aluminium and aluminium products,BR,9914.80918982,-0.00883463287843343
Aluminium and aluminium products,CA,20401.1714152,-0.17115535152433614
Aluminium and aluminium products,CH,664.221654607,-0.0033518201372902874
Aluminium and aluminium products,CN,267795.177986,-2.4295095293000024
Aluminium and aluminium products,CY,202.027361746,-1.6782067355476756e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.0061104089616545645
Aluminium and aluminium products,DE,29109.7538681,-0.02793016036866508
Aluminium and aluminium products,DK,1842.84710324,-0.006679242876865816
Aluminium and aluminium products,EE,101.53719116,-9.041282673697341e-05
Aluminium and aluminium products,ES,8208.21094615,-0.013287281516174339
Aluminium and aluminium products,FI,752.680853488,-0.002978663258746038
Aluminium and aluminium products,FR,8846.32397853,-0.008453914962521254
Aluminium and aluminium products,GB,13378.5976996,-0.038800451466846866
Aluminium and aluminium products,GR,2553.08976835,-0.0296468191094378
Aluminium and aluminium products,HR,560.379064274,-0.002010840987269681
Aluminium and aluminium products,HU,286.469504551,-0.0005143241916813933
Aluminium and aluminium products,ID,2586.29818798,-1.0298822545099413
Aluminium and aluminium products,IE,879.068440269,-0.0008229561842535831
Aluminium and aluminium products,IN,13943.6830579,-0.09486194174234122
Aluminium and aluminium products,IT,11485.2948435,-0.01640933134195456
Aluminium and aluminium products,JP,22875.3451004,-0.07653309603709181
Aluminium and aluminium products,KR,8309.49105106,-0.058413437185718044
Aluminium and aluminium products,LT,6.93599649202,-0.00019542388233466187
Aluminium and aluminium products,LU,74.0640426448,-0.0012399854646260933
Aluminium and aluminium products,LV,296.259954279,-0.00024444899277747403
Aluminium and aluminium products,MT,0.00497401513167,-6.491166927535414e-09
Aluminium and aluminium products,MX,5745.06290448,-0.030675247273274534
Aluminium and aluminium products,NL,3870.86435818,-0.016390975040975708
Aluminium and aluminium products,NO,4042.99806768,-0.008804354475659514
Aluminium and aluminium products,PL,6503.02267632,-0.01982483112227403
Aluminium and aluminium products,PT,1201.85724097,-0.001296443325980348
Aluminium and aluminium products,RO,1296.42742076,-0.012091829596111358
Aluminium and aluminium products,RU,17915.3872454,-0.008864878769511964
Aluminium and aluminium products,SE,3090.46542881,-0.011171281636031967
Aluminium and aluminium products,SI,2312.04475031,-0.007799302818815467
Aluminium and aluminium products,SK,2260.89388142,-0.004147613225830438
Aluminium and aluminium products,TR,9962.96552508,-0.04709447652212419
Aluminium and aluminium products,TW,9319.81261143,-0.02352830760955121
Aluminium and aluminium products,US,110792.994735,-0.17214579896436738
Aluminium and aluminium products,WA,23768.5900005,-0.4201463382061403
Aluminium and aluminium products,WE,4791.31875552,-0.016351023989466404
Aluminium and aluminium products,WF,8032.46962605,-0.015972100256554947
Aluminium and aluminium products,WL,9275.39526692,-0.08707194143787945
Aluminium and aluminium products,WM,19937.1975904,-0.10669450096815225
Aluminium and aluminium products,ZA,1122.58615792,-0.01360472212204655
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0013454751152305446
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-9.249833263615726e-06
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.00028373769391454117
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-1.3518903488521623e-05
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-6.471795078759937e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-2.1773353244364505e-05
Aluminium ores and concentrates,HR,2.40123949261,-1.5370108158410258e-07
Aluminium ores and concentrates,HU,25.9433227911,-6.890509433758677e-06
Aluminium ores and concentrates,ID,0.897727817423,-7.104872900279905e-05
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-5.497474455341007e-05
Aluminium ores and concentrates,IT,345.382371744,-0.00011761785043294678
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-1.0254979109003496e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.000515245660189953
Aluminium ores and concentrates,TW,240.735987175,-0.005375195933523931
Aluminium ores and concentrates,US,61.6295336059,-7.29552531266307e-05
Aluminium ores and concentrates,WA,445.836642213,-0.0009475340505851042
Aluminium ores and concentrates,WE,144.010694731,-5.252929949191045e-05
Aluminium ores and concentrates,WF,353.253815291,-0.0003087075653538118
Aluminium ores and concentrates,WL,421.783559222,-0.0002549227826914087
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.1794054918321456
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.10570218273687361
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-0.04688515720548977
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.0014893387370333072
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.17339888357243502
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-1.3742347670988566
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.008313061012387237
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-8.345537324164503
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-6.561082814461817e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.02023568817698147
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-0.1426058549471891
Basic iron and steel and of ferro-alloys and first products thereof,DK,2254.42555552,-0.008537497617747586
Basic iron and steel and of ferro-alloys and first products thereof,EE,554.86917086,-0.00025202972993791016
Basic iron and steel and of ferro-alloys and first products thereof,ES,32815.4783877,-0.06336714696024079
Basic iron and steel and of ferro-alloys and first products thereof,FI,9327.9240438,-0.03035589586293125
Basic iron and steel and of ferro-alloys and first products thereof,FR,36902.145357,-0.055302928638657704
Basic iron and steel and of ferro-alloys and first products thereof,GB,23626.7865492,-0.05755310987490807
Basic iron and steel and of ferro-alloys and first products thereof,GR,4002.74669845,-0.041982067091937914
Basic iron and steel and of ferro-alloys and first products thereof,HR,779.62247634,-0.0010530967031319725
Basic iron and steel and of ferro-alloys and first products thereof,HU,573.651510555,-0.003531515311468663
Basic iron and steel and of ferro-alloys and first products thereof,ID,28063.8922122,-51.936464846202156
Basic iron and steel and of ferro-alloys and first products thereof,IE,304.716491426,-0.002092704109504315
Basic iron and steel and of ferro-alloys and first products thereof,IN,168511.250647,-1.0906537323739915
Basic iron and steel and of ferro-alloys and first products thereof,IT,54736.4503124,-0.10071843899325944
Basic iron and steel and of ferro-alloys and first products thereof,JP,205709.449824,-0.781647200460852
