Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.13053689223229412
Aluminium and aluminium products,AU,10788.8621591,-0.02424101168840584
Aluminium and aluminium products,BE,5247.38034134,-0.1363961129000381
Aluminium and aluminium products,BG,1519.97837587,-0.007344753758956666
Aluminium and aluminium products,BR,9914.80918982,-0.02083388994495786
Aluminium and aluminium products,CA,20401.1714152,-0.7540342910385438
Aluminium and aluminium products,CH,664.221654607,-0.017779974596498337
Aluminium and aluminium products,CN,267795.177986,-2.302187670596856
Aluminium and aluminium products,CY,202.027361746,-4.595804534883902e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.032059685077391924
Aluminium and aluminium products,DE,29109.7538681,-0.6057700504978681
Aluminium and aluminium products,DK,1842.84710324,-0.016015800774062207
Aluminium and aluminium products,EE,101.53719116,-0.0007602169059221613
Aluminium and aluminium products,ES,8208.21094615,-0.15982533429853266
Aluminium and aluminium products,FI,752.680853488,-0.004153105875029149
Aluminium and aluminium products,FR,8846.32397853,-0.1224759309066097
Aluminium and aluminium products,GB,13378.5976996,-26.411872654636717
Aluminium and aluminium products,GR,2553.08976835,-0.05318638249549053
Aluminium and aluminium products,HR,560.379064274,-0.006397168670339066
Aluminium and aluminium products,HU,286.469504551,-0.0005580141640384943
Aluminium and aluminium products,ID,2586.29818798,-0.09296712299904882
Aluminium and aluminium products,IE,879.068440269,-0.024438859554930206
Aluminium and aluminium products,IN,13943.6830579,-0.26482049141062736
Aluminium and aluminium products,IT,11485.2948435,-0.13838436380698063
Aluminium and aluminium products,JP,22875.3451004,-0.13150159606071973
Aluminium and aluminium products,KR,8309.49105106,-0.22624385616862636
Aluminium and aluminium products,LT,6.93599649202,-0.0002155250073960775
Aluminium and aluminium products,LU,74.0640426448,-0.010422932966927714
Aluminium and aluminium products,LV,296.259954279,-0.0010018162380277112
Aluminium and aluminium products,MT,0.00497401513167,-2.1626989606451313e-08
Aluminium and aluminium products,MX,5745.06290448,-0.027724035762651977
Aluminium and aluminium products,NL,3870.86435818,-0.20365780120198598
Aluminium and aluminium products,NO,4042.99806768,-0.01662710230362849
Aluminium and aluminium products,PL,6503.02267632,-0.03350664873250914
Aluminium and aluminium products,PT,1201.85724097,-0.0024362610349755033
Aluminium and aluminium products,RO,1296.42742076,-0.005343398362432834
Aluminium and aluminium products,RU,17915.3872454,-0.01799517613924746
Aluminium and aluminium products,SE,3090.46542881,-0.0469404006685105
Aluminium and aluminium products,SI,2312.04475031,-0.016739150386557246
Aluminium and aluminium products,SK,2260.89388142,-0.005271836884759142
Aluminium and aluminium products,TR,9962.96552508,-0.11899742965942939
Aluminium and aluminium products,TW,9319.81261143,-0.008960252315719903
Aluminium and aluminium products,US,110792.994735,-0.7775543201203796
Aluminium and aluminium products,WA,23768.5900005,-1.6644320409899833
Aluminium and aluminium products,WE,4791.31875552,-0.019329678939404
Aluminium and aluminium products,WF,8032.46962605,-0.03216370635697823
Aluminium and aluminium products,WL,9275.39526692,-0.08934367748868303
Aluminium and aluminium products,WM,19937.1975904,-0.29687933419392626
Aluminium and aluminium products,ZA,1122.58615792,-0.007733166400244643
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0009530970189768167
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-2.1932090055642467e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.0002843169355383778
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-1.167803795935767e-05
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.0001321330101617963
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-4.090773519498569e-05
Aluminium ores and concentrates,HR,2.40123949261,-7.804632955958171e-08
Aluminium ores and concentrates,HU,25.9433227911,-4.633154818691395e-06
Aluminium ores and concentrates,ID,0.897727817423,-5.008290593239225e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-2.6705031386477946e-05
Aluminium ores and concentrates,IT,345.382371744,-0.000295364613851561
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-9.762918935054018e-06
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0008879037814303252
Aluminium ores and concentrates,TW,240.735987175,-0.0009967699266619648
Aluminium ores and concentrates,US,61.6295336059,-0.0001090221180598059
Aluminium ores and concentrates,WA,445.836642213,-0.003968238917064205
Aluminium ores and concentrates,WE,144.010694731,-3.7200489023644166e-05
Aluminium ores and concentrates,WF,353.253815291,-0.0007344183630464878
Aluminium ores and concentrates,WL,421.783559222,-0.00026372437585788416
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.08942264948987327
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.04898130419233766
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-0.16318526902319166
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.0014589215989128765
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.27070472108387633
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-1.2394578163558394
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.013434785159898984
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-3.0856379160013447
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-0.00016300198053501922
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.04530937857750448
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-0.8447222945814346
