Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.006931680237623931
Aluminium and aluminium products,AU,10788.8621591,-0.016496087225763713
Aluminium and aluminium products,BE,5247.38034134,-0.00883505779559181
Aluminium and aluminium products,BG,1519.97837587,-0.0028010171096000316
Aluminium and aluminium products,BR,9914.80918982,-0.012276878048838062
Aluminium and aluminium products,CA,20401.1714152,-0.19389888731591076
Aluminium and aluminium products,CH,664.221654607,-0.0014693968860416476
Aluminium and aluminium products,CN,267795.177986,-1.5997377734403633
Aluminium and aluminium products,CY,202.027361746,-7.3450638918669964e-06
Aluminium and aluminium products,CZ,4464.35318131,-0.00211849331938151
Aluminium and aluminium products,DE,29109.7538681,-0.022279380305433
Aluminium and aluminium products,DK,1842.84710324,-0.0011623145065497741
Aluminium and aluminium products,EE,101.53719116,-6.664077882548918e-05
Aluminium and aluminium products,ES,8208.21094615,-0.009685702429751152
Aluminium and aluminium products,FI,752.680853488,-0.0007278947777478261
Aluminium and aluminium products,FR,8846.32397853,-0.007468272468183809
Aluminium and aluminium products,GB,13378.5976996,-0.0327827253671388
Aluminium and aluminium products,GR,2553.08976835,-0.008832088033579362
Aluminium and aluminium products,HR,560.379064274,-0.0014643219885991994
Aluminium and aluminium products,HU,286.469504551,-0.00014524170012560465
Aluminium and aluminium products,ID,2586.29818798,-0.020927054926635127
Aluminium and aluminium products,IE,879.068440269,-0.0004019723034500215
Aluminium and aluminium products,IN,13943.6830579,-6.999516311989498
Aluminium and aluminium products,IT,11485.2948435,-0.021496572587452346
Aluminium and aluminium products,JP,22875.3451004,-0.0610035063616844
Aluminium and aluminium products,KR,8309.49105106,-0.22440372653476864
Aluminium and aluminium products,LT,6.93599649202,-3.8352732786286947e-05
Aluminium and aluminium products,LU,74.0640426448,-0.0005678429478054457
Aluminium and aluminium products,LV,296.259954279,-8.095092389204291e-05
Aluminium and aluminium products,MT,0.00497401513167,-1.4482742575272624e-09
Aluminium and aluminium products,MX,5745.06290448,-0.024105473991990103
Aluminium and aluminium products,NL,3870.86435818,-0.009956774618508002
Aluminium and aluminium products,NO,4042.99806768,-0.001843475332322085
Aluminium and aluminium products,PL,6503.02267632,-0.005793545191219697
Aluminium and aluminium products,PT,1201.85724097,-0.0004011999069230296
Aluminium and aluminium products,RO,1296.42742076,-0.002383861946144852
Aluminium and aluminium products,RU,17915.3872454,-0.006393609176780581
Aluminium and aluminium products,SE,3090.46542881,-0.003362026429103287
Aluminium and aluminium products,SI,2312.04475031,-0.0035861580858959335
Aluminium and aluminium products,SK,2260.89388142,-0.0009526810646337926
Aluminium and aluminium products,TR,9962.96552508,-0.09168635797331443
Aluminium and aluminium products,TW,9319.81261143,-0.003089521752132254
Aluminium and aluminium products,US,110792.994735,-0.2114477391881681
Aluminium and aluminium products,WA,23768.5900005,-0.6550715000900031
Aluminium and aluminium products,WE,4791.31875552,-0.00897752109036046
Aluminium and aluminium products,WF,8032.46962605,-0.02678555228257965
Aluminium and aluminium products,WL,9275.39526692,-0.06459321152075254
Aluminium and aluminium products,WM,19937.1975904,-0.3389491965591197
Aluminium and aluminium products,ZA,1122.58615792,-0.00411067395024428
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0016757811971956707
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-1.2912941384200714e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.00017499684472230184
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-2.1935936451710826e-06
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-2.1883368874560448e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-1.1998727838538489e-05
Aluminium ores and concentrates,HR,2.40123949261,-5.579311311717668e-08
Aluminium ores and concentrates,HU,25.9433227911,-1.4616513916916738e-06
Aluminium ores and concentrates,ID,0.897727817423,-1.312985506310772e-07
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-0.010043522969967427
Aluminium ores and concentrates,IT,345.382371744,-0.00012016756713890787
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-6.659444734856224e-06
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0004216401141898555
Aluminium ores and concentrates,TW,240.735987175,-0.00021659258581363124
Aluminium ores and concentrates,US,61.6295336059,-9.587413097117421e-05
Aluminium ores and concentrates,WA,445.836642213,-0.0015402002611554744
Aluminium ores and concentrates,WE,144.010694731,-2.0483633231245346e-05
Aluminium ores and concentrates,WF,353.253815291,-0.00045508019183718824
Aluminium ores and concentrates,WL,421.783559222,-0.00019050310402433604
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.018199039226918068
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.0758184842447713
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-0.050013539409858185
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.0006840971547254983
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.1897937558612351
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-0.2796153574088254
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.001856647702828671
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-2.688993196943163
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-2.531140944537145e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.007365355723259873
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-0.09869537847273759
Basic iron and steel and of ferro-alloys and first products thereof,DK,2254.42555552,-0.0016129228506215206
Basic iron and steel and of ferro-alloys and first products thereof,EE,554.86917086,-0.00021288212943096317
Basic iron and steel and of ferro-alloys and first products thereof,ES,32815.4783877,-0.0341436824393902
Basic iron and steel and of ferro-alloys and first products thereof,FI,9327.9240438,-0.011498334027700782
Basic iron and steel and of ferro-alloys and first products thereof,FR,36902.145357,-0.04553044327258833
Basic iron and steel and of ferro-alloys and first products thereof,GB,23626.7865492,-0.06345716254255435
Basic iron and steel and of ferro-alloys and first products thereof,GR,4002.74669845,-0.006756136310498733
Basic iron and steel and of ferro-alloys and first products thereof,HR,779.62247634,-0.0005418450638351235
Basic iron and steel and of ferro-alloys and first products thereof,HU,573.651510555,-0.0010331372863756783
Basic iron and steel and of ferro-alloys and first products thereof,ID,28063.8922122,-0.5708984819398986
Basic iron and steel and of ferro-alloys and first products thereof,IE,304.716491426,-0.00035013741662260787
Basic iron and steel and of ferro-alloys and first products thereof,IN,168511.250647,-23.55908531522229
Basic iron and steel and of ferro-alloys and first products thereof,IT,54736.4503124,-0.09617493668443787
Basic iron and steel and of ferro-alloys and first products thereof,JP,205709.449824,-0.2695526412428412
Basic iron and steel and of ferro-alloys and first products thereof,KR,164202.162798,-0.31126487376913353
Basic iron and steel and of ferro-alloys and first products thereof,LT,10.5462183967,-4.76004330085397e-06
Basic iron and steel and of ferro-alloys and first products thereof,LU,608.192509525,-0.0011992265617417135
Basic iron and steel and of ferro-alloys and first products thereof,LV,1876.6383336,-0.0002757019790802008
Basic iron and steel and of ferro-alloys and first products thereof,MT,0.0552715504823,-8.628050770232851e-08
Basic iron and steel and of ferro-alloys and first products thereof,MX,35841.4611981,-0.10192644559117975
Basic iron and steel and of ferro-alloys and first products thereof,NL,1512.33123068,-0.011862358848365478
Basic iron and steel and of ferro-alloys and first products thereof,NO,1853.1917373,-0.0013236976171491443
Basic iron and steel and of ferro-alloys and first products thereof,PL,27952.3792189,-0.021627985252644463
Basic iron and steel and of ferro-alloys and first products thereof,PT,4069.19439044,-0.008721137063903865
Basic iron and steel and of ferro-alloys and first products thereof,RO,4659.14739212,-0.048042244279813975
Basic iron and steel and of ferro-alloys and first products thereof,RU,68916.0077572,-0.03699718872959653
Basic iron and steel and of ferro-alloys and first products thereof,SE,10261.0187758,-0.023995264226341833
Basic iron and steel and of ferro-alloys and first products thereof,SI,2288.56302977,-0.0040147311955558785
Basic iron and steel and of ferro-alloys and first products thereof,SK,1007.32881893,-0.0019725983541922652
Basic iron and steel and of ferro-alloys and first products thereof,TR,74268.365993,-0.08540971518579188
Basic iron and steel and of ferro-alloys and first products thereof,TW,100727.499584,-0.002784657079636666
Basic iron and steel and of ferro-alloys and first products thereof,US,205998.706778,-0.8901381962991501
Basic iron and steel and of ferro-alloys and first products thereof,WA,145998.414141,-2.9644614050172162
Basic iron and steel and of ferro-alloys and first products thereof,WE,14739.812353,-0.05309473892602846
Basic iron and steel and of ferro-alloys and first products thereof,WF,27799.8163563,-0.047466487337419636
Basic iron and steel and of ferro-alloys and first products thereof,WL,28642.6043567,-0.10483947051274389
Basic iron and steel and of ferro-alloys and first products thereof,WM,77625.4967214,-0.2222824000872496
Basic iron and steel and of ferro-alloys and first products thereof,ZA,18732.4655732,-0.02273195183446855
Copper ores and concentrates,AT,0.0,0.0
Copper ores and concentrates,AU,1217.54166304,-0.00045610065715993717
Copper ores and concentrates,BE,0.0,0.0
Copper ores and concentrates,BG,4689.66355003,-0.002557581810517298
Copper ores and concentrates,BR,164.578921747,-5.828166426211915e-06
Copper ores and concentrates,CA,0.154263949143,-2.639731584792837e-08
Copper ores and concentrates,CH,0.0,0.0
Copper ores and concentrates,CN,1032.51146091,-0.002339560496029263
Copper ores and concentrates,CY,43.2493505924,-1.4186075172929297e-06
Copper ores and concentrates,CZ,0.0,0.0
Copper ores and concentrates,DE,0.0,0.0
Copper ores and concentrates,DK,0.0,0.0
Copper ores and concentrates,EE,0.0,0.0
Copper ores and concentrates,ES,3790.30149904,-0.006935674683101312
Copper ores and concentrates,FI,838.963827784,-9.162871158583034e-05
Copper ores and concentrates,FR,0.0,0.0
Copper ores and concentrates,GB,0.0,0.0
Copper ores and concentrates,GR,0.0,0.0
Copper ores and concentrates,HR,0.0,0.0
Copper ores and concentrates,HU,0.0,0.0
